Music Code	Music Level	Music Name
HUD_HUE_00	-	Самосовершенствование
HUD_HUE_00_S	0	Ускорение
HUD_HUE_00_W	1	Усиление атаки + запрет отраженных атак
HUD_HUE_01	-	Усиление атаки (S)
HUD_HUE_02	-	Усиление атаки (L)
HUD_HUE_02_W	1	Усиление атаки (XL)
HUD_HUE_03	-	Усиление здоровья (S)
HUD_HUE_04	-	Усиление здоровья (L)
HUD_HUE_04_W	1	Улучшенное усиление здоровья
HUD_HUE_05	-	Усиление выносливости (S)
HUD_HUE_06	-	Усиление выносливости (L)
HUD_HUE_06_W	1	Улучшенное усиление выносливости
HUD_HUE_07	-	Отмена давления ветра
HUD_HUE_08	-	Отмена всего давления ветра
HUD_HUE_08_W	1	Улучшенная отмена всего давления ветра
HUD_HUE_09	-	Усиление защиты (S)
HUD_HUE_10	-	Усиление защиты (L)
HUD_HUE_10_W	1	Усиление защиты (XL)
HUD_HUE_11	-	Защита инструментов (S)
HUD_HUE_12	-	Защита инструментов (L)
HUD_HUE_12_W	1	Улучшенная защита инструментов
HUD_HUE_13	-	Восстановление здоровья (S)
HUD_HUE_14	-	Восстановление здоровья (L)
HUD_HUE_15	-	В. здоровья (S) + Противоядие
HUD_HUE_16	-	В. здоровья (M) + Противоядие
HUD_HUE_17	-	Скорость восстановления (S)
HUD_HUE_18	-	Скорость восстановления (L)
HUD_HUE_18_W	1	Улучшенная скорость восстановления
HUD_HUE_19	-	Божественная защита
HUD_HUE_19_W	1	Улучшенная божественная защита
HUD_HUE_20	-	Усиление светлячков
HUD_HUE_20_S	0	Уровень светлячка +1
HUD_HUE_20_W	1	Улучшение уровня светлячка +1
HUD_HUE_21	-	Навоз
HUD_HUE_21_W	1	Улучшенный навоз
HUD_HUE_22	-	Отмена урона окружением
HUD_HUE_22_W	1	Улучшение отмены урона окружением
HUD_HUE_23	-	Наушники (S)
HUD_HUE_24	-	Наушники (L)
HUD_HUE_24_W	1	Улучшенные наушники (L)
HUD_HUE_25	-	Нейтрализация оглушения
HUD_HUE_25_W	1	Улучшенная нейтрализация оглушения
HUD_HUE_26	-	Нейтрализация паралича
HUD_HUE_26_W	1	Улучшенная нейтрализация паралича
HUD_HUE_27	-	Нейтрализация тряски
HUD_HUE_27_W	1	Улучшенная нейтрализация тряски
HUD_HUE_28	-	Сопротивление огню (S)
HUD_HUE_29	-	Сопротивление огню (L)
HUD_HUE_29_W	1	Сопротивление огню (XL)
HUD_HUE_30	-	Сопротивление воде (S)
HUD_HUE_31	-	Сопротивление воде (L)
HUD_HUE_31_W	1	Сопротивление воде (XL)
HUD_HUE_32	-	Сопротивление грозе (S)
HUD_HUE_33	-	Сопротивление грозе (L)
HUD_HUE_33_W	1	Сопротивление грозе (XL)
HUD_HUE_34	-	Сопротивление льду (S)
HUD_HUE_35	-	Сопротивление льду (L)
HUD_HUE_35_W	1	Сопротивление льду (XL)
HUD_HUE_36	-	Сопротивление дракону (S)
HUD_HUE_37	-	Сопротивление дракону (L)
HUD_HUE_37_W	1	Сопротивление дракону (XL)
HUD_HUE_38	-	Усиление атаки стихией
HUD_HUE_38_S	0	Усиление атаки стихией (S)
HUD_HUE_38_W	1	Усиление атаки стихией (L)
HUD_HUE_39	-	Звуковые волны
HUD_HUE_40	-	Улучшенное влияние мелодий
HUD_HUE_41	-	Нейтрализация сбивания с ног
HUD_HUE_42	-	Усиление атаки и защиты (S)
HUD_HUE_42_S	0	Усиление атаки и защиты (S)
HUD_HUE_42_W	1	Усиление атаки и защиты (L)
HUD_HUE_43	-	Мастерство/Восстановление (S)
HUD_HUE_43_S	0	Мастерство и восстановление (S)
HUD_HUE_43_W	1	Мастерство (L)/Восстановление (S)
HUD_HUE_44	-	Бонус к атаке с ан. статусом
HUD_HUE_44_S	0	+ к атаке с аномальн. статусом (S)
HUD_HUE_44_W	1	Бонус к атаке с ан. статусом (L)
HUD_HUE_45	-	Нейтр-ция всех нег. статусов
HUD_HUE_45_W	1	Улучшенная нейтрализация недуга
HUD_HUE_46	-	Сопротивление порче
HUD_HUE_46_S	0	+ к сопротивлению порче (S)
HUD_HUE_46_W	1	Сопротивление порче (L)
HUD_HUE_47	-	Снятие порчи
HUD_HUE_47_W	1	Улучшенное снятие порчи
HUD_HUE_48	-	Наушники (S)/отм. давл. ветра
HUD_HUE_48_S	0	Наушники (S)/отм. давл. ветра
HUD_HUE_48_W	1	Наушн. (S)/улчш. отмн давл. Ветра
HUD_HUE_49	-	Восстановление здоровья (M)
HUD_HUE_23_W	1	Улучшенные наушники (S)
HUD_HUE_07_W	1	Улучшенная отмена давления ветра
HUD_HUE_41_W	1	Улучш. нейт-ция сбивания с ног
HUD_HUE_50	-	Волна ударного отзвука
HUD_HUE_51	-	"Волна отзвука ""Дракон"""
HUD_HUE_52	-	Повышение макс. выносл. + восстан.
HUD_HUE_53	-	Расшир. восстановление здоровья
HUD_HUE_54	-	Усил. скор. + увелич. окна уклон.
HUD_HUE_55	-	Увеличение эффективности стихий
HUD_HUE_56	-	Окно уклонения увеличено
HUD_HUE_21_G	-	Сопротивление снегу/воде/илу
HUD_HUE_21_W_G	-	Улучш. сопрот. снегу/воде/илу
