Equip Type ID	Equip Type	Equip ID	Equip Name	File Path
0	Helmet	1	Кожаная шляпа (К)	otomo/equip/ot001/helm
0	Helmet	28	Костяной шлем (К)	otomo/equip/ot028/helm
0	Helmet	29	Литой шлем (К)	otomo/equip/ot029/helm
0	Helmet	2	Яграсовый шлем (К)	otomo/equip/ot002/helm
0	Helmet	3	Тюрбан кулу (К)	otomo/equip/ot003/helm
0	Helmet	4	Капюшон поки (К)	otomo/equip/ot004/helm
0	Helmet	5	Барротовый шлем (К)	otomo/equip/ot005/helm
0	Helmet	6	Юратодовый шлем (К)	otomo/equip/ot006/helm
0	Helmet	7	Капюшон кадачи (К)	otomo/equip/ot007/helm
0	Helmet	8	Шлем Анджи (К)	otomo/equip/ot008/helm
0	Helmet	11	Шляпа луму (К)	otomo/equip/ot011/helm
0	Helmet	9	Ратиановый шлем (К)	otomo/equip/ot009/helm
0	Helmet	13	Баановый шлем (К)	otomo/equip/ot013/helm
0	Helmet	30	Шляпа божьей коровки (К)	otomo/equip/ot030/helm
0	Helmet	12	Легиановый шлем (К)	otomo/equip/ot012/helm
0	Helmet	14	Одогароновый шлем (К)	otomo/equip/ot014/helm
0	Helmet	16	Раталосовый шлем (К)	otomo/equip/ot016/helm
0	Helmet	17	Диабловый шлем (К)	otomo/equip/ot017/helm
0	Helmet	18	Рог кирина (К)	otomo/equip/ot018/helm
0	Helmet	27	Капюшон смерти (К)	otomo/equip/ot027/helm
0	Helmet	32	Кожаная шляпа (К)<ICON ALPHA>	otomo/equip/ot001/helm
0	Helmet	33	Костяной шлем (К)<ICON ALPHA>	otomo/equip/ot028/helm
0	Helmet	34	Литой шлем (К)<ICON ALPHA>	otomo/equip/ot029/helm
0	Helmet	35	Яграсовый шлем (К)<ICON ALPHA>	otomo/equip/ot002/helm
0	Helmet	36	Тюрбан кулу (К)<ICON ALPHA>	otomo/equip/ot003/helm
0	Helmet	37	Капюшон поки (К)<ICON ALPHA>	otomo/equip/ot004/helm
0	Helmet	38	Барротовый шлем (К)<ICON ALPHA>	otomo/equip/ot005/helm
0	Helmet	39	Юратодовый шлем (К)<ICON ALPHA>	otomo/equip/ot006/helm
0	Helmet	40	Капюшон кадачи (К)<ICON ALPHA>	otomo/equip/ot007/helm
0	Helmet	19	Корона Дзоры (К)<ICON ALPHA>	otomo/equip/ot019/helm
0	Helmet	41	Шлем Анджи (К)<ICON ALPHA>	otomo/equip/ot008/helm
0	Helmet	42	Шляпа луму (К)<ICON ALPHA>	otomo/equip/ot011/helm
0	Helmet	43	Ратиановый шлем (К)<ICON ALPHA>	otomo/equip/ot009/helm
0	Helmet	44	Баановый шлем (К)<ICON ALPHA>	otomo/equip/ot013/helm
0	Helmet	45	Шляпа б. коровки (К)<ICON ALPHA>	otomo/equip/ot030/helm
0	Helmet	46	Легиановый шлем (К)<ICON ALPHA>	otomo/equip/ot012/helm
0	Helmet	47	Одогарон. шлем (К)<ICON ALPHA>	otomo/equip/ot014/helm
0	Helmet	48	Раталосовый шлем (К)<ICON ALPHA>	otomo/equip/ot016/helm
0	Helmet	49	Диабловый шлем (К)<ICON ALPHA>	otomo/equip/ot017/helm
0	Helmet	50	Рог кирина (К)<ICON ALPHA>	otomo/equip/ot018/helm
0	Helmet	20	Лавасиот. шлем (К)<ICON ALPHA>	otomo/equip/ot020/helm
0	Helmet	21	Урагаановый шлем (К)<ICON ALPHA>	otomo/equip/ot021/helm
0	Helmet	26	Базелевый шлем (К)<ICON ALPHA>	otomo/equip/ot026/helm
0	Helmet	51	Капюшон смерти (К)<ICON ALPHA>	otomo/equip/ot027/helm
0	Helmet	52	Маска гаялака (К)<ICON ALPHA>	otomo/equip/ot031/helm
0	Helmet	10	Нергигант. шлем (К)<ICON ALPHA>	otomo/equip/ot010/helm
0	Helmet	15	Череп Ваала (К)<ICON ALPHA>	otomo/equip/ot015/helm
0	Helmet	22	Кайзерова корона (К)<ICON ALPHA>	otomo/equip/ot022/helm
0	Helmet	23	Клубок даоры (К)<ICON ALPHA>	otomo/equip/ot023/helm
0	Helmet	24	Вуаль Ксено (К)<ICON ALPHA>	otomo/equip/ot024/helm
0	Helmet	25	Голова накера<ICON ALPHA>	otomo/equip/ot073/helm
0	Helmet	100	Кожаная шляпа (К)	otomo/equip/ot000/helm
0	Helmet	101	Шляпа бабочки (К)	otomo/equip/ot040/helm
0	Helmet	102	Соломенная шляпа котта	otomo/equip/ot041/helm
0	Helmet	103	Маска к Мяллоуину	otomo/equip/ot042/helm
0	Helmet	104	Шлем снежного котта	otomo/equip/ot043/helm
0	Helmet	105	Шлем звезды коттов	otomo/equip/ot044/helm
0	Helmet	55	Мех кулве (К)<ICON ALPHA>	otomo/equip/ot025/helm
0	Helmet	56	Шлем вангиса (К)<ICON ALPHA>	otomo/equip/ot033/helm
0	Helmet	57	Парик Элизы для котта<ICON ALPHA>	otomo/equip/ot034/helm
0	Helmet	58	Шлем Мегамена	otomo/equip/ot035/helm
0	Helmet	59	HARDUMMY	otomo/equip/ot036/helm
0	Helmet	60	"Шлем котта ""Л. звезда"""	otomo/equip/ot037/helm
0	Helmet	61	Голова мугла<ICON ALPHA>	otomo/equip/ot038/helm
0	Helmet	62	Самурайск. шлем (К)<ICON ALPHA>	otomo/equip/ot039/helm
0	Helmet	63	Шляпа бабочки (К)<ICON ALPHA>	otomo/equip/ot040/helm
0	Helmet	64	Соломенная шляпа котта<ICON ALPHA>	otomo/equip/ot041/helm
0	Helmet	65	Маска к Мяллоуину<ICON ALPHA>	otomo/equip/ot042/helm
0	Helmet	66	Шлем снежного котта<ICON ALPHA>	otomo/equip/ot043/helm
