Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	Сопротивление яду	Уменьшает урон при отравлении.
2	PT_PARALYSIS_RESIST_SKILL_PT	Сопротивление параличу	Сокращает действие паралича.
3	PT_SLEEP_RESIST_SKILL_PT	Сопротивление сну	Сокращает действие усыпления.
4	PT_STUN_RESIST_SKILL_PT	Сопротивление оглушению	Сокращает действие оглушения.
5	PT_DARUMA_RESIST_SKILL_PT	Сопротивление замедлению	Уменьшает штрафы к подвижностипри застревании в помете чудовищ.
6	PT_BOMB_RES_SKILL_PT	Сопротивление взрыву	Защищает от взрывной порчи.
7	PT_PT_SCAR_RES_SKILL_PT	Сопр. кровотечению	Защищает от кровотечения.
8	PT_DEFDOWN_RESIST_SKILL_PT	Железная кожа	Предотвращаетпонижение защиты.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	Наушники	Защищает от рыкакрупных чудовищ.
12	PT_HUUATU_SKILL_PT	Антиветер	Защищает от давления ветра.
13	PT_EATHQUAKE_RESIST_SKILL_PT	Сопротивление тряске	Защищает от тряски.
14	PT_UNKO_SKILL_PT	Навозник	Увеличивает вероятность того, чточудовище сбежит при попадании по немунавозным снарядом.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	Эксперт по миазмам	Убирает или снижает урон отусловий в Гнилой долине.
17	PT_ADAPT_SKILL_PT	Тепловая защита	Нейтрализует урон от тепла.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	Усиление атаки	Повышает атаку.Также повышает имастерство.
20	PT_DEF_SKILL_PT	Усиление защиты	Увеличивает защиту. При повышении уровняулучшает сопротивление.
21	PT_VIT_SKILL_PT	Усиление здоровья	Повышает здоровье.
22	PT_HEEL_SKILL_PT	Улучшение восстановления	Увеличивает количествовосстанавливаемого здоровья.
23	PT_HEEL_SPEED_SKILL_PT	Скорость восстановления	Ускоряет восстановление исцеляемогоурона (красной части шкалы здоровья).
24	PT_FIRE_RESIST_SKILL_PT	Сопротивление огню	Повышает сопротивление огню,а также защиту.
25	PT_WATER_RESIST_SKILL_PT	Сопротивление воде	Повышает сопротивление воде,а такжезащиту.
26	PT_ICE_RESIST_SKILL_PT	Сопротивление льду	Повышает сопротивление льду,а такжезащиту.
27	PT_THUNDER_RESIST_SKILL_PT	Сопротивление грозе	Повышает сопротивление грозе,а такжезащиту.
28	PT_DRAGON_RESIST_SKILL_PT	Сопротивление дракону	Повышает сопротивление дракону,а такжезащиту.
29	PT_ATT_RESIST_SKILL_PT	Сопротивление порче	Защищает от всех стихийных порч.
30	PT_FIRE_ATK_SKILL_PT	Атака огнем	Усиливает атаки стихией огня.(Но не выше предела.)
31	PT_WATER_ATK_SKILL_PT	Атака водой	Усиливает атаки стихией воды.(Но не выше предела.)
32	PT_ICE_ATK_SKILL_PT	Атака льдом	Усиливает атаки стихией льда.(Но не выше предела.)
33	PT_THUNDER_ATK_SKILL_PT	Атака грозой	Усиливает атаки стихией грозы.(Но не выше предела.)
34	PT_DRAGON_ATK_SKILL_PT	Атака дракона	Усиливает атаки стихией дракона.(Но не выше предела.)
35	PT_POISON_ATK_SKILL_PT	Атака ядом	Ускоряет действие отравляющего покрытия.(Но не выше предела.)
36	PT_PARALYSIS_ATK_SKILL_PT	Парализующая атака	Ускоряет действие парализующ. покрытия.(Но не выше предела.)
37	PT_SLEEP_ATK_SKILL_PT	Усыпляющая атака	Ускоряет действие усыпляющего покрытия.(Но не выше предела.)
38	PT_BLAST_ATK_SKILL_PT	Взрывная атака	Ускоряет действие взрывного покрытия.(Но не выше предела.)
39	PT_NORMAL_UP_SKILL_PT	Обычный выстрел	Усиливает атаку обычныхснарядов и стрел.
40	PT_PIERCE_UP_SKILL_PT	Проникающий выстрел	Усиливает атаку проникающихснарядов иПронзателя драконов.
41	PT_SPREAD_UP_G_SKILL_PT	Разброс/Мощь	"Повышает мощь снарядовс разбросом, мощных стрели ""Тысячи драконов""."
42	PT_ADD_POISONBIN_SKILL_PT	Использование яда	Дает наносить ядовитоепокрытие.
