Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	1	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	2	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	3	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	4	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	5	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	6	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	10	Подручный меч 1	0	Combined Model	wp/two/bs_two002	
0	GreatSword	11	Подручный меч 2	0	Combined Model	wp/two/bs_two002	
0	GreatSword	12	Подручный меч 3	1	Combined Model	wp/two/bs_two002	
0	GreatSword	13	Подручный клинок 1	2	Combined Model	wp/two/bs_two002	
0	GreatSword	14	Подручный клинок 2	3	Combined Model	wp/two/bs_two002	
0	GreatSword	15	Подручный клинок 3	4	Combined Model	wp/two/bs_two002	
0	GreatSword	16	Блестящее лезвие 1	5	Combined Model	wp/two/bs_two002	
0	GreatSword	17	Блестящее лезвие 2	5	Combined Model	wp/two/bs_two002	
0	GreatSword	18	Нергальский вершитель	6	Combined Model	wp/two/bs_two003	wp/two/parts/op_two005
0	GreatSword	19	Бич искупления	7	Unique Model	wp/two/two004	
0	GreatSword	20	Клинок грозы 1	2	Combined Model	wp/two/bs_two002	
0	GreatSword	21	Клинок грозы 2	3	Combined Model	wp/two/bs_two002	
0	GreatSword	22	Молниеносный каратель 1	4	Combined Model	wp/two/bs_two003	
0	GreatSword	23	Молниеносный каратель 2	5	Combined Model	wp/two/bs_two003	
0	GreatSword	24	Молниеносный каратель 3	5	Combined Model	wp/two/bs_two003	
0	GreatSword	94	Ледяной клинок 1	3	Combined Model	wp/two/bs_two002	
0	GreatSword	95	Ледяной клинок 2	4	Combined Model	wp/two/bs_two002	
0	GreatSword	96	Клинок мороза 1	5	Combined Model	wp/two/bs_two001	
0	GreatSword	97	Клинок мороза 2	5	Combined Model	wp/two/bs_two001	
0	GreatSword	25	Клинок яграса 1	1	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	26	Клинок яграса 2	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	27	Клинок яграса 3	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	28	Резак яграса 1	4	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	29	Резак яграса 2	5	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	30	Резак яграса 3	5	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	31	Клинок гирроса 1	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two006
0	GreatSword	32	Клинок гирроса 2	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two006
0	GreatSword	33	Ядовитый поцелуй 1	4	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	34	Ядовитый поцелуй 2	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	35	Ядовитый поцелуй 3	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	36	Жар лавы 1	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two009
0	GreatSword	37	Жар лавы 2	6	Combined Model	wp/two/bs_two001	wp/two/parts/op_two009
0	GreatSword	38	Пестрый клинок 1	1	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	39	Пестрый клинок 2	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	40	Пестрый клинок 3	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	41	Пламя дурмана 1	4	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	42	Пламя дурмана 2	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	43	Пламя дурмана 3	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	44	Огненный клинок 1	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two001
0	GreatSword	45	Огненный клинок 2	4	Combined Model	wp/two/bs_two002	wp/two/parts/op_two001
0	GreatSword	46	Красное крыло	5	Unique Model	wp/two/two003	
0	GreatSword	47	Голубое крыло	6	Unique Model	wp/two/two008	
0	GreatSword	48	Сверкающий меч раталоса	7	Unique Model	wp/two/two008	
0	GreatSword	49	Костяной клинок 1	0	Combined Model	wp/two/bs_two005	
0	GreatSword	50	Костяной клинок 2	0	Combined Model	wp/two/bs_two005	
0	GreatSword	51	Костяной клинок 3	1	Combined Model	wp/two/bs_two005	
0	GreatSword	52	Костолом 1	2	Combined Model	wp/two/bs_two005	
0	GreatSword	53	Костолом 2	3	Combined Model	wp/two/bs_two005	
0	GreatSword	54	Костолом 3	4	Combined Model	wp/two/bs_two005	
0	GreatSword	55	Зубоскал 1	5	Combined Model	wp/two/bs_two006	
