Achieve ID	Achieve Name	Achieve Desc
000	El Nuevo Mundo es tuyo	Consigue todas las medallas.
001	Bienvenido al Nuevo Mundo	Gana acceso a encargos de 2<ICON STAR_1>.
002	Nada detiene a la comisión	Gana acceso a encargos de 3<ICON STAR_1>.
003	Defensor de Astera	Gana acceso a encargos de 4<ICON STAR_1>.
004	En las profundidades	Gana acceso a encargos de 5<ICON STAR_1>.
005	La muerte crea vida	Consigue repeler a Zorah Magdaros.
006	Emperatriz de las tierras altas	Gana acceso a encargos de 7<ICON STAR_1>.
007	Sólo puede quedar uno	Gana acceso a encargos de 8<ICON STAR_1>.
008	La Estrella Azul	Resuelve el misterio de la migración de los Ancianos.
009	Nacido para cazar	Completa 50 misiones opcionales.
010	Mente despierta	Completa tu primera investigación.
011	Cazador investigador	Completa 50 investigaciones.
012	Gladiador novato	Completa tu primera misión de la Arena.
013	Hacia la cima	Completa 50 misiones de la Arena.
014	Colono del Nuevo Mundo	Establece cinco campamentos.
015	El arte del camuflaje	Escapa del grupo de Jagras escondiéndoteen los arbustos.
016	Desayuno de campeones	Consigue pescar por primera vez.
017	Chef de barbacoa	Cocina un filete al punto por primera vez.
018	Jinete de colosos	Monta a un monstruo por primera vez.
019	Fósil viviente	"Pesca un pez catalogadocomo ""fósil viviente""."
020	Cazador de peluches	Captura a una criatura suave y achuchable.
021	Captura rasposa	Captura a una criatura rígida y rasposa.
022	Cazador multicolor	Captura a una criatura que brillecomo un arco iris.
023	A por el ascenso	Consigue 100.000 puntos de investigación.
024	Cazador millonario	En algún momento has llegado a poseer1.000.000 de zenis.
025	Defensa impenetrable	Consigue cinco piezas de armadurade rareza alta.
026	El poder lo es todo	Consigue cinco armas de rareza alta.
027	Subiendo peldaños	Múdate a un hogar mejor.
028	Amigos en todas partes	Conoce a tu primer amigo buscatrufos.
029	Experto en cachivaches	Alcanza destreza 10 conun cachivache de camarada.
030	Doctorado en monstruos	Lleva al máximo (hasta rango alto) el nivelde investigación de muchos monstruos.
031	Élite del Nuevo Mundo	Caza tu primer monstruo curtido.
032	Leyenda del Nuevo Mundo	Caza a 50 monstruos curtidos.
033	Mini-realeza	Consigue tu primera minicorona para unmonstruo aparecido en rango alto o bajo.
034	Mini-monarca	Consigue una minicorona para 10 o másmonstruos aparecidos en rango altoo bajo.
035	Rey de mini-reyes	Consigue una minicorona para muchosmonstruos de tu registro de cazador.
036	Mega-realeza	Consigue tu primera corona de platao superior para un monstruo aparecidoen rango alto o bajo.
037	Mega-monarca	Consigue una corona de oro para 10o más monstruos aparecidos en rangoalto o bajo.
038	Rey de reyes	Consigue una corona de oro para muchosmonstruos de tu registro de cazador.
039	Capturador novato	Captura a tu primer monstruo.
040	Capturador experto	Captura a 50 monstruos.
041	Azote de leyendas	Abate a 50 dragones ancianos.
042	Azote de las bestias	Abate a 100 monstruos grandes.
043	Monster Hunter	Caza a 500 monstruos grandes.
044	¡Ayuda!	Lanza por primera vez una bengalade auxilio.
045	Yo soy los refuerzos	Acude a una bengala de auxilioy ayuda a acabar 10 misiones.
046	Cazadores unidos	Completa una misión en multijugador.
