EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Liebre guía
1	1	660	Liebre piloto
2	0	661	Pteryx forestal
2	1	662	Pteryx selvático
3	0	663	Aliposa cobalto
3	1	664	Aliposa espectral
4	0	665	Góbido trepador
5	0	666	Gekko forestal
5	1	667	Gekko de las agujas
5	2	668	Gekko crepuscular
5	3	669	Gekko luz de luna
6	0	670	Vaporónide
6	1	671	Carraña
7	0	672	Buitresaurio
7	1	673	Lechusaurio
7	2	1792	Picopiedra
8	0	674	Caballito de cuarzo
8	1	675	Caballito esmeralda
9	0	676	Murcielagarto
9	1	945	Murcielagarto de oro
10	0	677	Escarabajo pelotero
10	1	678	Escarabajo bombardero
10	2	1793	Escarabajo nival
11	0	679	Parexus rosado
11	1	680	Gran Parexus rosado
12	0	681	Arrowana reventona
12	1	682	Arrowana bomba
12	2	683	Arrowana reventona real
12	3	684	Arrowana bomba real
13	0	685	Ave de coral
13	1	686	Ave de coral escarlata
14	0	687	Rapejesapo
15	0	688	Carrao algodón
15	1	689	Carrao rasposo
16	0	690	Saltiguppy
17	0	691	Petricanto
18	0	692	Paralisapo
18	1	693	Somnosapo
18	2	694	Fogosapo
19	0	695	Gorgasia
19	1	696	Gorgasia reina
20	0	697	Melífera vitae
20	1	698	Melífera vitae gigante
21	0	699	Kurage volante
22	0	700	Hormiga porteadora
23	0	701	Hercudrome
23	1	702	Hercudrome dorado
23	2	703	Hercudrome prisma
24	0	704	Grillo emperador
24	1	705	Grillo corífeo
25	0	706	Noctiluca
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Milobátido volante
31	0	708	Tríope de hierro
31	1	709	Tríope soldado
31	2	710	Tríope jaspe
31	3	946	Tríope de oro
31	4	947	Tríope de oro reluciente
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Caballa cuchillo
33	1	712	Caballa cuchillo real
34	0	713	Atún glotón
34	1	714	Atún glotón real
35	0	715	Pez vela
35	1	716	Pez vela real
36	0	-1	楔虫
37	0	717	Pez dorado
37	1	718	Pez de platino
37	2	719	Pez dorado real
37	3	720	Pez de platino real
38	0	721	Pececito dorado
38	1	722	Pececito dorado real
39	0	723	Pez sushi
39	1	724	Pez sushi real
40	0	725	Pez pólvora
40	1	726	Pez pólvora real
41	0	948	Calappa de cobre
41	1	949	Calappa de oro
42	0	950	Tsuchinoko
43	0	968	Cactilio
43	1	951	Minicactilio
43	2	967	Minicactilio en flor
44	0	958	Nekker
50	0	1455	Macaco termargénteo
50	1	1456	Macaco termáureo
51	0	1458	Gamba coronada
52	0	1459	Babosa lunar
53	0	1460	Pingüino lanudo
54	0	1461	Gecko punta de flecha
55	0	1462	Diva azul
56	0	1463	Lofótido poseidón
57	0	1464	Parexus de cristal
57	1	1473	Gran parexus de cristal
58	0	1465	Ortiga de luna invernal
59	0	1466	Topi
59	1	1467	Topi musgoso
59	2	1468	Topi rocoso
59	3	1469	Topi esponjoso
59	4	1470	Topi espinoso
59	5	1471	Topi fogoso
59	6	1472	Topi sedoso
