Delivery ID	Delivery Name	Delivery Reward
0	Haz crecer un árbol milagroso	Catalizador
1	Crece, verde, crece	Mega abono
2	Una montaña de setas	Substrato de seta selecta
3	El insectista de Hamelín	Gelatina invocadora gruesa
4	Destrozando los límites	Catalizador antiguo
5	Un hogar en la tierra	Tierra blanda
6	Época de cosecha	Mejora del baúl de cosecha
7	Soluciona tu falta de espacio	Mejora del baúl de cosecha
8	Campamento: Bosque Primigenio I	Campamento noroeste (8)
9	Campamento: Bosque Primigenio II	Campamento árbol (17)
10	Campamento: Yermo de Agujas I	Campamento central (6)
11	Campamento: Yermo de Agujas II	Campamento este
12	Campamento: Yermo de Agujas II	Campamento noreste (15)
13	Campamento: Altiplanos Coralinos	Campamento noreste (12)
14	Campamento: Lecho de los Ancianos I	Campamento este (8)
15	Campamento: Lecho de los Ancianos II	Campamento noroeste (16)
16	Un atajo a la felicidad	Ascensor de cuerda
17	Armería I+D: A prueba de agua	Manto impermeable
18	Armería I+D: Climatización	Manto anticongelante
19	Setas: El oloroso botín natural	Trufa real
20	Festín de pescado	Agallas de Gajau
21	Gambas principescas	Gamba de coral
22	El vegano del millón de zenis	Col milhojas
23	¿Cangrejo de un millón de años?	Cangrejo milenario
24	Tomates rojo fuego	Tomate gordo
25	Resistencia de la carne sabrosa	Joroba suculenta
26	Resistencia de la carne dorada	Gran carnero
27	¡Viejo pero fresco!	Besugo añejo
28	Vegano maestro del disfraz	Aromapio
29	¡Paprika fantasmagórica!	Pimiento prismático
30	El brindis del maestro	Cerveza Extra
31	Brebaje lanzallamas	Ratha Whiskey
32	De gran ayuda	Filete troceado
