Food Code	Food Name	Food Desc
MEAT_00_ID	Muslo de wyvern	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.El largo tiempo de cocción lo hace muy jugoso.
MEAT_01_ID	Falda de wyvern	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.La mejor elaboración de esta carne esa rodajas y sobre una barbacoa de carbón.
MEAT_02_ID	Huevo de wyvern	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Un precioso botín encontrado en el nidode un wyvern.
MEAT_03_ID	Cola de wyvern	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.La cola de un wyvern volador.Hay que probarla al menos una vez.
MEAT_04_ID	Cabeza de wyvern	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Habitual en la alta cocina, y a vecesincluso en banquetes de celebración.
MEAT_05_ID	Entrecot de wyvern	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.El más apreciado de todos los cortesde carne de wyvern.
MEAT_06_ID	Carne correosa	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Conseguir terminarte toda esta carne tieneuna ventaja añadida: refuerza tu mandíbula.
MEAT_07_ID	Carne espinosa	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Aún tiene las espinas de donde se la cortó,así que más vale comerla con cuidado.
MEAT_08_ID	Estofado de carne	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Es más bien caro, pero a veces hayque darse un capricho.
MEAT_09_ID	Carne especiada	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Su sabor picante puede pegar fuerte,pero es justo lo que la hace tan adictiva.
MEAT_10_ID	Pollo salvaje	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Se disfruta mejor cortando un buen tajoy engulléndolo sin preocupaciones.
MEAT_11_ID	Carpaccio marinado	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Crudo y macerado en una salsa secretaque lo llena de sabor.
MEAT_12_ID	Carne de Aptonoth	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Base de la dieta de todo cazador, yaque abunda en gran cantidad de platos.
MEAT_13_ID	Apcerosbif	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Servido siempre en abundancia, haciendode esta carne una favorita de los glotones.
MEAT_14_ID	Filete troceado	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.De relativamente buena calidad y cortadoen trozos pequeños y masticables.
MEAT_15_ID	Solomillo real	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Una deliciosa porción de Aptonoth,¡sabrosa y muy suculenta!
MEAT_16_ID	Hamburguesa gruesa	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Hamburguesa hecha como debe ser:casi tan grande que no cabe en la boca.
MEAT_17_ID	Megafiletón	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Un filete tan delicioso que es difícil dejar decomerlo, aún después de quedar saciado.
MEAT_18_ID	Hígado blanco	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>ingenio</STYL>.Apreciado por su textura cremosa.
MEAT_19_ID	Costillas a la barbacoa	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>ingenio</STYL>.Aunque la mayor parte es grasa, su saborintenso las hacen peligrosamente adictivas.
MEAT_20_ID	Callos en salsa agria	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>ingenio</STYL>.Llenarte el estómago con ellos hace quequedarse quieto sea extrañamente difícil.
MEAT_21_ID	Corazón ardiente	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>ingenio</STYL>.El corazón es muy apreciado por su textura,y debe comerse ardiente como una brasa.
MEAT_22_ID	Joroba suculenta	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>ingenio</STYL>.Un corte sumamente grueso de una de laspartes más exquisitas de todo monstruo.
MEAT_23_ID	Foie gras de lujo	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>ingenio</STYL>.Su textura cremosa y complejo sabor hacendel foie gras un ingrediente muy cotizado.
MEAT_24_ID	Pavo salvaje	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>artillería</STYL>.Por desgracia, tiene más huesos que carne.
MEAT_25_ID	Gran carnero	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>artillería</STYL>.Muy versátil, se utiliza en gran cantidadde platos.
MEAT_26_ID	Huevo de herbívoro	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>artillería</STYL>.Una tortilla hecha con él podría alimentara varias familias hambrientas.
MEAT_27_ID	Pavo real	"Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>artillería</STYL>.Tiene muy merecido en nombre de ""real"":deja el pavo salvaje a la altura del betún."
MEAT_28_ID	Cordero en magma	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>artillería</STYL>.Cordero jugoso cuyo sabor aumentacuanto más tiempo pasa cocinándose.
MEAT_29_ID	Pavo emperador	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>artillería</STYL>.Un muslo tan cargado de carne que hastael pavo real palidece en comparación.
FISH_00_ID	Atún melenudo	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Su carne es tan sabrosa como atrevidoes el aspecto de su melena.
FISH_01_ID	Salmón serpenteante	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Largo y retorcido sobre sí mismo, suaspecto parece más serpiente que pez.
FISH_02_ID	Anguila valerosa	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Un mordisco y tu corazón rebosaráde valentía renovada.
FISH_03_ID	Pez sushi	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Delicioso, con la cantidad justa de grasa.Apreciado en el Viejo Mundo y en el nuevo.
FISH_04_ID	Besugo añejo	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Pescado para gourmets que se considerauna delicia desde tiempos inmemoriales.
FISH_05_ID	Bacalao poco salao	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>coraje</STYL>.Si bien es criticado por su aspecto vulgar,este pescado nutre un espíritu valeroso.
FISH_06_ID	Mejillón jumbo	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Los más grandes, lógicamente, se cotizana precios más elevados.
FISH_07_ID	Vieiras secas	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Vieiras deshidratadas para su conserva.También sirven para una sopa buenísima.
FISH_08_ID	Abulón selecto	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.De primera clase, tanto en tamaño comoen sabor.
FISH_09_ID	Abulón violeta	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Su aroma y sabor se han transformadotanto como su color.
FISH_10_ID	Abulón precioso	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.Reconocido como una delicia entre lasmejores delicias.
FISH_11_ID	Caracola cornuda	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>tesón</STYL>.El estudio de su biología aún no ha logradodescubrir la función de sus cuernos.
FISH_12_ID	Sardina colectiva	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Protegen su territorio agrupándoseen bancos como batallones militares.
FISH_13_ID	Atún samurái	Sirve para activar habilidades de <STYL MOJI_YELLOW_DEFAULT>vigor</STYL>.Muy curioso, ya que el patrón de colores desu cabeza recuerda al casco de un samurái.
