Gallery ID	Gallery Name	Gallery Desc
EVC0001	Comienza el viaje	La 5.ª flota parte en travesía al Nuevo Mundo.Acaba de unirse a sus filas <LSNR {un} {una}> <LSNR {cazador lleno} {cazadora llena}> de esperanzas.
EVC0002	Encuentros funestos	Un encuentro favorable entre espíritus afines se ve seguidopor una dificultad muy desfavorable. ¿A qué se debe?
EVC0003	Visión del Nuevo Mundo	<LSNR {El cazador} {La cazadora}> y la Encargada huyen por el aire del coloso desconocido,volando sobre el resplandeciente Nuevo Mundo.
EVC0051	Bandidos del bosque	Perdidos en el interior del Bosque Primigenio,se dirigen hacia la base, pero se interpone una manada de Jagras.
EVC0004	Menuda sorpresa	La Encargada, absorta con el rastro que ha descubierto,es sorprendida por el mismo monstruo que dejaron atrás.
EVC0005	Refriega en el control	Justo antes de que entren en la base, <LSNR {el} {la}> <LSNR {cazador} {cazadora}> se encuentraen medio de una horrible pelea entre dos monstruos.
EVC0006	Astera	El <LSNR {cazador} {cazadora}> y la Encargada, terminada su imprevista aventura,llegan a Astera, la base segura de la comisión.
EVC0052	Fiel compañero de caza	Tras su separación durante el incidente con el monstruo colosal,<LSNR {el cazador} {la cazadora}> y su camarada vuelven a reunirse.
EVC0055	Frágil: usar con cuidado	En el lugar del campamento arrasado, <LSNR {el} {la}> <LSNR {cazador} {cazadora}> y el Líder del equipode campo se topan con un Kulu-Ya-Ku carroñero.
EVC0007	Tras los Lafarillos	Alertado por los Lafarillos, el grupo observa a un Pukei-Pukeique parece atraído por un extraño desecho humeante.
EVC0056	Aventura en el Yermo	<LSNR {El cazador} {La cazadora}> se prepara para escoltar a los eruditosen su investigación de otro posible rastro de Zorah Magdaros.
EVC0008	Gajes del oficio	El grupo, deseoso de reunir muestras,soporta el acoso de un Barroth queaparece destrozando un hormiguero.
EVC0009	El wyveriano sabio	Después de escoltar a los eruditos, <LSNR {el} {la}> <LSNR {cazador} {cazadora}> se encuentracon un misterioso Cazador wyveriano de la 1.ª flota.
EVC0010	El pantano turbulento	En busca del investigador perdido, <LSNR {el cazador se encoge} {la cazadora se encoge}><LSNR {atemorizado} {atemorizada}> tras un encuentro con un monstruo aterrador.
EVC0011	El grácil Tobi-Kadachi	<LSNR {Al cazador} {A la cazadora}> le inquietan unas plumas que caen;al mirar hacia arriba, encuentra a una nueva bestia sobre los árboles.
EVC0012	Anjanath, el furioso	<LSNR {El cazador} {La cazadora}> intenta algo arriesgado: atraer al Anjanath,territorial y fiero, directo a una trampa.
EVC0013	Operación de captura	La comisión planea capturar a Zorah Magdaros.¿Aclarará la luz del día el misterio de la migración de los ancianos?
EVC0014	El resultado final	Un extraño monstruo nuevo frustra su plan.<LSNR {El cazador} {La cazadora}> intenta rechazarlo. ¿Tendrá éxito la operación?
EVC0015	Por el Gran Desfiladero	Tras las huellas de Zorah Magdaros, <LSNR {el} {la}> <LSNR {cazador} {cazadora}> y la Encargadalogran cruzar el desfiladero; las vistas son increíbles.
EVC0060	Una defensa cegadora	Una manada de Shamos ansiosos rodea a un Tzitzi-Ya-Ku,pero la zona es invadida de repente por un fuerte resplandor.
EVC0061	El wyvern flotante	<LSNR {El cazador} {La cazadora}> pierde la pista de una rara criatura flotante,pero finalmente consigue encontrarla cara a cara.
EVC0016	Hacia el Valle Putrefacto	Ahora equipada con globos, la base de investigacióncruza los cielos con destino al Valle Putrefacto.
EVC0062	Nuevas amistades	A la vuelta del Valle Putrefacto, <LSNR {el} {la}> <LSNR {cazador} {cazadora}> y la Encargadase reúnen en el campamento, donde ven a la Rastreadora.
EVC0017	La bestia de hueso	La investigación <LSNR {del cazador} {de la cazadora}> se detiene. La tierra tiemblay una monstruosidad de huesos afilados irrumpe en escena.
EVC0018	El airoso cazador	Antes de que puedan subir a la aeronave para ir al valleen busca de huellas de Zorah, Legiana frustra sus planes.
EVC0019	Problemas en el valle	Siguiendo el rastro de Zorah Magdaros, la pareja se ve atacadapor un Odogaron. Este persigue a la Encargada...
EVC0020	Respuestas desde el valle	La pareja se reúne con la Rastreadora, que les ayudaa entender el secreto de la migración de los ancianos.
EVC0021	La copa del árbol milagroso	La pareja trepa un árbol milagroso en busca del Primer wyveriano,pero les recibe un Rathalos, rey de los cielos.
EVC0022	Furia bajo la arena	Una disputa territorial entre un Noios y un Barroth resulta letalcuando emerge de la arena un diablo con dos cuernos.
EVC0023	La operación de atracción	La operación de atraer a Zorah Magdaros a mar abierto por fin va a empezar.
EVC0024	El ciclo continúa	La operación de la comisión es un éxito.Observan triunfantes a Zorah Magdaros mientras se dirige hacia el mar.
EVC0025	Reina de un reino extraño	La pareja va a los Altiplanos Coralinos en busca de lo que ha dejadoese rastro extraño. ¿Qué les estará esperando?
EVC0034	Irrumpe el Almirante	Se ha descubierto una subespecie en el Nuevo Mundo.Al empezar la investigación de este fenómeno, aparece el Almirante.
