Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	Culldrone I	mus001
1	ROD_INSECT_001_NAME	Culldrone II	mus001
2	ROD_INSECT_002_NAME	Culldrone III	mus001
3	ROD_INSECT_003_NAME	Lucanidrone I	mus003
4	ROD_INSECT_004_NAME	Lucanidrone II	mus003
5	ROD_INSECT_005_NAME	Lucanidrone III	mus003
6	ROD_INSECT_006_NAME	Lucanidrone Rex I	mus004
7	ROD_INSECT_007_NAME	Lucanidrone Rex II	mus004
8	ROD_INSECT_008_NAME	Lucanidrone Rex III	mus004
9	ROD_INSECT_009_NAME	Emperatriz I	mus005
10	ROD_INSECT_010_NAME	Emperatriz II	mus005
11	ROD_INSECT_011_NAME	Emperatriz III	mus005
12	ROD_INSECT_012_NAME	Hymanopteros I	mus006
13	ROD_INSECT_013_NAME	Hymanopteros II	mus006
14	ROD_INSECT_014_NAME	Hymanopteros III	mus006
15	ROD_INSECT_015_NAME	Cancadamán I	mus007
16	ROD_INSECT_016_NAME	Cancadamán II	mus007
17	ROD_INSECT_017_NAME	Cancadamán III	mus007
18	ROD_INSECT_018_NAME	Gladiador I	mus008
19	ROD_INSECT_019_NAME	Gladiador II	mus008
20	ROD_INSECT_020_NAME	Gladiador III	mus008
21	ROD_INSECT_021_NAME	Vespidae I	mus009
22	ROD_INSECT_022_NAME	Vespidae II	mus009
23	ROD_INSECT_023_NAME	Vespidae III	mus009
24	ROD_INSECT_024_NAME	Dardazul I	mus010
25	ROD_INSECT_025_NAME	Dardazul II	mus010
26	ROD_INSECT_026_NAME	Dardazul III	mus010
27	ROD_INSECT_027_NAME	Mothodus I	mus011
28	ROD_INSECT_028_NAME	Mothodus II	mus011
29	ROD_INSECT_029_NAME	Mothodus III	mus011
30	ROD_INSECT_030_NAME	Chrysodron I	mus012
31	ROD_INSECT_031_NAME	Chrysodron II	mus012
32	ROD_INSECT_032_NAME	Chrysodron III	mus012
33	ROD_INSECT_033_NAME	Elytron I	mus014
34	ROD_INSECT_034_NAME	Elytron II	mus014
35	ROD_INSECT_035_NAME	Elytron III	mus014
36	ROD_INSECT_036_NAME	Kabuto I	mus015
37	ROD_INSECT_037_NAME	Kabuto II	mus015
38	ROD_INSECT_038_NAME	Kabuto III	mus015
39	ROD_INSECT_039_NAME	Deltóptero I	mus016
40	ROD_INSECT_040_NAME	Deltóptero II	mus016
41	ROD_INSECT_041_NAME	Deltóptero III	mus016
42	ROD_INSECT_042_NAME	Carabidios I	mus017
43	ROD_INSECT_043_NAME	Carabidios II	mus017
44	ROD_INSECT_044_NAME	Carabidios III	mus017
45	ROD_INSECT_045_NAME	Gorgoceros I	mus018
46	ROD_INSECT_046_NAME	Gorgoceros II	mus018
47	ROD_INSECT_047_NAME	Gorgoceros III	mus018
48	ROD_INSECT_048_NAME	Kroket Rex I	mus019
49	ROD_INSECT_049_NAME	Kroket Rex II	mus019
50	ROD_INSECT_050_NAME	Kroket Rex III	mus019
51	ROD_INSECT_051_NAME	Sílfido I	mus020
52	ROD_INSECT_052_NAME	Sílfido II	mus020
53	ROD_INSECT_053_NAME	Sílfido III	mus020
54	ROD_INSECT_054_NAME	Sílfido Ámbar I	mus021
55	ROD_INSECT_055_NAME	Sílfido Ámbar II	mus021
56	ROD_INSECT_056_NAME	Sílfido Ámbar III	mus021
57	ROD_INSECT_057_NAME	Sílfido Zafiro I	mus022
58	ROD_INSECT_058_NAME	Sílfido Zafiro II	mus022
59	ROD_INSECT_059_NAME	Sílfido Zafiro III	mus022
60	ROD_INSECT_190_NAME	Alma de dragón	mus023
61	ROD_INSECT_191_NAME	Alma de dragón real	mus023
62	ROD_INSECT_060_NAME	Vezirstag I Velox	mus024
63	ROD_INSECT_061_NAME	Vezirstag II Velox	mus024
64	ROD_INSECT_062_NAME	Vezirstag III Velox	mus024
65	ROD_INSECT_063_NAME	Vezirstag I Forz	mus024
66	ROD_INSECT_064_NAME	Vezirstag II Forz	mus024
67	ROD_INSECT_065_NAME	Vezirstag III Forz	mus024
68	ROD_INSECT_066_NAME	Bilbobrix I Velox	mus025
69	ROD_INSECT_067_NAME	Bilbobrix II Velox	mus025
70	ROD_INSECT_068_NAME	Bilbobrix III Velox	mus025
71	ROD_INSECT_069_NAME	Bilbobrix I Forz	mus025
72	ROD_INSECT_070_NAME	Bilbobrix II Forz	mus025
73	ROD_INSECT_071_NAME	Bilbobrix III Forz	mus025
74	ROD_INSECT_072_NAME	Verdado I Sanare	mus026
75	ROD_INSECT_073_NAME	Verdado II Sanare	mus026
76	ROD_INSECT_074_NAME	Verdado III Sanare	mus026
77	ROD_INSECT_075_NAME	Verdado I Forz	mus026
78	ROD_INSECT_076_NAME	Verdado II Forz	mus026
79	ROD_INSECT_077_NAME	Verdado III Forz	mus026
80	ROD_INSECT_078_NAME	Escarable I	mus002
81	ROD_INSECT_079_NAME	Escarable II	mus002
82	ROD_INSECT_080_NAME	Escarable III	mus002
