Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Poción	Item	0	Restablece ligeramente el nivelde salud.
2	Megapoción	Item	1	Restablece moderadamenteel nivel de salud.
3	Poción máxima	Item	2	Aumenta el indicador de saludal máximo y recupera toda tu salud.
4	Poción antigua	Item	4	Restablece la salud al máximo,y además aumenta los indicadoresde salud y resistencia.
5	Antídoto	Item	0	Cura para el veneno.
6	Medicina herbal	Item	1	Cura de forma eficaz el venenoy restablece ligeramente la salud.
7	Curibaya	Item	1	Baya misteriosa que cura varias plagas.
8	Bebida energética	Item	1	Bebida aprobada por el gremioque aumenta tu resistencia.¡También ayuda a quitar el sueño!
9	Ración	Item	0	Comida que restablece algode resistencia.
10	Filete poco hecho	Item	0	Aumenta moderadamente la resistencia.La carne está aún muy roja por dentro.
11	Filete al punto	Item	1	Aumenta moderadamente la resistenciay la mantiene al máximo durante más tiempo.¡Carne hecha como debe ser!
12	Carne quemada	Item	0	Aumenta ligeramente la resistencia.Puedes comerla rápidamente.
13	Bebida fría	Item	0	Bebida que otorga una resistenciatemporal al calor extremo.
14	Nutrientes	Item	1	Aumentan muy ligeramenteel nivel máximo de salud.
15	Meganutrientes	Item	2	Aumentan ligeramente el nivelmáximo de salud.
16	Inmunizador	Item	2	Medicina que aumenta la capacidadnatural de recuperación.
17	Cecina de Astera	Item	1	Jugosa carne cocida por el Chefde Astera. Cura sangrados y mejoratu recuperación natural de salud.
18	Zumo de poder	Item	1	Disminuye la sensación de cansancio.Reduce el gasto de resistenciapor un tiempo.
19	Megazumo de poder	Material	3	Te permite correr sin cansartemás tiempo que tras beberel zumo de poder.
20	Semilla de poder	Item	1	Mejora el flujo energético y aumentatemporalmente el ataque.
21	Droga demoníaca	Item	3	Aumenta el ataque al otorgar la fuerzade un demonio al que la toma.
22	Megadroga demoníaca	Item	4	Aumenta el ataque aún másque la droga demoníaca.
23	Píldora de poder	Item	3	Una píldora fortalecedora que teotorga el poder de un dios feroz.
24	Semilla armadura	Item	1	Endurece los tejidos y aumentatemporalmente la defensa.
25	Piel de armadura	Item	3	Aumenta la defensa al endurecerla piel como una armadura de piedra.
26	Piel de armadura+	Item	4	Aumenta la defensa más incluso quela piel de armadura.
27	Píldora armadura	Item	3	Una píldora que aporta temporalmentea tu piel la fortaleza del metal.
28	Polvo de vida	Item	3	Crea una neblina curativa en la zonaen torno al usuario.
29	Polvo de hierbas	Item	3	Polvo exótico que crea una neblinaen torno a la zona de uso, restablecela salud y elimina el veneno.
30	Polvo de demonio	Item	3	Polvo exótico que crea una neblinaen torno a la zona de uso y refuerzatemporalmente los ataques.
31	Polvo de cáscara	Item	3	Polvo exótico que crea una neblinaen torno a la zona de uso y refuerzatemporalmente la defensa.
32	Miel	Item	1	Miel muy nutritiva. Combínala conpociones para crear megapocionesde gran potencia.
33	Hierba	Item	0	Ingrediente básico de pociones.
34	Hierba antídoto	Item	0	Ingrediente básico de antídotos.
35	Hierba de fuego	Item	1	Planta maravillosa con propiedadesinflamables. Útil para la fabricaciónde explosivos.
36	Helechoflor	Item	0	Las hojas de esta planta contienenmucha agua. Se usa para crearmunición de agua.
37	Hierba de nieve	Item	1	Una planta que irradia aire helado.Úsala en combinaciones paracrear munición de hielo.
38	Hierba somnífera	Item	0	Planta con propiedades somníferas.Con ella se elaboran somníferos.
39	Hiedra	Item	0	Una planta ultraligera yextremadamente fuerte, útilpara hacer trampas de escollo.
40	Nuez de humo	Item	0	Fruto seco que hace mucho humo.Las propiedades del humo cambianal mezclarlo con otros objetos.
