Deco ID	Item ID	Deco Name	Slot Size
0	727	Joya antídoto 1	1
1	728	Joya antiparálisis 1	1
2	729	Joya del sueño 1	1
3	730	Joya de voluntad 1	1
4	731	Joya antinitro 1	1
5	732	Joya de sutura 1	1
6	733	Joya de bloqueo 1	1
7	734	Joya de tapones 3	3
8	735	Joya antiviento 2	2
9	736	Joya de firmeza 2	2
10	739	Joya de ataque 1	1
11	740	Joya de defensa 1	1
12	741	Joya de fuerza 1	1
13	742	Joya de recuperación 1	1
14	743	Joya resist. al fuego 1	1
15	744	Joya resist. al agua 1	1
16	745	Joya resist. al hielo 1	1
17	746	Joya resist. al rayo 1	1
18	747	Joya resist. al draco 1	1
19	748	Joya reostato 1	1
20	749	Joya de fuego 1	1
21	750	Joya de agua 1	1
22	751	Joya de hielo 1	1
23	752	Joya de rayo 1	1
24	753	Joya de draco 1	1
25	754	Joya venenosa 1	1
26	755	Joya paralizante 1	1
27	756	Joya de sueño 1	1
28	757	Joya nitro 1	1
29	758	Joya ponzoñosa 3	3
30	759	Joya paralizante 3	3
31	760	Joya somnífera 3	3
32	761	Joya de nitro 3	3
33	763	Joya liberadora 3	3
34	764	Joya del experto 1	1
35	765	Joya crítica 2	2
36	766	Joya ablandadora 2	2
37	767	Joya cargadora 2	2
38	768	Joya de artesanía 3	3
39	769	Joya de desenfunde 2	2
40	770	Joya de destrucción 2	2
41	771	Joya de boxeo 2	2
42	772	Joya débil 1	1
43	774	Joya de vuelo 2	2
44	775	Joya del poder 2	2
45	776	Joya desafiante 2	2
46	777	Joya del ileso 2	2
47	778	Joya de potencia 2	2
48	779	Joya de supervivencia 1	1
49	780	Joya del furor 2	2
50	781	Joya del músico 1	1
51	782	Joya almacén 2	2
52	783	Joya tirofijo 1	1
53	784	Joya de artillería 1	1
54	785	Joya artillería pesada 1	1
55	786	Joya de impulso 2	2
56	787	Joya de salud 2	2
57	789	Joya de refresco 2	2
58	790	Joya antigula 1	1
59	791	Joya de evasión 2	2
60	792	Joya de salto 2	2
61	793	Joya de guardia 1	1
62	794	Joya de enfundado 1	1
63	795	Joya de amistad 1	1
64	796	Joya impasible 1	1
65	797	Joya saciante 1	1
66	798	Joya del tragón 1	1
67	799	Joya afiladora 1	1
68	800	Joya bombardera 1	1
69	801	Joya micótica 1	1
70	808	Joya de protección 1	1
71	809	Joya miaunstruo 1	1
72	810	Joya botánica 1	1
73	811	Joya geológica 1	1
74	812	Joya poderosa 2	2
75	813	Joya lanzapiedras 1	1
76	814	Joya de puntillas 1	1
77	815	Joya tenaz 3	3
78	819	Joya de humo 1	1
79	820	Joya lodazal 1	1
80	824	Joya espécimen 1	1
81	826	Joya olfativa 1	1
82	828	Joya intimidante 1	1
83	832	Joya deslizante 2	2
84	833	Joya medicinal 1	1
85	834	Joya de disparo 3	3
86	835	Joya perforante 3	3
87	836	Joya abanico 3	3
88	837	Joya de aumento 2	2
89	838	Joya de crisis 1	1
90	839	Joya sello de dragón 3	3
91	842	Joya reparadora 1	1
92	874	Joya de arco poderoso 2	2
93	875	Joya ojo mental 2	2
94	876	Joya escudo 2	2
95	877	Joya afilada 2	2
96	878	Joya sin elemento 2	2
97	825	Joya de miasma 1	1
98	1968	Joya fénix 3	3
99	1969	Joya guardián 2	2
100	1970	Joya refrescante 2	2
101	1971	Joya resistente al fuego+ 4	4
102	1972	Joya resistente al agua+ 4	4
103	1973	Joya resistente al hielo+ 4	4
104	1974	Joya resistente al rayo+ 4	4
105	1975	Joya resistente al draco+ 4	4
106	1976	Joya de fuego+ 4	4
107	1977	Joya de agua+ 4	4
108	1978	Joya de hielo+ 4	4
109	1979	Joya de rayo+ 4	4
110	1980	Joya de draco+ 4	4
111	1981	Joya venenosa+ 4	4
112	1982	Joya paralizante+ 4	4
113	1983	Joya de sueño+ 4	4
114	1984	Joya nitro+ 4	4
115	1985	Brillante resistente al fuego 4	4
116	1986	Brillante resistente al agua 4	4
117	1987	Brillante resistente al hielo 4	4
118	1988	Brillante resistente al rayo 4	4
119	1989	Brillante resistente al draco 4	4
120	1990	Joya antídoto+ 4	4
121	1991	Joya antiparálisis+ 4	4
122	1992	Joya del sueño+ 4	4
123	1993	Joya de voluntad+ 4	4
124	1994	Joya antinitro+ 4	4
125	1995	Joya de sutura+ 4	4
126	1996	Joya de bloqueo+ 4	4
127	1997	Joya de miasma+ 4	4
128	1998	Joya antigula+ 4	4
129	1999	Joya de recuperación+ 4	4
