NPC Code	NPC Name	Model Address
N001_NPC_NAME	Comandante	npc001
N002_NPC_NAME	Encargada	npc002
N003_NPC_NAME	Líder del equipo de campo	npc003
N004_NPC_NAME	Gestora de recursos	npc004
N005_NPC_NAME	Director de análisis	npc005
N006_NPC_NAME	Jefe tecnólogo	npc006
N007_NPC_NAME	Almacén	npc007
N009_NPC_NAME	Ecólogo jefe	npc009
N010_NPC_NAME	Botánico jefe	npc010
N011_NPC_NAME	Maxifusionadora	npc011
N012_NPC_NAME	Maestro de la 2.ª flota	npc012
N014_NPC_NAME	Armería	npc014
N015_NPC_NAME	Chef miausculoso	npc015
N016_NPC_NAME	Ayudante	npc016
N017_NPC_NAME	Maestro cazador	npc017
N018_NPC_NAME	Rastreadora	npc018
N019_NPC_NAME	Almirante	npc019
N020_NPC_NAME	Cazador wyveriano	npc020
N021_NPC_NAME	Maestra de la 3.ª flota	npc021
N022_NPC_NAME	Proveedor de la 3.ª flota	npc022
N023_NPC_NAME	Doctora lynian	npc023
N024_NPC_NAME	Primer wyveriano	npc024
N025_NPC_NAME	Entusiasta de clase A	npc025
N026_NPC_NAME	Encargada seria	npc026
N027_NPC_NAME	Investigador perdido	npc027
N028_NPC_NAME	Erudito risueño	npc028
N029_NPC_NAME	Erudito entusiasta	npc029
N030_NPC_NAME	Erudito animado	npc030
N032_NPC_NAME	Capitán	npc032
N033_NPC_NAME	Ayudante	npc033
N034_NPC_NAME	Ayudante	npc034
N035_NPC_NAME	Ayudante	npc035
N036_NPC_NAME	Primer wyveriano	npc036
N037_NPC_NAME	Experto en pesca	npc037
N038_NPC_NAME	Experta en fauna local	npc038
N039_NPC_NAME	Experto lynian	npc039
N040_NPC_NAME	Primer wyveriano	npc040
N102_NPC_NAME	Intenso de la 5.ª	npc102
N103_NPC_NAME	Amable de la 4.ª	npc103
N104_NPC_NAME	Fogoso de la 4.ª	npc104
N105_NPC_NAME	Enrollada de la 5.ª	npc105
N106_NPC_NAME	Gracioso de la 4.ª	npc106
N107_NPC_NAME	Enérgica de la 5.ª	npc107
N108_NPC_NAME	Tímido de la 5.ª	npc108
N109_NPC_NAME	Compañera de la 4.ª	npc109
N111_NPC_NAME	Cazador investigador	npc111
N112_NPC_NAME	Biólogo sabio	npc112
N113_NPC_NAME	Bióloga impaciente	npc113
N114_NPC_NAME	Botánica despreocupada	npc114
N116_NPC_NAME	Colega de la 5.ª	npc116
