Weapon ID	Weapon Name	File Path
1	Pica bellota F	otomo/wp/ot_we001
28	Martillo de hueso F	otomo/wp/ot_we028
29	Espada de aleación F	otomo/wp/ot_we029
2	Martillo pistola Jag F	otomo/wp/ot_we002
3	Banjo Kulu F	otomo/wp/ot_we003
4	Arco Pukei F	otomo/wp/ot_we004
5	Maza Barroth F	otomo/wp/ot_we005
6	Espada Jyura F	otomo/wp/ot_we006
7	Tenedor Kadachi F	otomo/wp/ot_we007
8	Mart. hueso Anja F	otomo/wp/ot_we008
11	Patas Lumu F	otomo/wp/ot_we011
9	Estoque Rathian F	otomo/wp/ot_we009
13	Bola Baan F	otomo/wp/ot_we013
30	Vara gatito del valle	otomo/wp/ot_we030
12	Espada Legiana F	otomo/wp/ot_we012
14	Hoja cadena Garon F	otomo/wp/ot_we014
16	Hoja Rathalos F	otomo/wp/ot_we016
17	Martillo Diablos F	otomo/wp/ot_we017
18	Zapurr filo divino F	otomo/wp/ot_we018
27	Guadaña letal F	otomo/wp/ot_we027
32	Pica bellota F <ICON ALPHA>	otomo/wp/ot_we001
33	Martillo de hueso F <ICON ALPHA>	otomo/wp/ot_we028
34	Espada aleación F <ICON ALPHA>	otomo/wp/ot_we029
35	Martillo pist. Jag F <ICON ALPHA>	otomo/wp/ot_we002
36	Banjo Kulu F <ICON ALPHA>	otomo/wp/ot_we003
37	Arco Pukei F <ICON ALPHA>	otomo/wp/ot_we004
38	Maza Barroth F <ICON ALPHA>	otomo/wp/ot_we005
39	Espada Jyura F <ICON ALPHA>	otomo/wp/ot_we006
40	Tenedor Kadachi F <ICON ALPHA>	otomo/wp/ot_we007
19	Muñeco de Zorah F <ICON ALPHA>	otomo/wp/ot_we019
41	Mart. hueso Anja F <ICON ALPHA>	otomo/wp/ot_we008
42	Patas Lumu F <ICON ALPHA>	otomo/wp/ot_we011
43	Estoque Rathian F <ICON ALPHA>	otomo/wp/ot_we009
44	Bola Baan F <ICON ALPHA>	otomo/wp/ot_we013
45	Vara gatito del valle <ICON ALPHA>	otomo/wp/ot_we030
46	Espada Legiana F <ICON ALPHA>	otomo/wp/ot_we012
47	Hoja cadena Garon F <ICON ALPHA>	otomo/wp/ot_we014
48	Hoja Rathalos F <ICON ALPHA>	otomo/wp/ot_we016
49	Martillo Diablos F <ICON ALPHA>	otomo/wp/ot_we017
50	Zapurr filo divino F <ICON ALPHA>	otomo/wp/ot_we018
20	Maza Lavasioth F <ICON ALPHA>	otomo/wp/ot_we020
21	Hierro Uragaan F <ICON ALPHA>	otomo/wp/ot_we021
26	Mazo Bazel F <ICON ALPHA>	otomo/wp/ot_we026
51	Guadaña letal F <ICON ALPHA>	otomo/wp/ot_we027
52	Espada Gajalaka F <ICON ALPHA>	otomo/wp/ot_we031
10	Martillo Nergigante F <ICON ALPHA>	otomo/wp/ot_we010
15	Espada Vaal F <ICON ALPHA>	otomo/wp/ot_we015
22	Maza de Káiser F <ICON ALPHA>	otomo/wp/ot_we022
23	Vara de Daora F <ICON ALPHA>	otomo/wp/ot_we023
24	Ramo Xeno F <ICON ALPHA>	otomo/wp/ot_we024
25	Unavailable	otomo/wp/ot_we001
53	Espada Gajalaka F	otomo/wp/ot_we200
54	Pico Grimalkyne	otomo/wp/ot_we100
100	Báculo maldito <ICON ALPHA>	otomo/wp/ot_we073
101	Pica bellota F	otomo/wp/ot_we000
102	Unavailable	otomo/wp/ot_we001
55	Abanico Kulve F <ICON ALPHA>	otomo/wp/ot_we025
56	Maza Vangis F <ICON ALPHA>	otomo/wp/ot_we033
57	Parasol Elisa F <ICON ALPHA>	otomo/wp/ot_we034
58	Mega Buster <ICON ALPHA>	otomo/wp/ot_we035
59	HARDUMMY	otomo/wp/ot_we036
60	Vara estr. celeste F	otomo/wp/ot_we037
61	Vara de chocobo dorado <ICON ALPHA>	otomo/wp/ot_we038
62	Espada samurái F <ICON ALPHA>	otomo/wp/ot_we039
63	Vara primaveral F	otomo/wp/ot_we040
64	Ukelele hawaiano F	otomo/wp/ot_we041
65	Lámpara Mialloween F	otomo/wp/ot_we042
66	Campana gato nival F	otomo/wp/ot_we043
67	Soporte de micro F	otomo/wp/ot_we044
68	Vara primaveral F <ICON ALPHA>	otomo/wp/ot_we040
69	Ukelele hawaiano F <ICON ALPHA>	otomo/wp/ot_we041
70	Lámpara Mialloween F <ICON ALPHA>	otomo/wp/ot_we042
71	Campana gato nival F <ICON ALPHA>	otomo/wp/ot_we043
72	Soporte de micro F <ICON ALPHA>	otomo/wp/ot_we044
110	Pico alpinista F <ICON ALPHA>+	otomo/wp/ot_we060
111	Martillo de hueso F <ICON ALPHA>+	otomo/wp/ot_we028
112	Espada aleación F <ICON ALPHA>+	otomo/wp/ot_we029
113	Martillo pist. Jag F <ICON ALPHA>+	otomo/wp/ot_we002
114	Banjo Kulu F <ICON ALPHA>+	otomo/wp/ot_we003
115	Arco Pukei F <ICON ALPHA>+	otomo/wp/ot_we004
116	Maza Barroth F <ICON ALPHA>+	otomo/wp/ot_we005
117	Espada Jyura F <ICON ALPHA>+	otomo/wp/ot_we006
118	Tabla de Beo F <ICON ALPHA>+	otomo/wp/ot_we051
119	Tenedor Kadachi F <ICON ALPHA>+	otomo/wp/ot_we007
120	Muñeco Grimalkyne F <ICON ALPHA>+	otomo/wp/ot_we052
121	Mart. hueso Anja F <ICON ALPHA>+	otomo/wp/ot_we008
122	Estoque Rathian F <ICON ALPHA>+	otomo/wp/ot_we009
123	Patas Lumu F <ICON ALPHA>+	otomo/wp/ot_we011
124	Bola Baan F <ICON ALPHA>+	otomo/wp/ot_we013
125	Vara gatito del valle <ICON ALPHA>+	otomo/wp/ot_we030
126	Guadaña letal F <ICON ALPHA>+	otomo/wp/ot_we027
127	Cuchillo Barioth F <ICON ALPHA>+	otomo/wp/ot_we046
