Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	Anti veneno	Reduce el daño al estar envenenado.
2	PT_PARALYSIS_RESIST_SKILL_PT	Anti parálisis	Reduce o elimina los efectosde la parálisis.
3	PT_SLEEP_RESIST_SKILL_PT	Anti sueño	Reduce o elimina los efectosdel sueño.
4	PT_STUN_RESIST_SKILL_PT	Anti aturdimiento	Reduce la duración del aturdimiento.
5	PT_DARUMA_RESIST_SKILL_PT	Anti fango	Reduce la movilidad impedidacuando estás atrapado en fangode monstruo.
6	PT_BOMB_RES_SKILL_PT	Anti nitro	Reduce o elimina los efectosde la plaga de nitro.
7	PT_PT_SCAR_RES_SKILL_PT	Anti sangrado	Reduce o anula el sangrado.
8	PT_DEFDOWN_RESIST_SKILL_PT	Anti reducción de defensa	Protege contra la defensareducida.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	Anti rugidos	Protege contra los rugidosde monstruos grandes.
12	PT_HUUATU_SKILL_PT	Anti viento	Reduce o anula los efectosde las ráfagas de viento.
13	PT_EATHQUAKE_RESIST_SKILL_PT	Anti temblores	Protege contra los temblores de tierra.
14	PT_UNKO_SKILL_PT	Bonus cápsula boñiga	Hace más fácil ahuyentar a monstruosgrandes con cápsulas boñiga.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	Anti efluvio	Anula o reduce el daño del efluvioen el Valle Putrefacto.
17	PT_ADAPT_SKILL_PT	Anti calor	Anula el daño por calor.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	Bonus ataque	Aumenta el ataque.En niveles altos tambiénmejora la afinidad.
20	PT_DEF_SKILL_PT	Bonus defensa	Aumenta la defensa.A niveles altos mejora tambiénlas resistencias elementales.
21	PT_VIT_SKILL_PT	Bonus salud	Aumenta la salud.
22	PT_HEEL_SKILL_PT	Bonus curación	Aumenta la cantidad de saludrecuperada al usar un objetocurativo.
23	PT_HEEL_SPEED_SKILL_PT	Recuperación rápida	Acelera la recuperación de dañotemporal (la parte roja de labarra de salud).
24	PT_FIRE_RESIST_SKILL_PT	Anti fuego	Aumenta la resistencia al fuego.En niveles más altos tambiénmejora la defensa.
25	PT_WATER_RESIST_SKILL_PT	Anti agua	Aumenta la resistencia al agua.En niveles más altos tambiénmejora la defensa.
26	PT_ICE_RESIST_SKILL_PT	Anti hielo	Aumenta la resistencia al hielo.En niveles más altos tambiénmejora la defensa.
27	PT_THUNDER_RESIST_SKILL_PT	Anti rayo	Aumenta la resistencia al rayo.En niveles más altos tambiénmejora la defensa.
28	PT_DRAGON_RESIST_SKILL_PT	Anti draco	Aumenta la resistencia al draco.En niveles más altos tambiénmejora la defensa.
29	PT_ATT_RESIST_SKILL_PT	Anti plagas	Otorga protección contra todaslas plagas elementales.
30	PT_FIRE_ATK_SKILL_PT	Ataque de fuego	Potencia los ataques elementales de fuego.(El poder elemental tiene un máximo).
31	PT_WATER_ATK_SKILL_PT	Ataque de agua	Potencia los ataques elementales de agua.(El poder elemental tiene un máximo).
32	PT_ICE_ATK_SKILL_PT	Ataque de hielo	Potencia los ataques elementales de hielo.(El poder elemental tiene un máximo).
33	PT_THUNDER_ATK_SKILL_PT	Ataque de rayo	Potencia los ataques elementales de rayo.(El poder elemental tiene un máximo).
34	PT_DRAGON_ATK_SKILL_PT	Ataque de draco	Potencia los ataques elementales de draco.(El poder elemental tiene un máximo).
35	PT_POISON_ATK_SKILL_PT	Ataque venenoso	Acelera la acumulación de veneno.(La acumulación de estados alteradostiene un nivel máximo).
36	PT_PARALYSIS_ATK_SKILL_PT	Ataque paralizante	Acelera la acumulación de parálisis.(La acumulación de estados alteradostiene un nivel máximo).
37	PT_SLEEP_ATK_SKILL_PT	Ataque de sueño	Acelera la acumulación de sueño.(La acumulación de estados alteradostiene un nivel máximo).
38	PT_BLAST_ATK_SKILL_PT	Ataque nitro	Acelera la acumulación de nitro.(La acumulación de estados alteradostiene un nivel máximo).
39	PT_NORMAL_UP_SKILL_PT	Disparo normal	Aumenta el poder de la municióny flechas normales.
40	PT_PIERCE_UP_SKILL_PT	Disparo perforante	Aumenta el poder de la municiónperforante y perforadragones.
41	PT_SPREAD_UP_G_SKILL_PT	Disparo abanico/potente	Aumenta el poder de ataque de los tiroscon munición abanico, las flechasde disparo potente y mil dragones.
42	PT_ADD_POISONBIN_SKILL_PT	Añade veneno	Permite aplicar viales de veneno.
43	PT_ADD_PARALYSISBIN_SKILL_PT	Añade parálisis	Permite aplicar viales paralizantes.
44	PT_ADD_SLEEPBIN_SKILL_PT	Añade sueño	Permite aplicar viales sedantes.
45	DUMMY000015	Unavailable	Unavailable
46	PT_ADD_BOMBBIN_SKILL_PT	Añade nitro	Permite aplicar viales de nitro.
47	PT_AWAKE_SKILL_PT	Elem. oculto/munición+	Desbloquea el elemento oculto de tu armay mejora la capacidad de la ballesta.(La capacidad de carga tiene un máximo).
48	PT_CRI_SKILL_PT	Bonus afinidad	Aumenta la afinidad.
49	PT_SUPER_CRI_SKILL_PT	Bonus críticos	Aumenta el daño de golpes críticos.
50	PT_WEAK_ATK_SKILL_PT	Bonus punto débil	Aumenta la afinidad de ataquesque aprovechan el puntodébil de un monstruo.
51	DUMMY000018	Unavailable	Unavailable
52	PT_CONCENTRATION_SKILL_PT	Tiempo de carga	Carga los indicadores de armasrápidamente, así como los ataquescargados con armas que lo permitan.
53	PT_KEEP_SKILL_PT	Carga prolongada	Las espadas largas, espadas dobles, glaivesinsecto, hachas espada y hachas cargadaspermanecen cargadas más tiempo.
54	PT_TAKUMI_SKILL_PT	Artesanía	Extiende la barra de afilado del arma.Sin embargo, no lo hará más alláde su máximo predeterminado.
55	PT_BATTO_WAZA_SKILL_PT	Bonus al desenfundar	Aumenta la afinidad al realizar ataquestras desenfundar o preparar el arma.
