Stage ID	Stage Name
ST101	Bosque Primigenio
ST102	Yermo de Agujas
ST103	Altiplanos Coralinos
ST104	Valle Putrefacto
ST105	Lecho de los Ancianos
ST106	Gran Desfiladero
ST107	Gran Desfiladero
ST201	Arena especial
ST202	Arena
ST301	Astera
ST302	Sala de reunión
ST303	Base de investigación
ST304	
ST401	
ST402	
ST403	Torrente Eterno
ST404	
ST405	Confluencia de destinos
ST406	¿?
ST409	Cavernas de El Dorado
ST501	Sala común
ST502	Sala privada
ST503	Sala de lujo
ST504	Zona de entrenamiento
ST505	Cámara de los Cinco
ST301_1	Astera
ST108	Arroyo de Escarcha
ST305	Seliana
ST305s	Seliana
ST109	Las Tierras Destino
ST411	Suministros de Seliana
ST412	Isla Génesis
ST302s	Sala reunión Astera
ST306s	Sala reunión Seliana
ST301m	Astera
ST305m	Seliana
ST506	Tu hogar en Seliana
ST302_S	Sala de reunión
ST415	Valle Remoto
ST416	Valle Remoto
ST417	Castillo Skrad
ST203	Suministros de Seliana
