Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	1	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	2	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	3	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	4	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	5	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	6	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	10	Espada Cazadora I	0	Combined Model	wp/two/two002	
0	GreatSword	11	Espada Cazadora II	0	Combined Model	wp/two/two002	
0	GreatSword	12	Espada Cazadora III	1	Combined Model	wp/two/two002	
0	GreatSword	13	Hoja Cazadora I	2	Combined Model	wp/two/two002	
0	GreatSword	14	Hoja Cazadora II	3	Combined Model	wp/two/two002	
0	GreatSword	15	Hoja Cazadora III	4	Combined Model	wp/two/two002	
0	GreatSword	16	Cromocuchilla I	5	Combined Model	wp/two/two002	
0	GreatSword	17	Cromocuchilla II	5	Combined Model	wp/two/two002	
0	GreatSword	18	Sentencia Nergal	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	19	Purgatorio Atroz	7	Unique Model	wp/two/two004	
0	GreatSword	20	Hoja Trueno I	2	Combined Model	wp/two/two002	
0	GreatSword	21	Hoja Trueno II	3	Combined Model	wp/two/two002	
0	GreatSword	22	Castigadora Relámpago I	4	Combined Model	wp/two/two003	
0	GreatSword	23	Castigadora Relámpago II	5	Combined Model	wp/two/two003	
0	GreatSword	24	Castigadora Relámpago III	5	Combined Model	wp/two/two003	
0	GreatSword	94	Espada Helada I	3	Combined Model	wp/two/two002	
0	GreatSword	95	Espada Helada II	4	Combined Model	wp/two/two002	
0	GreatSword	96	Filo Gélido I	5	Combined Model	wp/two/two001	
0	GreatSword	97	Filo Gélido II	5	Combined Model	wp/two/two001	
0	GreatSword	25	Espadón Jagras I	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	26	Espadón Jagras II	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	27	Espadón Jagras III	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	28	Cortador Jagras I	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	29	Cortador Jagras II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	30	Cortador Jagras III	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	31	Filo Girros I	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	32	Filo Girros II	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	33	Beso de Plaga I	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	34	Beso de Plaga II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	35	Beso de Plaga III	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	36	Ardor de Lava I	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	37	Ardor de Lava II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	38	Espadón Floral I	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	39	Espadón Floral II	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	40	Espadón Floral III	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	41	Ardor Datura I	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	42	Ardor Datura II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	43	Ardor Datura III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	44	Espadón Abrasador I	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	45	Espadón Abrasador II	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	46	Ala Roja	5	Unique Model	wp/two/two003	
0	GreatSword	47	Ala Azul	6	Unique Model	wp/two/two008	
0	GreatSword	48	Glinespada Rathalos	7	Unique Model	wp/two/two008	
0	GreatSword	49	Espadón Óseo I	0	Combined Model	wp/two/two005	
0	GreatSword	50	Espadón Óseo II	0	Combined Model	wp/two/two005	
0	GreatSword	51	Espadón Óseo III	1	Combined Model	wp/two/two005	
0	GreatSword	52	Decapitadora Ósea I	2	Combined Model	wp/two/two005	
0	GreatSword	53	Decapitadora Ósea II	3	Combined Model	wp/two/two005	
0	GreatSword	54	Decapitadora Ósea III	4	Combined Model	wp/two/two005	
0	GreatSword	55	Filo Mandibular I	5	Combined Model	wp/two/two006	
0	GreatSword	56	Filo Mandibular II	5	Combined Model	wp/two/two006	
0	GreatSword	57	Kys Hazak	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	58	Furia de Leviatán	7	Unique Model	wp/two/two006	
0	GreatSword	59	Flammenzahn	2	Unique Model	wp/two/two005	
0	GreatSword	60	Flammenzahn+	4	Unique Model	wp/two/two005	
0	GreatSword	61	Flammenzahn Mordiente	6	Unique Model	wp/two/two005	
0	GreatSword	62	Cortadora Aqua I	1	Combined Model	wp/two/two005	
0	GreatSword	63	Cortadora Aqua II	2	Combined Model	wp/two/two005	
0	GreatSword	64	Cortadora Aqua III	3	Combined Model	wp/two/two005	
0	GreatSword	65	Gólem Acuático I	4	Combined Model	wp/two/two004	
0	GreatSword	66	Gólem Acuático II	5	Combined Model	wp/two/two004	
0	GreatSword	67	Gólem Acuático III	5	Combined Model	wp/two/two004	
0	GreatSword	68	Partecarcasas I	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	69	Partecarcasas II	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	70	Partecarcasas III	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	71	Triturabarroth I	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	72	Triturabarroth II	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	73	Triturabarroth III	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	74	Espada Sierra I	2	Combined Model	wp/two/two005	wp/two/parts/op_two007
0	GreatSword	75	Espada Sierra II	3	Combined Model	wp/two/two005	wp/two/parts/op_two007
0	GreatSword	76	Losa Radobaan I	4	Combined Model	wp/two/two004	wp/two/parts/op_two007
0	GreatSword	77	Losa Radobaan II	5	Combined Model	wp/two/two004	wp/two/parts/op_two007
0	GreatSword	78	Losa Radobaan III	5	Combined Model	wp/two/two004	wp/two/parts/op_two007
0	GreatSword	79	Espadón Dracósteo I	2	Combined Model	wp/two/two005	
0	GreatSword	80	Espadón Dracósteo II	3	Combined Model	wp/two/two005	
0	GreatSword	81	Espadón Dracósteo III	5	Combined Model	wp/two/two005	
0	GreatSword	98	Magda Potestas I	4	Combined Model	wp/two/two005	wp/two/parts/op_two012
0	GreatSword	82	Magda Potestas II	6	Combined Model	wp/two/two005	wp/two/parts/op_two012
0	GreatSword	83	Espada Trueno	3	Unique Model	wp/two/two002	
0	GreatSword	84	Espada Eléctrica Kirin	6	Unique Model	wp/two/two002	
0	GreatSword	85	Espada Eléctrica Rey	7	Unique Model	wp/two/two002	
0	GreatSword	86	Gran Acero Negro I	4	Combined Model	wp/two/two002	
0	GreatSword	87	Gran Acero Negro II	5	Combined Model	wp/two/two002	
0	GreatSword	88	Hoja Acero Helado	6	Unique Model	wp/two/two001	
0	GreatSword	89	Diezmador Daora	7	Unique Model	wp/two/two001	
0	GreatSword	90	Xeno Maliq	7	Combined Model	wp/two/two002	wp/two/parts/op_two010
0	GreatSword	91	Filo Muerdedragón	5	Unique Model	wp/two/two007	
0	GreatSword	92	Gran Filo Muerdedragón	7	Unique Model	wp/two/two007	
0	GreatSword	7	Espada de Berserker	5	Unique Model	wp/two/two009	
0	GreatSword	8	Agonía	6	Unique Model	wp/two/two009	
0	GreatSword	9	"Ímpetu wyvern ""Acero"""	3	Unique Model	wp/two/two010	
0	GreatSword	99	"Ímpetu wyvern ""Impacto"""	6	Unique Model	wp/two/two010	
0	GreatSword	100	Mandoble Áureo (agua)	5	Combined Model (KT Weapon)	wp/two/bs_two007	
0	GreatSword	101	Mandoble Áureo (hielo)	5	Combined Model (KT Weapon)	wp/two/bs_two007	
0	GreatSword	102	Mandoble Áureo (sueño)	5	Combined Model (KT Weapon)	wp/two/bs_two007	
0	GreatSword	103	Mandoble Áureo (Jagras)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two003
0	GreatSword	104	Mandoble Áureo (Pukei)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two002
0	GreatSword	105	Mandoble Áureo (Barroth)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two004
0	GreatSword	106	Mandoble Áureo (Girros)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two006
0	GreatSword	107	Mandoble Áureo (Radob.)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two007
0	GreatSword	108	Mandoble Áureo (Vaal)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two008
0	GreatSword	109	Mandoble Áureo (Rathal.)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two001
0	GreatSword	110	Mandoble Áureo (Lavasth.)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two009
0	GreatSword	111	Mandoble Áureo (Zorah)	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two012
0	GreatSword	112	Espadón Taroth (Jagras)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two003
0	GreatSword	113	Espadón Taroth (Pukei)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two002
0	GreatSword	114	Espadón Taroth (Barroth)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two004
0	GreatSword	115	Espadón Taroth (Girros)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two006
0	GreatSword	116	Espadón Taroth (Radob.)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two007
0	GreatSword	117	Espadón Taroth (Vaal)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two008
0	GreatSword	118	Espadón Taroth (Rathal.)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two001
0	GreatSword	119	Espadón Taroth (Lavasth.)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two009
0	GreatSword	120	Espadón Taroth (Zorah)	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two012
0	GreatSword	121	Espadón Taroth (agua)	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	122	Espadón Taroth (hielo)	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	123	Espadón Taroth (sueño)	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	124	Galea Lunastra	6	Combined Model	wp/two/two009	
0	GreatSword	125	Galea Lunastra (Luna)	7	Combined Model	wp/two/two009	
0	GreatSword	126	Galea Lunastra (Nerg)	7	Combined Model	wp/two/two009	wp/two/parts/op_two005
0	GreatSword	127	Galea Lunastra (Xeno)	7	Combined Model	wp/two/two009	wp/two/parts/op_two010
0	GreatSword	128	Espadón Taroth (rayo)	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	129	Mandoble Kjárr (Girros)	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two006
0	GreatSword	130	Mandoble Kjárr (Vaal)	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two008
0	GreatSword	131	Mandoble Kjárr (Rathal.)	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two001
0	GreatSword	132	Mandoble Kjárr (Zorah)	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two012
0	GreatSword	133	Mandoble Kjárr (agua)	7	Combined Model (KT Weapon)	wp/two/bs_two014	
0	GreatSword	134	Mandoble Kjárr (hielo)	7	Combined Model (KT Weapon)	wp/two/bs_two014	
0	GreatSword	135	Mandoble Kjárr (rayo)	7	Combined Model (KT Weapon)	wp/two/bs_two014	
0	GreatSword	136	Espadón de defensor I	0	Combined Model	wp/two/two001	
0	GreatSword	137	Espadón de defensor II	2	Combined Model	wp/two/two001	
0	GreatSword	138	Espadón de defensor III	4	Combined Model	wp/two/two001	
0	GreatSword	139	Espadón de defensor IV	5	Combined Model	wp/two/two001	
0	GreatSword	140	Espadón de defensor V	6	Combined Model	wp/two/two001	
0	GreatSword	141	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	142	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	143	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	144	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	145	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	146	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	147	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	148	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	149	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	150	Cromoguadaña mortal I	8	Combined Model	wp/two/two010	
0	GreatSword	151	Cromoguadaña mortal II	9	Combined Model	wp/two/two010	
0	GreatSword	152	Cromoguadaña mortal III	10	Combined Model	wp/two/two010	
0	GreatSword	153	Atrocidad regia	11	Unique Model	wp/two/two014	
0	GreatSword	154	Castigadora Relámpago IV	8	Combined Model	wp/two/two003	
0	GreatSword	155	Rayo cortante I	9	Combined Model	wp/two/two003	wp/two/parts/op_two022
0	GreatSword	156	Rayo cortante II	10	Combined Model	wp/two/two003	wp/two/parts/op_two022
0	GreatSword	157	Verdugo infernal	10	Combined Model	wp/two/two003	wp/two/parts/op_two023
0	GreatSword	158	Filo Gélido III	8	Combined Model	wp/two/two001	
0	GreatSword	159	Colmillo carámbano	9	Unique Model	wp/two/two011	
0	GreatSword	160	Colmillo carámbano+	9	Unique Model	wp/two/two011	
0	GreatSword	161	Palafunesto	10	Unique Model	wp/two/two011	
0	GreatSword	162	Garra mortal Jagras I	8	Combined Model	wp/two/two010	wp/two/parts/op_two003
0	GreatSword	163	Garra mortal Jagras II	9	Combined Model	wp/two/two010	wp/two/parts/op_two003
0	GreatSword	164	Gran hacha mamut I	8	Combined Model	wp/two/two003	wp/two/parts/op_two020
0	GreatSword	165	Gran hacha mamut II	9	Combined Model	wp/two/two003	wp/two/parts/op_two020
0	GreatSword	166	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	167	Guillotina Naaga I	8	Combined Model	wp/two/two003	wp/two/parts/op_two006
0	GreatSword	168	Guillotina Naaga II	9	Combined Model	wp/two/two003	wp/two/parts/op_two006
0	GreatSword	169	Hoja oculta I	9	Combined Model	wp/two/two001	wp/two/parts/op_two017
0	GreatSword	170	Hoja oculta II	9	Combined Model	wp/two/two001	wp/two/parts/op_two017
0	GreatSword	171	Espadón de pira I	9	Combined Model	wp/two/two002	wp/two/parts/op_two009
0	GreatSword	172	Espadón de pira II	9	Combined Model	wp/two/two002	wp/two/parts/op_two009
0	GreatSword	173	Filo Glavenus I	9	Combined Model	wp/two/two001	wp/two/parts/op_two018
