Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	Poison Resistance	Reduces damage while poisoned.
2	PT_PARALYSIS_RESIST_SKILL_PT	Paralysis Resistance	Reduces the duration of paralysis.
3	PT_SLEEP_RESIST_SKILL_PT	Sleep Resistance	Reduces the duration of sleep.
4	PT_STUN_RESIST_SKILL_PT	Stun Resistance	Reduces stun duration.
5	PT_DARUMA_RESIST_SKILL_PT	Muck Resistance	Reduces impairments to mobilitywhile stuck in monster muck.
6	PT_BOMB_RES_SKILL_PT	Blast Resistance	Grants protection against blastblight.
7	PT_PT_SCAR_RES_SKILL_PT	Bleeding Resistance	Grants protection against bleeding.
8	PT_DEFDOWN_RESIST_SKILL_PT	Iron Skin	Grants protection againstDefense Down.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	Earplugs	Grants protection fromlarge monsters' roars.
12	PT_HUUATU_SKILL_PT	Windproof	Grants protection against windpressure.
13	PT_EATHQUAKE_RESIST_SKILL_PT	Tremor Resistance	Grants protection against groundtremors.
14	PT_UNKO_SKILL_PT	Dungmaster	Makes monsters hit with slingerdung pods more likely to run.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	Effluvial Expert	Nullifies or reduces environmentaldamage in the Rotten Vale.
17	PT_ADAPT_SKILL_PT	Heat Guard	Nullifies damage from heat.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	Attack Boost	Increases attack power.Also improves affinity athigher levels.
20	PT_DEF_SKILL_PT	Defense Boost	Increases defense. Level upto improve resistances as well.
21	PT_VIT_SKILL_PT	Health Boost	Increases health.
22	PT_HEEL_SKILL_PT	Recovery Up	Increases the amount recoveredwhen restoring health.
23	PT_HEEL_SPEED_SKILL_PT	Recovery Speed	Speeds healing of recoverabledamage (the red portion of thehealth gauge).
24	PT_FIRE_RESIST_SKILL_PT	Fire Resistance	Increases fire resistance.Also improves defense athigher levels.
25	PT_WATER_RESIST_SKILL_PT	Water Resistance	Increases water resistance.Also improves defense athigher levels.
26	PT_ICE_RESIST_SKILL_PT	Ice Resistance	Increases ice resistance.Also improves defense athigher levels.
27	PT_THUNDER_RESIST_SKILL_PT	Thunder Resistance	Increases thunder resistance.Also improves defense athigher levels.
28	PT_DRAGON_RESIST_SKILL_PT	Dragon Resistance	Increases dragon resistance.Also improves defense athigher levels.
29	PT_ATT_RESIST_SKILL_PT	Blight Resistance	Grants protection against allelemental blights.
30	PT_FIRE_ATK_SKILL_PT	Fire Attack	Increases fire element attack power.(Elemental attack power hasa maximum limit.)
31	PT_WATER_ATK_SKILL_PT	Water Attack	Increases water element attack power.(Elemental attack power hasa maximum limit.)
32	PT_ICE_ATK_SKILL_PT	Ice Attack	Increases ice element attack power.(Elemental attack power hasa maximum limit.)
33	PT_THUNDER_ATK_SKILL_PT	Thunder Attack	Increases thunder element attack power.(Elemental attack power hasa maximum limit.)
34	PT_DRAGON_ATK_SKILL_PT	Dragon Attack	Increases dragon element attack power.(Elemental attack power hasa maximum limit.)
35	PT_POISON_ATK_SKILL_PT	Poison Attack	Increases the rate of poison buildup.(Elemental buildup has a maximum limit.)
36	PT_PARALYSIS_ATK_SKILL_PT	Paralysis Attack	Increases the rate of paralysis buildup.(Elemental buildup has a maximum limit.)
37	PT_SLEEP_ATK_SKILL_PT	Sleep Attack	Increases the rate of sleep buildup.(Elemental buildup has a maximum limit.)
38	PT_BLAST_ATK_SKILL_PT	Blast Attack	Increases the rate of blast buildup.(Elemental buildup has a maximum limit.)
39	PT_NORMAL_UP_SKILL_PT	Normal Shots	Increases the attack powerof normal ammo andnormal arrows.
40	PT_PIERCE_UP_SKILL_PT	Piercing Shots	Increases the attack powerof piercing ammo and DragonPiercer.
41	PT_SPREAD_UP_G_SKILL_PT	Spread/Power Shots	Increases the attack powerof spread ammo, power shotarrows, and Thousand Dragons.
42	PT_ADD_POISONBIN_SKILL_PT	Poison Functionality	Allows you to apply poisoncoatings.
43	PT_ADD_PARALYSISBIN_SKILL_PT	Para Functionality	Allows you to apply paralysiscoatings.
44	PT_ADD_SLEEPBIN_SKILL_PT	Sleep Functionality	Allows you to apply sleepcoatings.
45	DUMMY000015	Unavailable	Unavailable
46	PT_ADD_BOMBBIN_SKILL_PT	Blast Functionality	Allows you to apply blastcoatings.
47	PT_AWAKE_SKILL_PT	Free Elem/Ammo Up	Unlocks your weapon's hidden element.Also increases bowgun loading capacity.(There is a cap to loading capacity.)
48	PT_CRI_SKILL_PT	Critical Eye	Increases affinity.
49	PT_SUPER_CRI_SKILL_PT	Critical Boost	Increases the damage ofcritical hits.
50	PT_WEAK_ATK_SKILL_PT	Weakness Exploit	Increases the affinity of attacksthat exploit a monster weak spot.
51	DUMMY000018	Unavailable	Unavailable
52	PT_CONCENTRATION_SKILL_PT	Focus	Increases the fill rate for weaponswith gauges and the charge ratefor weapons with charge attacks.
53	PT_KEEP_SKILL_PT	Power Prolonger	Allows long swords, dual blades, insectglaives, switch axes, and charge bladesto stay powered up longer.
54	PT_TAKUMI_SKILL_PT	Handicraft	Extends the weapon sharpness gauge.However, it will not increase the gaugepast its maximum.
55	PT_BATTO_WAZA_SKILL_PT	Critical Draw	Increases affinity whenperforming draw attacks.
56	PT_CRUSH_SKILL_PT	Partbreaker	Makes it easier to break orsever parts of large monsters.
57	PT_KO_SKILL_PT	Slugger	Makes it easier to stun monsters.
58	PT_STAMINA_DMG_SKILL_PT	Stamina Thief	Increases certain attacks'ability to exhaust monsters.
59	PT_NORI_SKILL_PT	Master Mounter	Makes it easier to mount monsters.
60	PT_HIEN_SKILL_PT	Airborne	Increases the damage caused byjumping attacks.
61	PT_POWER_AWAKE_SKILL_PT	Latent Power	Temporarily increases affinity andreduces stamina depletion whencertain conditions are met.
62	PT_CHALLENGER_SKILL_PT	Agitator	Increases attack power andaffinity when large monstersbecome enraged.
63	PT_FULL_CHARGE_SKILL_PT	Peak Performance	Increases attack whenyour health is full.
64	PT_KAZIBA_SKILL_PT	Heroics	Increases attack power and defensewhen health drops to 35% or lower.
65	PT_HUKUTU_G_SKILL_PT	Fortify	Temporarily increases your attackand defense every time you faintup to 2 times.
66	PT_SAKAURAMI_SKILL_PT	Resentment	Increases attack when you haverecoverable damage (the redportion of your health gauge).
67	PT_KATSU_SKILL_PT	Resuscitate	Improves evasion and reducesstamina depletion when afflictedwith abnormal status effects.
68	PT_HUE_SKILL_PT	Horn Maestro	Increases the effect duration ofhunting horn melodies.
69	PT_LOAD_UP_SKILL_PT	Capacity Boost	Increases the gunlance'sshell capacity and chargeblade's phial capacity.
70	PT_EXBULLET_UP_G_SKILL_PT	Special Ammo Boost	Increases the power of bowgunspecial ammo, Dragon Piercer,and Thousand Dragons.
71	PT_CANNON_SKILL_PT	Artillery	Strengthens explosive attacks likegunlance shells, Wyvern's Fire, chargeblade phial attacks, and sticky ammo.
72	PT_GUNNER_SKILL_PT	Heavy Artillery	Increases the firepower ofballistae and cannons.
73	PT_RUNNER_SKILL_PT	Marathon Runner	Slows down stamina depletionfor actions which continuouslydrain stamina (such as dashing).
74	PT_GYM_SKILL_PT	Constitution	Reduces stamina depletionwhen performing stamina-drainingmoves such as evading, etc.
75	PT_JUMP_SKILL_PT	Leap of Faith	Allows you to do a dive-evade whenfacing towards large monsters, andextends the dive-evade distance.
76	PT_STAMINA_SPEED_SKILL_PT	Stamina Surge	Speeds up stamina recovery.
77	G_PT_HUNGER_SKILL_PT	Hunger Resistance	Reduces maximum stamina depletion overtime. However, does not work againstcold environments that reduce stamina.
78	PT_AVOID_UP_SKILL_PT	Evade Window	Extends the invulnerabilityperiod when evading.
79	PT_AVOID_DISTANCE_SKILL_PT	Evade Extender	Increases evade distance.
80	PT_GUARD_UP_SKILL_PT	Guard	Reduces knockbacks and staminadepletion when guarding.
81	PT_NOUTOU_SPEED_SKILL_PT	Quick Sheath	Speeds up weapon sheathing.
82	PT_WIDE_SKILL_PT	Wide-Range	Allows the effects of certainitems to also affect nearby allies.
83	PT__ITEM_UP_SKILL_PT	Item Prolonger	Extends the durationof some item effects.
84	PT_MANZOK_SKILL_PT	Free Meal	Gives you a predeterminedchance of consuming a foodor drink item for free.
85	PT_HAYAGUI_SKILL_PT	Speed Eating	Increases meat-eating anditem-consumption speed.
86	PT_TOISI_SPEED_SKILL_PT	Speed Sharpening	Speeds up weapon sharpeningwhen using a whetstone.
87	DUMMY000021	Unavailable	Unavailable
88	PT_BOMBER_SKILL_PT	Bombardier	Increases the damageof explosive items.
89	DUMMY000024	Unavailable	Unavailable
90	PT_KINOKO_LOVER_SKILL_PT	Mushroomancer	Lets you digest mushrooms thatwould otherwise be inedible andgain their advantageous effects.
91	PT_FISHING_SKILL_PT	Master Fisher	Improves your skill at fishing.
92	PT_STEAK_SKILL_PT	BBQ Master	Improves your skill at cookingmeat.
93	PT_TRANSPORTER_SKILL_PT	Pro Transporter	Increases your speed whiletransporting items and decreasesthe likelihood of dropping them.
94	PT_SAISYU_SKILL_PT	Master Gatherer	Allows you to gather more quickly,and also prevents attacks fromknocking you back while gathering.
95	PT_HONEY_HUNTER_SKILL_PT	Honey Hunter	Increases the quantity of honey youreceive when gathering in the field.
96	PT_HAGI_IRON_SKILL_PT	Carving Pro	Prevents knockback fromattacks while carving.
97	PT_BREATH_SKILL_PT	Divine Blessing	Has a predetermined chance ofreducing the damage you take.
98	PT_OTOMO_LEADER_SKILL_PT	Palico Rally	Powers up Palicoes.
99	PT_BOTANY_SKILL_PT	Botanist	Increases the quantity of herbsand other consumable items yougather.
100	PT_GEOLOGY_SKILL_PT	Geologist	Increases the number of timesyou can use a gathering point.
