任务ID	任务名称	任务目标	任务失败条件
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	贼龙与古代树森林	讨伐7头贼龙	·限制时间结束·3次力尽倒下
00102	冠突龙骚动中	完成任务	·限制时间结束·3次力尽倒下
00103	狩猎大贼龙吧	狩猎大贼龙	·限制时间结束·3次力尽倒下
00151	突击冠突龙！	讨伐12头冠突龙	·限制时间结束·3次力尽倒下
00152	森林恶棍	讨伐7头贼龙	·限制时间结束·3次力尽倒下
00153	在古代树森林中采集菇类	交纳特产茸菇20个	·限制时间结束·3次力尽倒下
00201	致力于设置营地	狩猎搔鸟	·限制时间结束·3次力尽倒下
00205	紧急任务·狩猎毒妖鸟	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00241	精通飞翔爪吧！	学习飞翔爪的使用方法	·限制时间结束·3次力尽倒下·狩猎大贼龙
00251	来自深绿的猎食战士	狩猎大贼龙	·限制时间结束·3次力尽倒下
00252	搔鸟是收藏家？	狩猎搔鸟	·限制时间结束·3次力尽倒下
00261	捕获：搔鸟的生态调查	捕获搔鸟	·限制时间结束·3次力尽倒下·讨伐搔鸟
00262	美味的鱼有獠牙	讨伐咬鱼7只	·限制时间结束·3次力尽倒下
00263	驱除荒野之虫	讨伐巨蜂14只	·限制时间结束·3次力尽倒下
00301	横冲直撞的狂徒们！？	完成任务	·限制时间结束·3次力尽倒下
00302	险恶的沼泽	完成任务	·限制时间结束·3次力尽倒下
00305	雷电奔走的飞雷龙	狩猎飞雷龙	·限制时间结束·3次力尽倒下
00306	森林暴徒·蛮颚龙	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00331	特殊斗技场：毒妖鸟篇	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00332	特殊斗技场：土砂龙篇	狩猎土砂龙	·限制时间结束·3次力尽倒下
00333	特殊斗技场：飞雷龙篇	狩猎飞雷龙	·限制时间结束·3次力尽倒下
00351	调查毒妖鸟	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00352	飞雷龙飞舞之森	狩猎飞雷龙	·限制时间结束·3次力尽倒下
00361	满身泥巴大突击！	狩猎土砂龙	·限制时间结束·3次力尽倒下
00362	潜行泥边的泥鱼龙	狩猎泥鱼龙	·限制时间结束·3次力尽倒下
00363	仙人掌的季节即将来临	交纳小颗仙人掌20个	·限制时间结束·3次力尽倒下
00364	我是荒地的搬运工	交纳草食龙的蛋2个	·限制时间结束·3次力尽倒下
00365	捕获：土砂龙的生态调查	捕获土砂龙	·限制时间结束·3次力尽倒下·讨伐土砂龙
00401	熔山龙捕获作战	完成任务	·限制时间结束·3次力尽倒下
00405	飞吧，浮空龙！	狩猎浮空龙	·限制时间结束·3次力尽倒下
00407	狩猎骨锤龙为粉身碎骨之战！	狩猎骨锤龙	·限制时间结束·3次力尽倒下
00408	华丽猎人·风漂龙	狩猎风漂龙	·限制时间结束·3次力尽倒下
