场景ID	场景名称
ST101	古代树森林
ST102	大蚁冢荒地
ST103	陆珊瑚台地
ST104	瘴气之谷
ST105	龙结晶之地
ST106	大峡谷
ST107	大峡谷
ST201	特殊斗技场
ST202	斗技场
ST301	调查据点
ST302	集会区域
ST303	研究基地
ST304	×卡特辛的船
ST401	×火山龙战２
ST402	
ST403	地脉回廊
ST404	
ST405	地脉收束地
ST406	？？？
ST409	地脉黄金乡
ST501	二等小屋
ST502	一等小屋
ST503	特等小屋
ST504	锻炼区域
ST505	五只龙之间
ST301_1	调查据点 星辰
ST108	永霜冻土
ST305	月辰
ST305s	前线据点
ST109	聚魔之地
ST411	兵器置放处
ST412	起源的孤岛
ST302s	调查据点的集会区域
ST306s	前线据点的集会区域
ST301m	调查据点星辰
ST305m	前线据点月辰
ST506	前线据点的小屋
ST302_S	集会区域
ST415	幽境之谷
ST416	幽境之谷
ST417	虚黑城
ST203	兵器置放处
