怪物ID	怪物代码	怪物名称
0	EM100	蛮颚龙
1	EM002	火龙
2	EMS001	草食龙
3	EMS049	贼龙
4	EM106	熔山龙
5	EMS004	香菇猪 
6	EMS029	咬鱼
7	EM101	大贼龙
8	EMS051	冠突龙♂
9	EM001	雌火龙
10	EM001_01	樱火龙
11	EM002_01	苍火龙
12	EM007	角龙
13	EM007_01	黑角龙
14	EM011	麒麟
15	EM121_01	贝希摩斯
16	EM024	钢龙
17	EM026	炎妃龙
18	EM027	炎王龙
19	EM036	熔岩龙
20	EM043	恐暴龙
21	EM044	土砂龙
22	EM045	爆锤龙
23	EM127_00	鹿首精
24	EM102	毒妖鸟
25	EM103	灭尽龙
26	EM105	冥灯龙
27	EM107	搔鸟
28	EM107_01	眩鸟
29	EM108	泥鱼龙
30	EM109	飞雷龙
31	EM110	浮空龙
32	EM111	风漂龙
33	EM112	大痹贼龙
34	EM113	惨爪龙
35	EM114	骨锤龙
36	EM115	尸套龙
37	EM116	岩贼龙
38	EM117	绚辉龙
39	EM118	爆鳞龙
40	EMS002	甲壳草食龙 
41	EMS003	精灵鹿
42	EMS003_05	精灵鹿
43	EMS005	巨甲虫
44	EMS006	巨蜂
45	EMS050	行翼龙
46	EMS051_05	冠突龙♀
47	EMS053	芳翼龙
48	EMS054	猫蜥龙
49	EMS055	酸翼龙
50	EMS056	痹贼龙
51	EM127_01	古代鹿首精
52	EMS058	突击龙
53	EMS059	响翼龙
54	EMS060_00	散热器官
55	EMS060_01	×副散热器官
56	EMS061	奇面族
57	EMXXX	？？？
58	EM001_99	雌火龙？？？
59	EMS051_99	冠突龙
60	EMS061_02	黄金奇面族
61	EM032_00	轰龙
62	EM037_00	迅龙
63	EM042_00	冰牙龙
64	EM_TEST_00001	惶怒恐暴龙
65	EM063_00	碎龙
66	EM080_00	斩龙
67	EM080_01	硫斩龙
68	EM100_01	雷颚龙
69	EM102_01	水妖鸟
70	EM103_05	歼世灭尽龙
71	EM109_01	痹毒龙
72	EM110_01	浮眠龙
73	EM111_05	霜翼风漂龙
74	EM113_01	凶爪龙
75	EM115_05	雾瘴尸套龙
76	EM118_05	红莲爆鳞龙
77	EM122_00	冰鱼龙
78	EM123_00	猛牛龙
79	EM124_00	冰呪龙
80	EM125_00	溟波龙
81	EM126_00	天地煌啼龙
82	EMS014_00	波波
83	EMS016_00	雪鹿
84	EMS063_00	冰豺狼
85	EMS064_00	冬翼龙
86	EMS061_01	兽缠族
87	EM050	煌黑龙
88	EM001_02	金火龙
89	EM002_02	银火龙
90	EM018_00	黑狼鸟
91	EM023	金狮子
92	EM023_05	激昂金狮子
93	EM_TEST_00002	黑轰龙
94	EM057_00	雷狼龙
95	EM057_01	狱狼龙
96	EM063_05	猛爆碎龙
97	EM104	冥赤龙
98	DUMMY000014	Unavailable
99	EM018_05	战痕黑狼鸟
100	EM042_05	霜刃冰牙龙
101	EM013_00	黑龙
