成就ID	成就名称	成就要求
000	新大陆的霸者	获得所有勋章
001	掀开猎人生活的序幕	可以挑战★2的任务了。
002	调查的进展	可以挑战★3的任务了。
003	据点的守护者	可以挑战★4的任务了。
004	迈向更深处	可以挑战★5的任务了。
005	安祥地沉眠	成功诱导熔山龙。
006	大地的恩惠与美丽的女王	可以挑战★7的任务了。
007	激斗的胜利者	可以挑战★8的任务了。
008	指引明路的苍蓝星	解开古龙迁徙之谜了。
009	猎人生活停也停不下来！	完成“自由任务”50次。
010	探究之心	初次完成“调查任务”。
011	调查团的中枢	完成“调查任务”50次。
012	小试身手！	初次完成“斗技大会任务”。
013	挑战巅峰	完成“斗技大会任务”50次。
014	新大陆的开拓者	已设置5处营地。
015	利用环境是猎人的基本修养	躲在草丛里逃离贼龙。
016	第一次钓鱼	初次钓鱼成功。
017	漂亮地烤好了！	初次烧烤烤熟的肉。
018	倒下的巨型身躯	初次骑乘成功。
019	遇到活化石	钓起被称作活化石的鱼。
020	轻飘飘的拥抱感	捕捉到拥抱感轻飘飘的生物。
021	硬梆梆的触感	捕捉到触感硬梆梆的生物。
022	虹色光芒	捕捉到闪耀虹色光芒的生物。
023	调查团的勤务	累计收到10万点调查点数。
024	中产阶级猎人	已持有100万金钱。
025	铁壁猎人	获得5种非常贵重的防具。
026	力量就是一切	获得5种非常贵重的武器。
027	新生活	搬迁至小屋。
028	第一次的随从们	初次拥有随从们。
029	可靠的伙伴	把任何随从道具的熟练度提升到10
030	怪物博士	把许多上位的大型怪物研究等级提升到最大
031	历战的怪物	初次狩猎历战个体。
032	无所畏惧	已狩猎50头历战个体。
033	迷你皇冠	初次在狩猎记录中纪录下位与上位的怪物所获得之最小冠。
034	迷你皇冠收藏家	在狩猎记录中纪录10头以上下位与上位的怪物所获得之最小冠。
035	迷你皇冠大师	狩猎纪录中许多怪物都取得了最小冠
036	巨型皇冠	初次在狩猎记录中纪录下位与上位的怪物所获得之银冠。
037	巨型皇冠收藏家	在狩猎记录中纪录10头以上下位与上位的怪物所获得之金冠。
038	巨型皇冠大师	狩猎纪录中许多怪物都取得了金冠
039	第一次的活捉	初次捕获怪物。
040	活捉的专家	已捕获50头怪物。
041	灭龙之人	已讨伐50头古龙。
042	怪物克星	已狩猎100头大型怪物。
043	怪物猎人	已狩猎500头大型怪物。
044	救命！	初次击出救难信号。
045	救援猎人	参加来自救难信号的任务，完成10次。
046	和伙伴一起	以多人游戏完成任务。
047	永远和伙伴在一起	以多人游戏完成任务100次。
048	扩展的羁绊	收集公会名片达50张。
049	资深猎人	猎人等级达到100。
000doc3	《怪物猎人 世界》的奖杯套组。	《Monster Hunter: World》的奖杯套组。
050	千载难逢的猎人	获得了「Monster Hunter World: Iceborne」所有勳章。
051	展开全新的调查	可以挑战大师★1的任务了。
052	正式开始	可以挑战大师★2的任务了。
053	幻之古龙	可以挑战大师★3的任务了。
054	不屈之心	可以挑战大师★4的任务了。
055	伟大的存在	可以挑战大师★5的任务了。
056	与终结共临之开始	解开伟大的存在之谜。
057	前往聚集探求与发现之地	踏入聚魔之地。
058	蜕变的生态	任何地带首次达到等级7。
059	寻求贵重素材	在稀有的矿脉与骨冢采集素材。
060	求知若渴的调查魂	解析特殊痕迹50次。
061	宿命的结局	在聚魔之地讨伐歼世灭尽龙，解放了大师等级上限限制。
062	调查达人	在永霜冻土所有营地设营。
063	治愈之源	在自然的温泉中获得治愈。
064	飞翔爪使用者	接受飞翔爪指南，习得新的狩猎术。
065	金色耀眼	在永霜冻土捕捉到金色耀眼的生物。
066	指路者	捕捉到似乎在指示着什么的生物。
067	演奏美妙旋律	捕捉到演奏美妙旋律的生物。
068	潜伏于水面下之神秘	捕捉到潜伏于水面下之神秘生物。
069	浮空虚幻	捕捉到浮空虚幻的生物。
070	挖掘大地为生	捕捉挖掘大地为生的生物。
071	善于在各地挖掘为生	首次捕捉到善于在各地挖掘为生的生物。
072	耐受一切之守护	获得5种非常珍贵的防具。
073	击退万物之攻势	获得5种非常珍贵的武器。
074	自豪的逸品	首次装备饰物。
075	首次驾驭	首次驾驭怪物。
076	驾驭熟手	驾驭许多怪物。
077	新手收藏家	首次获得宝物。
078	老手收藏家	获得任何原野的所有宝物。
079	极致收藏家	获得所有宝物。
080	转换心情	首次变更设计。
081	充满爱的收藏	可选择的家具超过50种。
082	自豪的收藏	可选择的家具超过120种。
083	积极工作的技师	协助蒸气机关管理所20次。
084	可靠的高明技师	让蒸气机关管理所发生蒸气力极限突破。
085	另一个迷你皇冠	在大师等级任务或探索中，首次捕捉到最小冠的环境生物。
086	另一个巨大皇冠	在大师等级任务或探索中，首次捕捉到金冠的环境生物。
087	观察记录世界之入门	首次完成兽人族学者的观察委托。
088	一流的观察记录师	完成许多兽人族学者的观察委托。
089	互相帮助的精神	以大师等级猎人的身分，协助下位、上位猎人10次任务。
090	师中大师	迈入大师等级 200。
091	怪物大博士	几乎所有大型怪物之研究等级都达到上限。
092	真正的迷你皇冠收集者	狩猎记录中几乎所有怪物都取得了最小冠。
093	真正的巨大皇冠收集者	狩猎记录中几乎所有怪物都取得了金冠。
094	深度狩猎之序幕	首次狩猎大师等级任务之大型怪物。
095	狩猎之化身	在大师等级任务中狩猎了100头大型怪物。
096	喜好捕获之谋士	在大师等级任务中捕获了50头大型怪物。
097	讨伐之匠	在大师等级任务中讨伐了50头古龙。
098	与不寻常之物对峙	首次狩猎特殊个体。
099	绝壁超越者	狩猎了30头特殊个体。
