技能ID	技能代码	技能名称	技能介绍
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	毒耐性	减少中毒状态时所受到的伤害。
2	PT_PARALYSIS_RESIST_SKILL_PT	麻痹耐性	缩短麻痹状态的时间。
3	PT_SLEEP_RESIST_SKILL_PT	睡眠耐性	缩短睡眠状态的时间。
4	PT_STUN_RESIST_SKILL_PT	昏厥耐性	缩短昏厥状态的时间。
5	PT_DARUMA_RESIST_SKILL_PT	泥耐性	减轻怪物引发在泥地的行动限制。
6	PT_BOMB_RES_SKILL_PT	爆破异常状态的耐性	拥有对爆破异常状态的耐性。
7	PT_PT_SCAR_RES_SKILL_PT	裂伤耐性	拥有对裂伤状态的耐性。
8	PT_DEFDOWN_RESIST_SKILL_PT	防御力下降耐性	拥有对防御力下降的耐性。
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	耳塞	拥有对大型怪物咆哮的耐性。
12	PT_HUUATU_SKILL_PT	风压耐性	拥有对风压的耐性。
13	PT_EATHQUAKE_RESIST_SKILL_PT	耐震	拥有对地面震动的耐性。
14	PT_UNKO_SKILL_PT	异臭名人	怪物于身中投射器异臭弹后更容易逃跑。
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	适应瘴气环境	使在瘴气之谷中受到的环境伤害减轻、无效。
17	PT_ADAPT_SKILL_PT	热伤害无效	使炎暑、热造成的伤害无效。
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	攻击	提高玩家的攻击力。等级提高后，也会影响会心率。
20	PT_DEF_SKILL_PT	防御	提高玩家的防御力。等级提高后，也会影响耐性值。
21	PT_VIT_SKILL_PT	体力增强	提升玩家的体力。
22	PT_HEEL_SKILL_PT	体力回复量上升	提高体力回复时的回复量。
23	PT_HEEL_SPEED_SKILL_PT	回复速度	受到伤害时，红色槽部分的回复速度会提高。
24	PT_FIRE_RESIST_SKILL_PT	火耐性	提高玩家的火耐性。等级上升后，也会影响防御力。
25	PT_WATER_RESIST_SKILL_PT	水耐性	提高玩家的水耐性。等级上升后，也会影响防御力。
26	PT_ICE_RESIST_SKILL_PT	冰耐性	提高玩家的冰耐性。等级上升后，也会影响防御力。
27	PT_THUNDER_RESIST_SKILL_PT	雷耐性	提高玩家的雷耐性。等级上升后，也会影响防御力。
28	PT_DRAGON_RESIST_SKILL_PT	龙耐性	提高玩家的龙耐性。等级上升后，也会影响防御力。
29	PT_ATT_RESIST_SKILL_PT	属性异常状态的耐性	拥有对全部的属性异常状态的耐性。
30	PT_FIRE_ATK_SKILL_PT	火属性攻击强化	强化火属性之力。（武器属性值的强化，有其上限）
31	PT_WATER_ATK_SKILL_PT	水属性攻击强化	强化水属性之力。（武器属性值的强化，有其上限）
32	PT_ICE_ATK_SKILL_PT	冰属性攻击强化	强化冰属性之力。（武器属性值的强化，有其上限）
33	PT_THUNDER_ATK_SKILL_PT	雷属性攻击强化	强化雷属性之力。（武器属性值的强化，有其上限）
34	PT_DRAGON_ATK_SKILL_PT	龙属性攻击强化	强化龙属性之力。（武器属性值的强化，有其上限）
35	PT_POISON_ATK_SKILL_PT	毒属性强化	强化毒素累积值。（武器累积值的强化，有其上限）
36	PT_PARALYSIS_ATK_SKILL_PT	麻痹属性强化	强化麻痹累积值。（武器累积值的强化，有其上限）
37	PT_SLEEP_ATK_SKILL_PT	睡眠属性强化	强化睡眠累积值。（武器累积值的强化，有其上限）
38	PT_BLAST_ATK_SKILL_PT	爆破属性强化	强化爆破累积值。（武器累积值的强化，有其上限）
39	PT_NORMAL_UP_SKILL_PT	通常弹与通常箭强化	提高弩炮通常弹或是弓的通常箭的攻击力。
40	PT_PIERCE_UP_SKILL_PT	贯通弹与龙之箭强化	提高弩炮贯通弹或是弓龙之箭的攻击力。
41	PT_SPREAD_UP_G_SKILL_PT	散弹·刚射强化	提高弩枪散弹或是弓的刚射、龙之千矢的攻击力。
42	PT_ADD_POISONBIN_SKILL_PT	毒瓶追加	装备弓时，可装备毒瓶。
43	PT_ADD_PARALYSISBIN_SKILL_PT	麻痹瓶追加	装备弓时，可装备麻痹瓶。
