音乐代码	音乐等级	音乐技能
HUD_HUE_00	-	自我强化
HUD_HUE_00_S	0	移动速度提升
HUD_HUE_00_W	1	弹武无效＆攻击力提升
HUD_HUE_01	-	攻击力提升【小】
HUD_HUE_02	-	攻击力提升【大】
HUD_HUE_02_W	1	攻击力提升【特大】
HUD_HUE_03	-	体力提升【小】
HUD_HUE_04	-	体力提升【大】
HUD_HUE_04_W	1	延长体力提升
HUD_HUE_05	-	耐力消耗减少【短】
HUD_HUE_06	-	耐力消耗减少【长】
HUD_HUE_06_W	1	延长耐力消耗减少
HUD_HUE_07	-	风压无效
HUD_HUE_08	-	风压完全无效
HUD_HUE_08_W	1	延长风压完全无效
HUD_HUE_09	-	防御力提升【小】
HUD_HUE_10	-	防御力提升【大】
HUD_HUE_10_W	1	防御力提升【特大】
HUD_HUE_11	-	特殊装备消耗减少【短】
HUD_HUE_12	-	特殊装备消耗减少【长】
HUD_HUE_12_W	1	延长特殊装备消耗减少
HUD_HUE_13	-	体力回复【小】
HUD_HUE_14	-	体力回复【大】
HUD_HUE_15	-	体力回复【小】＆解毒
HUD_HUE_16	-	体力回复【中】＆解毒
HUD_HUE_17	-	体力回复速度提升【小】
HUD_HUE_18	-	体力回复速度提升【大】
HUD_HUE_18_W	1	延长体力回复速度提升
HUD_HUE_19	-	精灵王加护
HUD_HUE_19_W	1	延长精灵王加护
HUD_HUE_20	-	导虫追踪力强化
HUD_HUE_20_S	0	导引等级＋1
HUD_HUE_20_W	1	延长导引等级＋1
HUD_HUE_21	-	减轻泥
HUD_HUE_21_W	1	延长减轻泥
HUD_HUE_22	-	地形伤害无效
HUD_HUE_22_W	1	延长地形伤害无效
HUD_HUE_23	-	听觉保护【小】
HUD_HUE_24	-	听觉保护【大】
HUD_HUE_24_W	1	延长听觉保护【大】
HUD_HUE_25	-	昏厥无效
HUD_HUE_25_W	1	延长昏厥无效
HUD_HUE_26	-	麻痹无效
HUD_HUE_26_W	1	延长麻痹无效
HUD_HUE_27	-	震动无效
HUD_HUE_27_W	1	延长震动无效
HUD_HUE_28	-	火属性防御强化【小】
HUD_HUE_29	-	火属性防御强化【大】
HUD_HUE_29_W	1	火属性防御强化【特大】
HUD_HUE_30	-	水属性防御强化【小】
HUD_HUE_31	-	水属性防御强化【大】
HUD_HUE_31_W	1	水属性防御强化【特大】
HUD_HUE_32	-	雷属性防御强化【小】
HUD_HUE_33	-	雷属性防御强化【大】
HUD_HUE_33_W	1	雷属性防御强化【特大】
HUD_HUE_34	-	冰属性防御强化【小】
HUD_HUE_35	-	冰属性防御强化【大】
HUD_HUE_35_W	1	冰属性防御强化【特大】
HUD_HUE_36	-	龙属性防御强化【小】
HUD_HUE_37	-	龙属性防御强化【大】
HUD_HUE_37_W	1	龙属性防御强化【特大】
HUD_HUE_38	-	属性攻击力提升
HUD_HUE_38_S	0	属性攻击力提升【小】
HUD_HUE_38_W	1	属性攻击力提升【大】
HUD_HUE_39	-	高周波
HUD_HUE_40	-	延长全旋律效果
HUD_HUE_41	-	硬直无效
HUD_HUE_42	-	攻击力＆防御力提升【小】
HUD_HUE_42_S	0	攻击力提升【小】＆防御力提升【小】
HUD_HUE_42_W	1	攻击力提升【大】＆防御力提升【大】
HUD_HUE_43	-	会心率提升＆体力回复【小】
HUD_HUE_43_S	0	会心率提升【小】＆体力回复【小】
HUD_HUE_43_W	1	会心率提升【大】＆体力回复【小】
HUD_HUE_44	-	状态异常攻击力提升
HUD_HUE_44_S	0	状态异常攻击力提升【小】
HUD_HUE_44_W	1	状态异常攻击力提升【大】
HUD_HUE_45	-	全状态异常无效
HUD_HUE_45_W	1	延长全状态异常无效
HUD_HUE_46	-	全属性耐性值提升
HUD_HUE_46_S	0	全属性耐性值提升【小】
HUD_HUE_46_W	1	全属性耐性值提升【大】
HUD_HUE_47	-	全属性异常状态无效
HUD_HUE_47_W	1	延长全属性异常状态无效
HUD_HUE_48	-	听觉保护【小】＆风压无效
HUD_HUE_48_S	0	听觉保护【小】＆风压无效
HUD_HUE_48_W	1	听觉保护【小】＆延长风压无效
HUD_HUE_49	-	体力回复【中】
HUD_HUE_23_W	1	延长听觉保护【小】
HUD_HUE_07_W	1	延长风压无效
HUD_HUE_41_W	1	后仰无效延长
HUD_HUE_50	-	响周波【打】
HUD_HUE_51	-	响周波【龙】
HUD_HUE_52	-	提升耐力最大值＆回复
HUD_HUE_53	-	体力持续回复
HUD_HUE_54	-	自我强化【速】＆提升回避性能
HUD_HUE_55	-	提升属性类效果
HUD_HUE_56	-	提升回避性能
HUD_HUE_21_G	-	减轻泥＆适应水场·深雪
HUD_HUE_21_W_G	-	减轻泥＆适应水场·深雪延长
