武器类型ID	武器类型	武器ID	武器名称	稀有度	模型类型	主模型地址	附件模型地址
0	大剑	0	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	1	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	2	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	3	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	4	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	5	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	6	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	10	巨剑1	0	组合模型	wp/two/bs_two002	
0	大剑	11	巨剑2	0	组合模型	wp/two/bs_two002	
0	大剑	12	巨剑3	1	组合模型	wp/two/bs_two002	
0	大剑	13	巨刃剑1	2	组合模型	wp/two/bs_two002	
0	大剑	14	巨刃剑2	3	组合模型	wp/two/bs_two002	
0	大剑	15	巨刃剑3	4	组合模型	wp/two/bs_two002	
0	大剑	16	铬钢剃刀1	5	组合模型	wp/two/bs_two002	
0	大剑	17	铬钢剃刀2	5	组合模型	wp/two/bs_two002	
0	大剑	18	灭尽龙的裁决	6	组合模型	wp/two/bs_two003	wp/two/parts/op_two005
0	大剑	19	灭鬼凶器	7	独立模型	wp/two/two004	
0	大剑	20	雷刃剑1	2	组合模型	wp/two/bs_two002	
0	大剑	21	雷刃剑2	3	组合模型	wp/two/bs_two002	
0	大剑	22	雷光惩罚者1	4	组合模型	wp/two/bs_two003	
0	大剑	23	雷光惩罚者2	5	组合模型	wp/two/bs_two003	
0	大剑	24	雷光惩罚者3	5	组合模型	wp/two/bs_two003	
0	大剑	94	冰刃剑1	3	组合模型	wp/two/bs_two002	
0	大剑	95	冰刃剑2	4	组合模型	wp/two/bs_two002	
0	大剑	96	霜炎1	5	组合模型	wp/two/bs_two001	
0	大剑	97	霜炎2	5	组合模型	wp/two/bs_two001	
0	大剑	25	贼龙之刃1	1	组合模型	wp/two/bs_two002	wp/two/parts/op_two003
0	大剑	26	贼龙之刃2	2	组合模型	wp/two/bs_two002	wp/two/parts/op_two003
0	大剑	27	贼龙之刃3	3	组合模型	wp/two/bs_two002	wp/two/parts/op_two003
0	大剑	28	贼龙钩爪1	4	组合模型	wp/two/bs_two003	wp/two/parts/op_two003
0	大剑	29	贼龙钩爪2	5	组合模型	wp/two/bs_two003	wp/two/parts/op_two003
0	大剑	30	贼龙钩爪3	5	组合模型	wp/two/bs_two003	wp/two/parts/op_two003
0	大剑	31	痹贼龙大剑1	2	组合模型	wp/two/bs_two002	wp/two/parts/op_two006
0	大剑	32	痹贼龙大剑2	3	组合模型	wp/two/bs_two002	wp/two/parts/op_two006
0	大剑	33	马拉多之铁1	4	组合模型	wp/two/bs_two001	wp/two/parts/op_two006
0	大剑	34	马拉多之铁2	5	组合模型	wp/two/bs_two001	wp/two/parts/op_two006
0	大剑	35	马拉多之铁3	5	组合模型	wp/two/bs_two001	wp/two/parts/op_two006
0	大剑	36	熔岩之炎1	5	组合模型	wp/two/bs_two001	wp/two/parts/op_two009
0	大剑	37	熔岩之炎2	6	组合模型	wp/two/bs_two001	wp/two/parts/op_two009
0	大剑	38	鲜花之刃1	1	组合模型	wp/two/bs_two002	wp/two/parts/op_two002
0	大剑	39	鲜花之刃2	2	组合模型	wp/two/bs_two002	wp/two/parts/op_two002
0	大剑	40	鲜花之刃3	3	组合模型	wp/two/bs_two002	wp/two/parts/op_two002
0	大剑	41	曼陀罗之炎1	4	组合模型	wp/two/bs_two001	wp/two/parts/op_two002
0	大剑	42	曼陀罗之炎2	5	组合模型	wp/two/bs_two001	wp/two/parts/op_two002
0	大剑	43	曼陀罗之炎3	5	组合模型	wp/two/bs_two001	wp/two/parts/op_two002
0	大剑	44	火炎之刃1	3	组合模型	wp/two/bs_two002	wp/two/parts/op_two001
0	大剑	45	火炎之刃2	4	组合模型	wp/two/bs_two002	wp/two/parts/op_two001
0	大剑	46	赤红之翼	5	独立模型	wp/two/two003	
0	大剑	47	蓝翼大剑	6	独立模型	wp/two/two008	
0	大剑	48	火龙煌剑	7	独立模型	wp/two/two008	
0	大剑	49	骨剑1	0	组合模型	wp/two/bs_two005	
