武器类型ID	武器类型	武器ID	武器名称	稀有度	模型类型	主模型地址	附件模型地址
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	11	巨剑2	0	组合模型	wp/two/two002	
0	大剑	13	巨刃剑1	0	组合模型	wp/two/two002	
0	大剑	14	巨刃剑2	1	组合模型	wp/two/two002	
0	大剑	15	巨刃剑3	2	组合模型	wp/two/two002	
0	大剑	17	铬钢剃刀2	3	组合模型	wp/two/two002	
0	大剑	18	灭尽龙的裁决	4	组合模型	wp/two/two002	
0	大剑	19	灭鬼凶器	5	组合模型	wp/two/two002	
0	大剑	21	雷刃剑2	5	组合模型	wp/two/two002	
0	大剑	22	雷光惩罚者1	6	组合模型	wp/two/two003	wp/two/parts/op_two005
0	大剑	24	雷光惩罚者3	7	独立模型	wp/two/two004	
0	大剑	26	贼龙之刃2	2	组合模型	wp/two/two002	
0	大剑	28	贼龙钩爪1	3	组合模型	wp/two/two002	
0	大剑	29	贼龙钩爪2	4	组合模型	wp/two/two003	
0	大剑	31	痹贼龙大剑1	5	组合模型	wp/two/two003	
0	大剑	32	痹贼龙大剑2	5	组合模型	wp/two/two003	
0	大剑	33	马拉多之铁1	3	组合模型	wp/two/two002	
0	大剑	35	马拉多之铁3	4	组合模型	wp/two/two002	
0	大剑	36	熔岩之炎1	5	组合模型	wp/two/two001	
0	大剑	38	鲜花之刃1	5	组合模型	wp/two/two001	
0	大剑	39	鲜花之刃2	1	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	41	曼陀罗之炎1	2	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	42	曼陀罗之炎2	3	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	43	曼陀罗之炎3	4	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	45	火炎之刃2	5	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	46	赤红之翼	5	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	47	蓝翼大剑	2	组合模型	wp/two/two002	wp/two/parts/op_two006
0	大剑	49	骨剑1	3	组合模型	wp/two/two002	wp/two/parts/op_two006
0	大剑	50	骨剑2	4	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	52	斩骨剑1	5	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	53	斩骨剑2	5	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	54	斩骨剑3	5	组合模型	wp/two/two001	wp/two/parts/op_two009
0	大剑	56	大龙颚2	6	组合模型	wp/two/two001	wp/two/parts/op_two009
0	大剑	57	尸套龙大剑	1	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	59	蛮颚龙大剑	2	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	60	蛮颚龙大剑改	3	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	61	蛮颚大剑	4	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	63	断水剑2	5	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	64	断水剑3	5	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	65	激流巨像1	3	组合模型	wp/two/two002	wp/two/parts/op_two001
0	大剑	67	激流巨像3	4	组合模型	wp/two/two002	wp/two/parts/op_two001
0	大剑	68	土砂龙巨剑1	5	独立模型	wp/two/two003	
0	大剑	70	土砂龙巨剑3	6	独立模型	wp/two/two008	
0	大剑	72	土砂龙粉碎者2	7	独立模型	wp/two/two008	
0	大剑	73	土砂龙粉碎者3	0	组合模型	wp/two/two005	
0	大剑	75	尖刺剑2	0	组合模型	wp/two/two005	
0	大剑	76	块剑拉多巴尔喀1	1	组合模型	wp/two/two005	
0	大剑	77	块剑拉多巴尔喀2	2	组合模型	wp/two/two005	
0	大剑	79	龙骨大剑1	3	组合模型	wp/two/two005	
0	大剑	80	龙骨大剑2	4	组合模型	wp/two/two005	
0	大剑	81	龙骨大剑3	5	组合模型	wp/two/two006	
0	大剑	83	召雷剑	5	组合模型	wp/two/two006	
0	大剑	84	召雷剑【麒麟】	6	组合模型	wp/two/two006	wp/two/parts/op_two008
0	大剑	86	黑钢大剑1	7	独立模型	wp/two/two006	
0	大剑	88	钢冰大剑	2	独立模型	wp/two/two005	
0	大剑	90	冥灯龙大剑	4	独立模型	wp/two/two005	
0	大剑	91	龙颚剑	6	独立模型	wp/two/two005	
0	大剑	92	龙颚剑【巨齿】	1	组合模型	wp/two/two005	
0	大剑	94	冰刃剑1	2	组合模型	wp/two/two005	
0	大剑	95	冰刃剑2	3	组合模型	wp/two/two005	
0	大剑	96	霜炎1	4	组合模型	wp/two/two004	
0	大剑	98	熔山龙大剑1	5	组合模型	wp/two/two004	
0	大剑	99	龙热机关式【钢翼】改	5	组合模型	wp/two/two004	
0	大剑	100	金色的大剑·水	1	组合模型	wp/two/two005	wp/two/parts/op_two004
0	大剑	102	金色的大剑·睡眠	2	组合模型	wp/two/two005	wp/two/parts/op_two004
0	大剑	103	金色的大剑·贼	3	组合模型	wp/two/two005	wp/two/parts/op_two004
0	大剑	104	金色的大剑·毒妖	4	组合模型	wp/two/two006	wp/two/parts/op_two004
0	大剑	106	金色的大剑·痹贼	5	组合模型	wp/two/two006	wp/two/parts/op_two004
0	大剑	107	金色的大剑·骨锤	5	组合模型	wp/two/two006	wp/two/parts/op_two004
0	大剑	108	金色的大剑·尸套	2	组合模型	wp/two/two005	wp/two/parts/op_two007
0	大剑	110	金色的大剑·熔岩	3	组合模型	wp/two/two005	wp/two/parts/op_two007
0	大剑	111	金色的大剑·熔山	4	组合模型	wp/two/two004	wp/two/parts/op_two007
0	大剑	113	铠罗炎·毒妖	5	组合模型	wp/two/two004	wp/two/parts/op_two007
0	大剑	114	铠罗炎·土砂	5	组合模型	wp/two/two004	wp/two/parts/op_two007
0	大剑	115	铠罗炎·痹贼	2	组合模型	wp/two/two005	
0	大剑	117	铠罗炎·尸套	3	组合模型	wp/two/two005	
0	大剑	118	铠罗炎·王	5	组合模型	wp/two/two005	
