物品ID	物品名称	物品类型	稀有度	物品介绍
0	－－－－－－	素材	0	Unavailable
1	回复药	物品	0	可回复少量体力的药。
2	回复药·大	物品	1	可回复中量体力的药。
3	秘药	物品	2	提升体力上限到最大，并完全回复的药。
4	远古秘药	物品	4	提升体力与耐力上限到最大，并完全回复的药。
5	解毒药	物品	0	可回复毒状态的药。
6	汉方药	物品	1	可回复毒状态，并同时微量回复体力的药。
7	打消果实	物品	1	治愈各种属性异常状态的果实。
8	元气饮料	物品	1	可回复耐力的饮料。睡意也会不翼而飞！
9	携带食料	物品	0	可少量回复耐力的食物。
10	半生肉	物品	0	可中量回复耐力的食物。
11	烤熟的肉	物品	1	可中量回复耐力，并使最大值不易减少。
12	烤焦的肉	物品	0	可少量回复耐力的食物。可以快速吃下。
13	冷饮	物品	0	可缓和暑气一段时间的饮料。
14	营养剂	物品	1	微量提升体力上限的药。
15	营养剂·大	物品	2	少量提升体力上限的药。
16	活力剂	物品	2	可提高自然回复力的药。
17	星辰肉脯	物品	1	在调查团据点星辰制作的肉脯。可提高自然回复力，治愈裂伤状态。
18	强走药	物品	1	饮用后不易感到疲劳的药。会减低行动所需的耐力消耗量一段时间。
19	样本01	素材	3	样本
20	怪力种子	物品	1	吃下后，攻击力会暂时上升的种子。
21	鬼人药	物品	3	提升攻击力的药。可获得如鬼一般的力量。
22	鬼人药·大	物品	4	据说得到的攻击力更胜鬼人药的梦幻药品。
23	怪力药丸	物品	3	可暂时获得如鬼神般的力量的强力药丸。
24	忍耐种子	物品	1	吃下后，防御力会暂时上升的种子。
25	硬化药	物品	3	提升防御力的药。皮肤会硬质化得如岩石一般。
26	硬化药·大	物品	4	据说得到的防御力更胜硬化药的梦幻药品。
27	忍耐的药丸	物品	3	可暂时使皮肤硬质化得如钢铁一般的强力的药丸。
28	生命粉尘	物品	3	将回复体力的粉尘撒向四周。
29	汉方粉尘	物品	3	将中和毒性及少量回复体力的粉尘撒向四周。
30	鬼人粉尘	物品	3	将暂时提高攻击力的粉尘撒向四周。
31	硬化粉尘	物品	3	将暂时提高防御力的粉尘撒向四周。
32	蜂蜜	物品	1	具有高营养价值的蜂蜜。与回复药调和即可提高回复的效果。
33	药草	物品	0	作为回复药核心素材的草。
