装备ID	装备代码	装备名称	强化装备名称	装备介绍
0	ASkill001	隐身衣装	隐身衣装·改	可在怪物的视野范围内隐身一段时间。一旦进行攻击或受到伤害，隐身效果就会失效。
1	ASkill002	转身衣装	转身衣装·改	受到高威力的攻击时使伤害无效，并自动采取回避行动。
2	ASkill003	疗愈烟筒	疗愈烟筒·改	设置烟筒，放出使玩家体力缓慢回复的烟。
3	ASkill004	不动衣装	不动衣装·改	消除受到伤害时的硬直，可获得风压无效、听觉保护、以及耐震效果，并减少所受伤害。
4	ASkill005	挑衅衣装	挑衅衣装·改	容易成为怪物的目标，可将怪物诱导至期望的地方。连续进行攻击或受到攻击便会失效。
5	ASkill006	体力衣装	体力衣装·改	吸收一定量的伤害。一旦超过吸收量上限时即失效。
6	ASkill007	耐热衣装	耐热衣装·改	减轻火属性的伤害。此外，使火属性异常状态、爆破异常状态、以及炎热地形造成的伤害无效。
7	ASkill008	耐水衣装	耐水衣装·改	减轻水属性的伤害。此外，使水属性异常状态以及深水区行动限制无效，并减轻泥泞状态的行动限制。
8	ASkill009	耐寒衣装	耐寒衣装·改	减轻冰属性的伤害。使冰属性异常状态无效。
9	ASkill010	耐雷衣装	耐雷衣装·改	减轻雷属性的伤害。使雷属性异常状态和麻痹无效。
10	ASkill011	耐龙衣装	耐龙衣装·改	减轻龙属性的伤害。使龙属性异常状态无效，并强化所持武器的龙属性。
11	ASkill012	解除烟筒	解除烟筒·改	设置烟筒，放出能使玩家从各种状态异常或属性异常状态中回复的烟。
14	ASkill015	滑空衣装	滑空衣装·改	延长跳跃时的滞空时间时。在强风吹拂的地方可以御风而行。此外，还可以跳跃攻击的方式更容易地骑上怪物。
15	ASkill016	回避衣装	回避衣装·改	回避行动中的无敌时间变长。若于瞬间回避怪物的攻击， 即可暂时提升攻击力。
16	ASkill017	强打衣装	强打衣装·改	使大部分的攻击附带昏厥值。若原本的攻击已附带昏厥值，则提升其效果。
17	ASkill018	化合衣装	化合衣装·改	以异常状态属性的武器攻击命中时，会提升给予属性值攻击的发动几率。
18	ASkill019	免疫衣装	免疫衣装·改	可回复所有状态异常或属性异常状态，且在效果生效时，不会陷入状态异常或属性异常状态。
19	ASkill020	达人烟筒	达人烟筒·改	设置烟筒，放出能提升玩家会心率的烟。
20	ASkill021	掠夺衣装	盗掠衣装·改	攻击大型怪物时时，会掉落可换取高额金钱的道具。
21	ASkill022	刺客衣装	刺客衣装·改	部分的移动将变快，能快速隐藏气息的刺客衣装。在不被怪物察觉下给予重大伤害后结束效果。
