猎虫ID	猎虫代码	猎虫名称	模型地址
0	ROD_INSECT_000_NAME	克里多隆虫1	mus001
1	ROD_INSECT_001_NAME	克里多隆虫2	mus001
2	ROD_INSECT_002_NAME	克里多隆虫3	mus001
3	ROD_INSECT_003_NAME	阿玛斯达古虫1	mus003
4	ROD_INSECT_004_NAME	阿玛斯达古虫2	mus003
5	ROD_INSECT_005_NAME	阿玛斯达古虫3	mus003
6	ROD_INSECT_006_NAME	莫纳克布鲁斯达古虫1	mus004
7	ROD_INSECT_007_NAME	莫纳克布鲁斯达古虫2	mus004
8	ROD_INSECT_008_NAME	莫纳克布鲁斯达古虫3	mus004
9	ROD_INSECT_009_NAME	列吉纳波兰堤虫1	mus005
10	ROD_INSECT_010_NAME	列吉纳波兰堤虫2	mus005
11	ROD_INSECT_011_NAME	列吉纳波兰堤虫3	mus005
12	ROD_INSECT_012_NAME	贾吉尔多雷虫1	mus006
13	ROD_INSECT_013_NAME	贾吉尔多雷虫2	mus006
14	ROD_INSECT_014_NAME	贾吉尔多雷虫3	mus006
15	ROD_INSECT_015_NAME	咚库拉普虫1	mus007
16	ROD_INSECT_016_NAME	咚库拉普虫2	mus007
17	ROD_INSECT_017_NAME	咚库拉普虫3	mus007
18	ROD_INSECT_018_NAME	乌卡都雷虫1	mus008
19	ROD_INSECT_019_NAME	乌卡都雷虫2	mus008
20	ROD_INSECT_020_NAME	乌卡都雷虫3	mus008
21	ROD_INSECT_021_NAME	卡捷奇里巴涅虫1	mus009
22	ROD_INSECT_022_NAME	卡捷奇里巴涅虫2	mus009
23	ROD_INSECT_023_NAME	卡捷奇里巴涅虫3	mus009
24	ROD_INSECT_024_NAME	奥希纳朵虫1	mus010
25	ROD_INSECT_025_NAME	奥希纳朵虫2	mus010
26	ROD_INSECT_026_NAME	奥希纳朵虫3	mus010
27	ROD_INSECT_027_NAME	希纳朵莫多奇虫1	mus011
28	ROD_INSECT_028_NAME	希纳朵莫多奇虫2	mus011
29	ROD_INSECT_029_NAME	希纳朵莫多奇虫3	mus011
30	ROD_INSECT_030_NAME	马尔多隆虫1	mus012
31	ROD_INSECT_031_NAME	马尔多隆虫2	mus012
32	ROD_INSECT_032_NAME	马尔多隆虫3	mus012
33	ROD_INSECT_033_NAME	札米鲁比托尔虫1	mus014
34	ROD_INSECT_034_NAME	札米鲁比托尔虫2	mus014
35	ROD_INSECT_035_NAME	札米鲁比托尔虫3	mus014
36	ROD_INSECT_036_NAME	肯尼希苟比托尔虫1	mus015
37	ROD_INSECT_037_NAME	肯尼希苟比托尔虫2	mus015
38	ROD_INSECT_038_NAME	肯尼希苟比托尔虫3	mus015
39	ROD_INSECT_039_NAME	菲尔卡诺虫1	mus016
40	ROD_INSECT_040_NAME	菲尔卡诺虫2	mus016
41	ROD_INSECT_041_NAME	菲尔卡诺虫3	mus016
42	ROD_INSECT_042_NAME	哈鲁奇塔虫1	mus017
43	ROD_INSECT_043_NAME	哈鲁奇塔虫2	mus017
44	ROD_INSECT_044_NAME	哈鲁奇塔虫3	mus017
45	ROD_INSECT_045_NAME	多伦奇塔虫1	mus018
