部位ID	部位名称	防具ID	防具名称	模型地址
0	头盔	1	皮制猫头饰	otomo/equip/ot001/helm
0	头盔	28	骨制猫头盔	otomo/equip/ot028/helm
0	头盔	29	合金猫头盔	otomo/equip/ot029/helm
0	头盔	2	贼龙猫头盔	otomo/equip/ot002/helm
0	头盔	3	搔鸟猫缠头巾	otomo/equip/ot003/helm
0	头盔	4	毒妖鸟猫头巾	otomo/equip/ot004/helm
0	头盔	5	土砂龙猫头盔	otomo/equip/ot005/helm
0	头盔	6	泥鱼龙猫头盔	otomo/equip/ot006/helm
0	头盔	7	飞雷龙猫头巾	otomo/equip/ot007/helm
0	头盔	8	蛮颚龙猫头盔	otomo/equip/ot008/helm
0	头盔	11	浮空龙猫头盔	otomo/equip/ot011/helm
0	头盔	9	雌火龙猫头盔	otomo/equip/ot009/helm
0	头盔	13	骨锤龙猫帽盔	otomo/equip/ot013/helm
0	头盔	30	瓢虫猫护头	otomo/equip/ot030/helm
0	头盔	12	风漂龙猫头盔	otomo/equip/ot012/helm
0	头盔	14	惨爪龙猫头盔	otomo/equip/ot014/helm
0	头盔	16	火龙猫头盔	otomo/equip/ot016/helm
0	头盔	17	角龙猫头盔	otomo/equip/ot017/helm
0	头盔	18	麒麟猫角	otomo/equip/ot018/helm
0	头盔	27	死神猫头巾	otomo/equip/ot027/helm
0	头盔	32	皮制猫头饰阿尔法	otomo/equip/ot001/helm
0	头盔	33	骨制猫头盔阿尔法	otomo/equip/ot028/helm
0	头盔	34	合金猫头盔阿尔法	otomo/equip/ot029/helm
0	头盔	35	贼龙猫头盔阿尔法	otomo/equip/ot002/helm
0	头盔	36	搔鸟猫缠头巾阿尔法	otomo/equip/ot003/helm
0	头盔	37	毒妖鸟猫头巾阿尔法	otomo/equip/ot004/helm
0	头盔	38	土砂龙猫头盔阿尔法	otomo/equip/ot005/helm
0	头盔	39	泥鱼龙猫头盔阿尔法	otomo/equip/ot006/helm
0	头盔	40	飞雷龙猫头巾阿尔法	otomo/equip/ot007/helm
0	头盔	19	伟大猫皇冠阿尔法	otomo/equip/ot019/helm
0	头盔	41	蛮颚龙猫头盔阿尔法	otomo/equip/ot008/helm
0	头盔	42	浮空龙猫头盔阿尔法	otomo/equip/ot011/helm
0	头盔	43	雌火龙猫头盔阿尔法	otomo/equip/ot009/helm
0	头盔	44	骨锤龙猫帽盔阿尔法	otomo/equip/ot013/helm
0	头盔	45	瓢虫猫护头阿尔法	otomo/equip/ot030/helm
0	头盔	46	风漂龙猫头盔阿尔法	otomo/equip/ot012/helm
0	头盔	47	惨爪龙猫头盔阿尔法	otomo/equip/ot014/helm
0	头盔	48	火龙猫头盔阿尔法	otomo/equip/ot016/helm
0	头盔	49	角龙猫头盔阿尔法	otomo/equip/ot017/helm
0	头盔	50	麒麟猫角阿尔法	otomo/equip/ot018/helm
0	头盔	20	熔岩龙猫头盔阿尔法	otomo/equip/ot020/helm
0	头盔	21	爆锤龙猫头盔阿尔法	otomo/equip/ot021/helm
0	头盔	26	爆鳞龙猫头盔阿尔法	otomo/equip/ot026/helm
0	头盔	51	死神猫头巾阿尔法	otomo/equip/ot027/helm
0	头盔	52	奇面猫面具阿尔法	otomo/equip/ot031/helm
0	头盔	10	战纹猫头盔阿尔法	otomo/equip/ot010/helm
0	头盔	15	乌尔德猫骷髅阿尔法	otomo/equip/ot015/helm
0	头盔	22	帝王猫皇冠阿尔法	otomo/equip/ot022/helm
0	头盔	23	钢龙猫绸帽阿尔法	otomo/equip/ot023/helm
0	头盔	24	异国猫头纱阿尔法	otomo/equip/ot024/helm
