猫饭代码	猫饭名称	猫饭效果
CatSkill000_CAT_SKILL	猫的研磨术	容易缩短研磨所需时间。
CatSkill001_CAT_SKILL	猫的骑乘好手	更容易骑乘怪物。
CatSkill002_CAT_SKILL	猫的火场怪力	残留微薄的体力时，攻击力大幅上升。
CatSkill003_CAT_SKILL	猫的解体术【大】	剥取次数有时会增加。
CatSkill004_CAT_SKILL	猫的解体术【小】	剥取次数很少会增加。
CatSkill005_CAT_SKILL	猫的医疗术	体力回复量大幅提升。
CatSkill006_CAT_SKILL	猫的体术	进行回避等等固定消耗耐力的行动时，所需的耐力消耗量减少。
CatSkill007_CAT_SKILL	猫的火药术	大桶爆弹可强化为大桶爆弹·大。
CatSkill008_CAT_SKILL	猫的特殊攻击术	状态异常攻击的性能增强。
CatSkill009_CAT_SKILL	猫的防御术【大】	高几率减少玩家遭受的伤害。
CatSkill010_CAT_SKILL	猫的防御术【小】	低几率减少玩家遭受的伤害。
CatSkill011_CAT_SKILL	猫的收获祭	缩短采集点重新出现的时间。
CatSkill012_CAT_SKILL	猫的射击术	增加通常弹、通常箭造成的伤害。
CatSkill013_CAT_SKILL	招财猫的幸运	以任务报酬所取得的道具数量容易变多。
CatSkill014_CAT_SKILL	猫的弹武好手	攻击遭弹开时，锐利度的消耗降低。
CatSkill015_CAT_SKILL	猫的逃走术	逃离大型怪物时的耐力消耗量减少。
CatSkill016_CAT_SKILL	猫的宅配术	搬运中使用冲刺时的耐力消耗量减少。
CatSkill017_CAT_SKILL	猫的搬运铁人	搬运中即使遭受攻击也不会硬直。
CatSkill018_CAT_SKILL	猫的弱小招来！	任务中出现的大型怪物容易变得比较弱。
CatSkill019_CAT_SKILL	猫的换算术	结算时，取得的调查点数增加。
CatSkill020_CAT_SKILL	猫的起身术【大】	大幅延长倒地后爬起的无敌时间。
CatSkill021_CAT_SKILL	猫的起身术【小】	延长从倒地后爬起时的无敌时间。
CatSkill022_CAT_SKILL	猫的粗暴射击	弹药造成的伤害提升，但射击时弹道偏移增加。
CatSkill023_CAT_SKILL	猫的攀爬藤蔓达人	抓在墙壁或藤蔓上时进行回避行动所需的耐力消耗量减少。
G_CatSkill024_CAT_SKILL	猫的紧抓不放铁人	攀附在壁面或藤蔓时，即使遭受攻击，在一定程度以内可以忍受。
CatSkill025_CAT_SKILL	猫的解体铁人	剥取中即使遭受攻击，也不会硬直。
CatSkill026_CAT_SKILL	猫的着地术	从高处跳跃落地时，不需要双手撑地缓冲。
CatSkill027_CAT_SKILL	猫的蛮干术	攻击被弹开时，再次攻击的攻击力会上升。
CatSkill028_CAT_SKILL	猫的赠品术	力尽倒下，料理效果也不会消失。
CatSkill029_CAT_SKILL	猫的击晕术	更容易让怪物陷入昏厥状态。
CatSkill030_CAT_SKILL	招财猫的财运	任务完成时，报酬金额增加。
CatSkill031_CAT_SKILL	猫的炮击术	弩炮的伤害、穿甲榴弹的爆炸，以及铳枪的炮击威力上升。
CatSkill032_CAT_SKILL	猫的大毅力	当体力在一定程度以上时，即使承受了超过体力的伤害，也不因此而耗尽体力（1次）。
CatSkill033_CAT_SKILL	猫的异臭球达人	怪物于身中投射器异臭弹后更容易逃跑。
CatSkill034_CAT_SKILL	猫的理毛好手	防御力下降的效果时间减半，属性异常状态更快回复。
CatSkill035_CAT_SKILL	猫的长靴术	减轻或无效因地形造成的伤害及异常状态。
CatSkill036_CAT_SKILL	猫的受身术	被击飞时能够立刻调整姿势站稳。
DUMMY000000	Unavailable	Unavailable
CatSkill038_CAT_SKILL	猫的随从指导术	使随从的成长加快。
CatSkill039_CAT_SKILL	猫的短期催眠术	用完餐后，一段时间内攻击力与防御力提升。
CatSkill040_CAT_SKILL	猫的坚定不移术	不会坐倒在地上。
CatSkill041_CAT_SKILL	猫的钓鱼好手	更容易钓到鱼。
CatSkill042_CAT_SKILL	猫的休息术	执行动作“坐下”一段时间，可使攻击力暂时上升。
CatSkill043_CAT_SKILL	猫的报酬金保险	任务成员中不论是谁，只有在第1次力尽倒下时，不纳入报酬金结算。
CatSkill044_CAT_SKILL	猫的吸引仇恨好手	更容易吸引怪物注意，成为攻击的目标。
CatSkill045_CAT_SKILL	猫的后面交给你们了！	力尽倒下时，回复区域内同伴们的体力。
CatSkill046_CAT_SKILL	猫的探索好天气	探索时更容易取得调查报告。
CatSkill047_CAT_SKILL	猫的天气预报	前往任务时天气容易变差。
CatSkill048_CAT_SKILL	猫的防滑鞋	即使在特殊地形上，移动速度也不受影响。
CatSkill049_CAT_SKILL	猫的裁缝术	稍微缩短特殊装备的再使用时间。
CatSkill050_CAT_SKILL	猫的生命保险	所有的任务成员，不论是谁， 第1次力尽倒下时不算数。
CatSkill051_CAT_SKILL	猫的园艺术	部分环境生物的重新出现时间稍微缩短。
CatSkill052_CAT_SKILL	猫的残余术	当捕捉到部分环境生物时，就会掉投射器弹药。
CatSkill053_CAT_SKILL	猫的生物博士	提高珍稀环境生物的出现机率。
CatSkill054_CAT_SKILL	猫的生物学者	稍微提高珍稀环境生物的出现机率。
CatSkill055_CAT_SKILL	猫的大型吸引	稍微提高大型环境生物的出现机率。
CatSkill056_CAT_SKILL	猫的小型吸引	稍微提高小型环境生物的出现机率。
