奖金任务ID	奖金任务名称	奖金任务目标
0	环境调查：矿脉	在矿脉采掘6次。
1	环境调查：矿脉	在矿脉采掘12次。
2	环境调查：骨冢	在骨冢采集6次。
3	环境调查：骨冢	在骨冢采集12次。
4	环境调查：植物	采集4次可以作为道具的植物。
5	环境调查：植物	采集7次可以作为道具的植物。
6	环境调查：蘑菇	采集4次可以作为道具的蘑菇。
7	环境调查：蘑菇	采集7次可以作为道具的蘑菇。
8	环境调查：虫的生态	采集3次可以作为道具的虫。
9	环境调查：虫的生态	采集5次可以作为道具的虫。
10	环境调查：蜂蜜	采集3次蜂蜜。
11	环境调查：蜂蜜	采集5次蜂蜜。
12	生态调查：狩猎大型怪物	狩猎2头大型怪物。
13	生态调查：狩猎大型怪物	狩猎1头大型怪物。
14	生态调查：捕获大型怪物	捕获1头大型怪物。
15	生态调查：讨伐小型怪物	讨伐8头小型怪物。
16	生态调查：讨伐小型怪物	讨伐16头小型怪物。
17	调查活动：古代树森林	完成2次古代树森林任务。
18	调查活动：古代树森林	完成3次古代树森林任务。
19	调查活动：大蚁冢荒地	完成2次大蚁冢荒地任务。
20	调查活动：大蚁冢荒地	完成3次大蚁冢荒地任务。
21	环境调查：矿脉	在矿脉采掘9次。
22	环境调查：矿脉	在矿脉采掘15次。
23	环境调查：骨冢	在骨冢采集9次。
24	环境调查：骨冢	在骨冢采集15次。
25	环境调查：植物	采集5次可以作为道具的植物。
26	环境调查：植物	采集8次可以作为道具的植物。
27	环境调查：蘑菇	采集5次可以作为道具的蘑菇。
28	环境调查：蘑菇	采集8次可以作为道具的蘑菇。
29	环境调查：虫的生态	采集4次可以作为道具的虫。
30	环境调查：虫的生态	采集7次可以作为道具的虫。
31	环境调查：蜂蜜	采集4次蜂蜜。
32	环境调查：蜂蜜	采集7次蜂蜜。
33	生态调查：狩猎大型怪物	狩猎3头大型怪物。
34	生态调查：狩猎大型怪物	狩猎2头大型怪物。
35	生态调查：捕获大型怪物	捕获2头大型怪物。
36	生态调查：捕获大型怪物	捕获1头大型怪物。
37	生态调查：讨伐小型怪物	讨伐10头小型怪物。
38	生态调查：讨伐小型怪物	讨伐20头小型怪物。
39	生态调查：狩猎牙龙种	狩猎2头牙龙种的大型怪物。
40	生态调查：捕获牙龙种	捕获1头牙龙种的大型怪物。
41	生态调查：狩猎鸟龙种	狩猎2头鸟龙种的大型怪物。
42	生态调查：捕获鸟龙种	捕获1头鸟龙种的大型怪物。
43	生态调查：狩猎兽龙种	狩猎2头兽龙种的大型怪物。
44	生态调查：捕获兽龙种	捕获1头兽龙种的大型怪物。
45	生态调查：狩猎飞龙种	狩猎2头飞龙种的大型怪物。
46	生态调查：捕获飞龙种	捕获1头飞龙种的大型怪物。
47	调查活动：古代树森林	完成2次古代树森林任务。
48	调查活动：古代树森林	完成3次古代树森林任务。
49	调查活动：大蚁冢荒地	完成2次大蚁冢荒地任务。
50	调查活动：大蚁冢荒地	完成3次大蚁冢荒地任务。
51	调查活动：陆珊瑚台地	完成2次陆珊瑚台地任务。
52	调查活动：陆珊瑚台地	完成3次陆珊瑚台地任务。
53	调查活动：瘴气之谷	完成2次瘴气之谷任务。
54	调查活动：瘴气之谷	完成3次瘴气之谷任务。
55	调查活动：调查任务	完成2次调查任务。
56	调查活动：调查任务	完成3次调查任务。
57	生态调查：狩猎大型怪物	狩猎2头上位大型怪物。
58	生态调查：捕获大型怪物	捕获1头上位大型怪物。
59	生态调查：讨伐小型怪物	讨伐10头上位小型怪物。
60	调查活动：古代树森林	完成2次上位古代树森林任务。
61	调查活动：大蚁冢荒地	完成2次上位大蚁冢荒地任务。
62	调查活动：陆珊瑚台地	完成2次上位陆珊瑚台地任务。
63	调查活动：瘴气之谷	完成2次上位瘴气之谷任务。
64	调查活动：调查任务	完成2次上位调查任务。
65	环境调查：矿脉	在矿脉采掘15次。
66	环境调查：骨冢	在骨冢采集15次。
67	环境调查：植物	采集8次可以作为道具的植物。
68	环境调查：蘑菇	采集8次可以作为道具的蘑菇。
69	环境调查：虫的生态	采集7次可以作为道具的虫。
70	环境调查：蜂蜜	采集7次蜂蜜。
71	生态调查：狩猎大型怪物	狩猎3头上位大型怪物。
72	生态调查：捕获大型怪物	捕获2头上位大型怪物。
73	生态调查：讨伐小型怪物	讨伐20头上位小型怪物。
74	生态调查：狩猎牙龙种	狩猎2头上位牙龙种大型怪物。
75	生态调查：捕获牙龙种	捕获1头上位牙龙种大型怪物。
76	生态调查：狩猎鸟龙种	狩猎2头上位鸟龙种大型怪物。
77	生态调查：捕获鸟龙种	捕获1头上位鸟龙种大型怪物。
78	生态调查：狩猎兽龙种	狩猎2头上位兽龙种大型怪物。
79	生态调查：捕获兽龙种	捕获1头上位兽龙种大型怪物。
80	生态调查：狩猎飞龙种	狩猎2头上位飞龙种大型怪物。
81	生态调查：捕获飞龙种	捕获1头上位飞龙种大型怪物。
82	生态调查：狩猎鱼龙种	狩猎2头上位鱼龙种大型怪物。
83	生态调查：捕获鱼龙种	捕获1头上位鱼龙种大型怪物。
84	调查活动：古代树森林	完成3次上位古代树森林任务。
85	调查活动：大蚁冢荒地	完成3次上位大蚁冢荒地任务。
86	调查活动：陆珊瑚台地	完成3次上位陆珊瑚台地任务。
87	调查活动：瘴气之谷	完成3次上位瘴气之谷任务。
88	调查活动：龙结晶之地	完成3次上位龙结晶之地任务。
89	调查活动：调查任务	完成3次上位调查任务。
90	生态调查：讨伐古龙种	讨伐2头上位古龙种怪物。
91	环境调查：矿脉	在矿脉采掘21次。
92	环境调查：骨冢	在骨冢采集21次。
93	环境调查：植物	采集12次可以作为道具的植物。
94	环境调查：蘑菇	采集12次可以作为道具的蘑菇。
95	环境调查：虫的生态	采集10次可以作为道具的虫。
96	环境调查：蜂蜜	采集10次蜂蜜。
97	生态调查：狩猎大型怪物	狩猎4头上位大型怪物。
98	生态调查：捕获大型怪物	捕获3头上位大型怪物。
99	生态调查：讨伐小型怪物	讨伐30头上位小型怪物。
100	生态调查：狩猎牙龙种	狩猎3头上位牙龙种大型怪物。
101	生态调查：捕获牙龙种	捕获2头上位牙龙种大型怪物。
102	生态调查：狩猎鸟龙种	狩猎3头上位鸟龙种大型怪物。
103	生态调查：捕获鸟龙种	捕获2头上位鸟龙种大型怪物。
104	生态调查：狩猎兽龙种	狩猎3头上位兽龙种大型怪物。
105	生态调查：捕获兽龙种	捕获2头上位兽龙种大型怪物。
106	生态调查：狩猎飞龙种	狩猎3头上位飞龙种大型怪物。
107	生态调查：捕获飞龙种	捕获2头上位飞龙种大型怪物。
108	生态调查：狩猎鱼龙种	狩猎3头上位鱼龙种大型怪物。
109	生态调查：捕获鱼龙种	捕获2头上位鱼龙种大型怪物。
110	生态调查：讨伐古龙种	讨伐3头上位古龙种怪物。
111	调查活动：古代树森林	完成4次上位古代树森林任务。
112	调查活动：大蚁冢荒地	完成4次上位大蚁冢荒地任务。
113	调查活动：陆珊瑚台地	完成4次上位陆珊瑚台地任务。
114	调查活动：瘴气之谷	完成4次上位瘴气之谷任务。
115	调查活动：龙结晶之地	完成4次上位龙结晶之地任务。
116	调查活动：调查任务	完成4次上位调查任务。
117	文化交流：大蚁冢荒地	捕获3只荒地守护族。
118	文化交流：大蚁冢荒地2	向待在住处的荒地守护族报告。
119	文化交流：奇面族的语言调查	收集10个奇面族的痕迹。
120	文化交流：奇面族的语言调查2	发现奇面族的住处。
121	协助调查：捕获粉色异形鱼	抓住粉色异形鱼。
122	协助调查：捕获刺身鱼	抓住刺身鱼。
123	协助调查：捕获火药金鱼	抓住火药金鱼。
124	协助调查：捕获黄金鱼	抓住黄金鱼。
125	协助调查：捕获白金鱼	抓住白金鱼。
126	协助调查：捕获丛林始祖鸟	抓住丛林始祖鸟。
127	协助调查：捕获搬运蚁	抓住9只搬运蚁。
128	协助调查：捕获摇曳鳗	抓住3只摇曳鳗。
129	协助调查：捕获斯卡班杰拉	抓住5只斯卡班杰拉。
130	协助调查：捕获爆弹甲虫	抓住爆弹甲虫。
131	协助调查：捕获新大陆之主	抓住1只人称新大陆之主的环境生物。
132	协助调查：捕获梦幻之鸟	抓住1只人称梦幻之鸟的环境生物。
133	重建古代树森林的营地	确保营地的安全。
134	协助调查：捕获异世界的环境生物	捕捉异世界的环境生物。*怪物图鉴中有提示。
135	协助调查：捕获玻璃异形鱼	捕捉玻璃异形鱼。
136	协助调查：捕获神秘的鱼	在永霜冻土捕捉神秘的鱼。
137	协助调查：捕获胖衣企鹅	捕捉3只胖衣企鹅。
138	协助调查：捕获神秘生物	在永霜冻土捕捉神秘的环境生物。
139	协助调查：捕获最大金冠的坚硬竹筴鱼	捕捉最大金冠的坚硬竹筴鱼。
140	协助调查：捕获最大金冠的破裂龙鱼	捕捉最大金冠的破裂龙鱼。
141	协助调查：捕获最大金冠的玻璃异形鱼	捕捉最大金冠的玻璃异形鱼。
142	协助调查：捕获最大金冠的吉兆蜻蜓。	捕捉最大金冠的吉兆蜻蜓。
143	协助调查：捕获最大金冠的伶俐珊瑚鸟	捕捉最大金冠的伶俐珊瑚鸟。
144	协助调查：捕获最大金冠的胖衣企鹅	捕捉最大金冠的胖衣企鹅。
145	环境调查：矿脉	在矿脉采掘12次。
146	环境调查：骨冢	在骨冢采集12次。
147	环境调查：植物	采集可以作为道具的植物8次。
148	环境调查：蘑菇	采集可以作为道具的蘑菇8次。
149	环境调查：虫的生态	采集可以作为道具的虫6次。
150	环境调查：蜂蜜	采集蜂蜜6次。
151	生态调查：狩猎大型怪物	狩猎大师等级的大型怪物3头。
152	生态调查：捕获大型怪物	捕获大师等级的大型怪物3头。
153	生态调查：讨伐小型怪物	讨伐大师等级的小型怪物10头。
154	生态调查：狩猎牙龙种	狩猎大师等级的牙龙种大型怪物2头。
155	生态调查：捕获牙龙种	捕获大师等级的牙龙种大型怪物2头。
156	生态调查：狩猎鸟龙种	狩猎大师等级的鸟龙种大型怪物2头。
157	生态调查：捕获鸟龙种	捕获大师等级的鸟龙种大型怪物2头。
158	生态调查：狩猎兽龙种	狩猎大师等级的兽龙种大型怪物2头。
159	生态调查：捕获兽龙种	捕获大师等级的兽龙种大型怪物2头。
160	生态调查：狩猎鱼龙种	狩猎大师等级的鱼龙种大型怪物2头。
161	生态调查：捕获鱼龙种	捕获大师等级的鱼龙种大型怪物2头。
162	调查活动：古代树森林	完成大师等级的古代树森林任务2次。
163	调查活动：大蚁冢荒地	完成大师等级的大蚁冢荒地任务2次。
164	调查活动：陆珊瑚台地	完成大师等级的陆珊瑚台地任务2次。
165	调查活动：瘴气之谷	完成大师等级的瘴气之谷任务2次。
166	调查活动：龙结晶之地	完成大师等级的龙结晶之地任务2次。
167	调查活动：调查任务	完成大师等级的调查任务2次。
168	调查活动：永霜冻土	完成大师等级的永霜冻土任务2次。
169	生态调查：狩猎飞龙种	狩猎大师等级的飞龙种大型怪物2头。
170	生态调查：捕获飞龙种	捕获大师等级的飞龙种大型怪物2头。
171	生态调查：狩猎大型怪物	狩猎大师等级的大型怪物6头。
172	生态调查：狩猎牙龙种	狩猎大师等级的牙龙种大型怪物4头。
173	生态调查：狩猎鸟龙种	狩猎大师等级的鸟龙种大型怪物4头。
174	生态调查：狩猎兽龙种	狩猎4头大师等级的兽龙种大型怪物。
175	生态调查：狩猎飞龙种	狩猎大师等级的飞龙种大型怪物4头。
176	生态调查：狩猎鱼龙种	狩猎大师等级的鱼龙种大型怪物4头。
177	生态调查：讨伐古龙种	讨伐大师等级的古龙种怪物2只。
178	生态调查：讨伐古龙种	讨伐大师等级的古龙种怪物4只。
179	生态调查：狩猎历战个体	狩猎大师等级的历战个体2只。
180	生态调查：狩猎历战个体	狩猎大师等级的历战个体4只。
181	文化交流：永霜冻土	「探索」永霜冻土，狩猎1头大型怪物。
182	文化交流：续·永霜冻土	前往兽缠族的栖地，打听作战内容。
183	文化交流：完·永霜冻土	完成大师★2「双方团队的共同战线」。
