装饰珠ID	物品ID	名称	孔位
0	727	耐毒珠【1】	1
1	728	耐麻珠【1】	1
2	729	耐眠珠【1】	1
3	730	耐绝珠【1】	1
4	731	耐爆珠【1】	1
5	732	耐裂珠【1】	1
6	733	耐防珠【1】	1
7	734	防音珠【3】	3
8	735	防风珠【2】	2
9	736	耐震珠【2】	2
10	739	攻击珠【1】	1
11	740	防御珠【1】	1
12	741	体力珠【1】	1
13	742	早复珠【1】	1
14	743	耐火珠【1】	1
15	744	耐水珠【1】	1
16	745	耐冰珠【1】	1
17	746	耐雷珠【1】	1
18	747	耐龙珠【1】	1
19	748	耐属珠【1】	1
20	749	火炎珠【1】	1
21	750	流水珠【1】	1
22	751	冰结珠【1】	1
23	752	雷光珠【1】	1
24	753	破龙珠【1】	1
25	754	毒珠【1】	1
26	755	麻痹珠【1】	1
27	756	睡眠珠【1】	1
28	757	爆破珠【1】	1
29	758	毒瓶珠【3】	3
30	759	痹瓶珠【3】	3
31	760	眠瓶珠【3】	3
32	761	爆瓶珠【3】	3
33	763	解放珠【3】	3
34	764	达人珠【1】	1
35	765	超心珠【2】	2
36	766	痛击珠【2】	2
37	767	缩短珠【2】	2
38	768	匠珠【3】	3
39	769	拔刀珠【2】	2
40	770	重击珠【2】	2
41	771	击晕珠【2】	2
42	772	夺气珠【1】	1
43	774	飞燕珠【2】	2
44	775	全开珠【2】	2
45	776	挑战珠【2】	2
46	777	无伤珠【2】	2
47	778	底力珠【2】	2
48	779	逆境珠【1】	1
49	780	逆上珠【2】	2
50	781	鼓笛珠【1】	1
51	782	增弹珠【2】	2
52	783	特射珠【1】	1
53	784	炮术珠【1】	1
54	785	炮手珠【1】	1
55	786	强走珠【2】	2
56	787	体术珠【2】	2
57	789	早气珠【2】	2
58	790	无食珠【1】	1
59	791	回避珠【2】	2
60	792	跳跃珠【2】	2
61	793	铁壁珠【1】	1
62	794	速纳珠【1】	1
63	795	友爱珠【1】	1
64	796	持续珠【1】	1
65	797	节食珠【1】	1
66	798	快吃珠【1】	1
67	799	研磨珠【1】	1
68	800	爆师珠【1】	1
69	801	茸好珠【1】	1
70	808	加护珠【1】	1
71	809	指示珠【1】	1
72	810	植学珠【1】	1
73	811	地学珠【1】	1
74	812	浑身珠【2】	2
75	813	投石珠【1】	1
76	814	潜伏珠【1】	1
77	815	耐冲珠【3】	3
78	819	烟复珠【1】	1
79	820	沼渡珠【1】	1
80	824	标本珠【1】	1
81	826	嗅觉珠【1】	1
82	828	威吓珠【1】	1
83	832	滑走珠【2】	2
84	833	治愈珠【1】	1
85	834	强弹珠【3】	3
86	835	贯通珠【3】	3
87	836	散弹珠【3】	3
88	837	昂扬珠【2】	2
89	838	绝路珠【1】	1
90	839	龙封珠【3】	3
91	842	整备珠【1】	1
92	874	强弓珠【2】	2
93	875	心眼珠【2】	2
94	876	强壁珠【2】	2
95	877	刚刃珠【2】	2
96	878	无击珠【2】	2
97	825	耐瘴珠【1】	1
98	1968	转福珠【3】	3
99	1969	守势珠【2】	2
100	1970	耐暑珠【2】	2
101	1971	耐火珠2【4】	4
102	1972	耐水珠2【4】	4
103	1973	耐冰珠2【4】	4
104	1974	耐雷珠2【4】	4
105	1975	耐龙珠2【4】	4
106	1976	火炎珠2【4】	4
107	1977	流水珠2【4】	4
108	1978	冰结珠2【4】	4
109	1979	雷光珠2【4】	4
110	1980	破龙珠2【4】	4
111	1981	毒珠2【4】	4
112	1982	麻痹珠2【4】	4
113	1983	睡眠珠2【4】	4
114	1984	爆破珠2【4】	4
115	1985	耐火珠3【4】	4
116	1986	耐水珠3【4】	4
117	1987	耐冰珠3【4】	4
118	1988	耐雷珠3【4】	4
119	1989	耐龙珠3【4】	4
120	1990	耐毒珠2【4】	4
121	1991	耐麻珠2【4】	4
122	1992	耐眠珠2【4】	4
123	1993	耐绝珠2【4】	4
124	1994	耐爆珠2【4】	4
125	1995	耐裂珠2【4】	4
126	1996	耐防珠2【4】	4
127	1997	耐瘴珠2【4】	4
128	1998	无食珠2【4】	4
129	1999	早复珠2【4】	4
