部位ID	部位名称	防具ID	防具名称	幻化ID	防御	稀有度	模型地址
0	头盔	2	皮制头饰	1	2	0	pl001_0000
0	头盔	15	锁甲头饰	15	2	0	pl014_0000
0	头盔	1	猎人头盔	2	6	0	pl002_0000
0	头盔	5	骨制头盔	5	6	0	pl003_0000
0	头盔	6	合金头盔	6	8	1	pl004_0000
0	头盔	9	巨蜂头盔	9	8	0	pl007_0000
0	头盔	4	贼龙头盔	4	8	0	pl008_0000
0	头盔	10	搔鸟头盔	10	10	0	pl009_0000
0	头盔	11	毒妖鸟头盔	11	12	1	pl010_0000
0	头盔	13	土砂龙头盔	13	14	1	pl012_0000
0	头盔	12	泥鱼龙头盔	12	14	1	pl011_0000
0	头盔	14	飞雷龙头盔	14	16	1	pl013_0000
0	头盔	25	矿石头盔	24	18	2	pl025_0000
0	头盔	18	巨甲虫头盔	17	18	2	pl017_0000
0	头盔	168	猫蜥龙护目镜	161	22	2	pl058_0000
0	头盔	3	蛮颚龙头盔	3	20	2	pl020_0000
0	头盔	21	雌火龙头盔	20	22	2	pl021_0000
0	头盔	23	眩鸟头盔	22	18	2	pl023_0000
0	头盔	24	浮空龙头盔	23	20	2	pl024_0000
0	头盔	22	痹贼龙头盔	21	20	2	pl022_0000
0	头盔	28	骨锤龙头盔	27	24	2	pl028_0000
0	头盔	20	独角仙护头	19	22	2	pl019_0000 (男性限定)
0	头盔	169	燕尾蝶护头	164	22	2	pl019_0000 (女性限定)
0	头盔	31	铸铁头盔	30	28	3	pl031_0000
0	头盔	27	风漂龙头盔	26	30	3	pl027_0000
0	头盔	29	惨爪龙头盔	28	30	3	pl029_0000
0	头盔	33	火龙头盔	32	30	3	pl033_0000
0	头盔	34	角龙头盔	33	32	3	pl034_0000
0	头盔	35	麒麟角	34	34	3	pl035_0000
0	头盔	26	死神首脑	25	32	3	pl026_0000
0	头盔	36	旅团帽	35	28	3	pl036_0000
0	头盔	37	爆碎羽饰	36	32	3	pl037_0000
0	头盔	39	皮制头饰阿尔法	37	32	4	pl001_0000
0	头盔	40	皮制头饰贝塔	38	32	4	pl001_0000
0	头盔	147	锁甲头饰阿尔法	39	32	4	pl014_0000
0	头盔	148	锁甲头饰贝塔	40	32	4	pl014_0000
0	头盔	41	猎人头盔阿尔法	41	36	4	pl002_0000
0	头盔	42	猎人头盔贝塔	42	36	4	pl002_0010
0	头盔	43	骨制头盔阿尔法	43	36	4	pl003_0000
0	头盔	44	骨制头盔贝塔	44	36	4	pl003_0000
0	头盔	45	合金头盔阿尔法	45	36	4	pl004_0000
0	头盔	46	合金头盔贝塔	46	36	4	pl004_0000
0	头盔	51	巨蜂头盔阿尔法	51	38	4	pl007_0000
0	头盔	52	巨蜂头盔贝塔	52	38	4	pl007_0000
0	头盔	57	巨甲虫头盔阿尔法	57	38	4	pl017_0000
0	头盔	58	巨甲虫头盔贝塔	58	38	4	pl017_0000
0	头盔	174	猫蜥龙护目镜阿尔法	162	40	4	pl058_0000
0	头盔	175	猫蜥龙护目镜贝塔	163	40	4	pl058_0000
0	头盔	61	贼龙头盔阿尔法	61	40	4	pl008_0000
0	头盔	62	贼龙头盔贝塔	62	40	4	pl008_0000
0	头盔	63	搔鸟头盔阿尔法	63	40	4	pl009_0000
0	头盔	64	搔鸟头盔贝塔	64	40	4	pl009_0000
0	头盔	65	毒妖鸟头盔阿尔法	65	42	4	pl010_0000
0	头盔	66	毒妖鸟头盔贝塔	66	42	4	pl010_0010
0	头盔	69	土砂龙头盔阿尔法	69	42	4	pl012_0000
0	头盔	70	土砂龙头盔贝塔	70	42	4	pl012_0000
0	头盔	67	泥鱼龙头盔阿尔法	67	44	4	pl011_0000
0	头盔	68	泥鱼龙头盔贝塔	68	44	4	pl011_0000
0	头盔	71	飞雷龙头盔阿尔法	71	44	4	pl013_0000
0	头盔	72	飞雷龙头盔贝塔	72	44	4	pl013_0000
0	头盔	93	蛮颚龙头盔阿尔法	93	44	4	pl020_0000
0	头盔	94	蛮颚龙头盔贝塔	94	44	4	pl020_0010
0	头盔	73	雌火龙头盔阿尔法	73	46	4	pl021_0000
0	头盔	74	雌火龙头盔贝塔	74	46	4	pl021_0010
0	头盔	77	眩鸟头盔阿尔法	77	40	4	pl023_0000
0	头盔	78	眩鸟头盔贝塔	78	40	4	pl023_0000
0	头盔	79	浮空龙头盔阿尔法	79	44	4	pl024_0000
0	头盔	80	浮空龙头盔贝塔	80	44	4	pl024_0000
0	头盔	75	痹贼龙头盔阿尔法	75	40	4	pl022_0000
0	头盔	76	痹贼龙头盔贝塔	76	40	4	pl022_0000
0	头盔	97	骨锤龙头盔阿尔法	97	46	5	pl028_0000
0	头盔	98	骨锤龙头盔贝塔	98	46	5	pl028_0010
0	头盔	89	矿石头盔阿尔法	89	50	5	pl025_0000
0	头盔	90	矿石头盔贝塔	90	50	5	pl025_0000
0	头盔	91	铸铁头盔阿尔法	91	50	5	pl031_0000
0	头盔	92	铸铁头盔贝塔	92	50	5	pl031_0000
0	头盔	166	突击龙角阿尔法	53	48	4	pl015_0000
0	头盔	167	突击龙角贝塔	54	48	4	pl015_0000
0	头盔	87	火龙心头盔阿尔法	87	52	5	pl021_0100
0	头盔	88	火龙心头盔贝塔	88	52	5	pl021_0110
0	头盔	95	风漂龙头盔阿尔法	95	54	5	pl027_0000
0	头盔	96	风漂龙头盔贝塔	96	54	5	pl027_0010
0	头盔	81	惨爪龙头盔阿尔法	81	54	5	pl029_0000
0	头盔	82	惨爪龙头盔贝塔	82	54	5	pl029_0010
0	头盔	101	火龙头盔阿尔法	101	54	5	pl033_0000
0	头盔	102	火龙头盔贝塔	102	54	5	pl033_0010
0	头盔	111	火龙魂头盔阿尔法	111	56	6	pl033_0100
0	头盔	112	火龙魂头盔贝塔	112	56	6	pl033_0110
0	头盔	103	角龙头盔阿尔法	103	54	5	pl034_0000
0	头盔	104	角龙头盔贝塔	104	54	5	pl034_0010
0	头盔	113	暴君角龙头盔阿尔法	113	56	6	pl034_0100
0	头盔	114	暴君角龙头盔贝塔	114	56	6	pl034_0110
0	头盔	83	岩贼龙头盔阿尔法	83	48	4	pl039_0000
0	头盔	84	岩贼龙头盔贝塔	84	48	4	pl039_0000
0	头盔	85	熔岩龙头盔阿尔法	85	56	5	pl040_0000
0	头盔	86	熔岩龙头盔贝塔	86	56	5	pl040_0010
0	头盔	109	爆锤龙头盔阿尔法	109	60	6	pl041_0000
0	头盔	110	爆锤龙头盔贝塔	110	60	6	pl041_0010
0	头盔	107	战纹头盔阿尔法	107	64	7	pl030_0000
0	头盔	108	战纹头盔贝塔	108	64	7	pl030_0010
