食材代码	食材名称	食材介绍
MEAT_00_ID	龙腿	肉类食材，容易发动[勇敢]系用餐技能。因炖煮许久，入口即化到叫人吃惊。
MEAT_01_ID	龙胸腹肉	肉类食材，容易发动[勇敢]系用餐技能。建议切成薄片以炭火烧烤。
MEAT_02_ID	飞龙的蛋	肉类食材，容易发动[勇敢]系用餐技能。从飞龙巢穴找来的贵重食材。
MEAT_03_ID	龙尾肉	肉类食材，容易发动[勇敢]系用餐技能。一生想至少品尝一次看看的飞龙肉。
MEAT_04_ID	龙头	肉类食材，容易发动[勇敢]系用餐技能。庆祝时才有可能拿出来的高级食材。
MEAT_05_ID	龙腰肉	肉类食材，容易发动[勇敢]系用餐技能。最有价值的部位的肉。
MEAT_06_ID	坚肉	肉类食材，容易发动[忍耐]系用餐技能。硬实的口感可以锻炼下巴。
MEAT_07_ID	棘肉	肉类食材，容易发动[忍耐]系用餐技能。掏食黏在甲壳上的肉，注意别受伤了。
MEAT_08_ID	熟成坚肉	肉类食材，容易发动[忍耐]系用餐技能。算是高级食材，适合偶尔犒赏自己。
MEAT_09_ID	钢肉	肉类食材，容易发动[忍耐]系用餐技能。硬到咬不下去的肉，卖点是营养价值高。
MEAT_10_ID	狂野鸡肉	肉类食材，容易发动[忍耐]系用餐技能。建议连骨带肉豪迈地啃咬。
MEAT_11_ID	壶腌生肉	肉类食材，容易发动[忍耐]系用餐技能。加入秘传酱汁腌制熟成的肉。
MEAT_12_ID	草食龙肉	肉类食材，容易发动[热血]系用餐技能。猎人经常食用的普通食材。
MEAT_13_ID	甲壳草食龙背脊肉	肉类食材，容易发动[热血]系用餐技能。肚子饿的猎人们最爱的大块肉。
MEAT_14_ID	骰子肉	肉类食材，容易发动[热血]系用餐技能。切成小份的优质肉品。
MEAT_15_ID	巨大沙朗	肉类食材，容易发动[热血]系用餐技能。草食龙的高级部位，兼顾了质与量。
MEAT_16_ID	蛇龙背脊肉	肉类食材，容易发动[热血]系用餐技能。大口撕咬吃个精光吧。
MEAT_17_ID	巨大肉	肉类食材，容易发动[热血]系用餐技能。再巨型一块也吃得完的美味红肉。
MEAT_18_ID	白肝	肉类食材，容易发动[智囊]系用餐技能。浓稠的口感大受欢迎！
MEAT_19_ID	烧烤胸肋肉	肉类食材，容易发动[智囊]系用餐技能。几乎全是肥肉，容易上瘾。
MEAT_20_ID	透心胸腹肉	肉类食材，容易发动[智囊]系用餐技能。食用后总会觉得有点坐立难安的肉品。
MEAT_21_ID	火热热心脏	肉类食材，容易发动[智囊]系用餐技能。口感受欢迎的部位，趁热享用！
MEAT_22_ID	豪迈大肉	肉类食材，容易发动[智囊]系用餐技能。豪迈地厚切贵重部位的特别食材。
MEAT_23_ID	肥大鹅肝	肉类食材，容易发动[智囊]系用餐技能。口感近似奶油，层次丰富的味道大受欢迎。
MEAT_24_ID	带骨火鸡肉	肉类食材，容易发动[烟火师]系用餐技能。肉不太多。
MEAT_25_ID	高级羊肉	肉类食材，容易发动[烟火师]系用餐技能。适合各种烹饪方式的食材。
MEAT_26_ID	草食龙的蛋	肉类食材，容易发动[烟火师]系用餐技能。似乎可做成很大份的荷包蛋。
MEAT_27_ID	火鸡王肉	肉类食材，容易发动[烟火师]系用餐技能。丰满的肉量不负王者的名号。
MEAT_28_ID	岩浆羊肉	肉类食材，容易发动[烟火师]系用餐技能。炖煮越久味道越浓厚的食材。
MEAT_29_ID	帝王火鸡肉	肉类食材，容易发动[烟火师]系用餐技能。压倒性的肉量，不辱帝王的名号。
FISH_00_ID	鬃毛鲔鱼	鱼类食材，容易发动[勇敢]系用餐技能。鬃毛越是雄伟，风味越佳。
FISH_01_ID	蛇鲑鱼	鱼类食材，容易发动[勇敢]系用餐技能。如蛇般弯曲蠕动的鲑鱼。
FISH_02_ID	勇气鳗鱼	鱼类食材，容易发动[勇敢]系用餐技能。据说吃了就能鼓起勇气。
FISH_03_ID	刺身鱼	鱼类食材，容易发动[勇敢]系用餐技能。油脂丰厚的美味鱼肉，亲民的大众食材。
FISH_04_ID	古代真鲷	鱼类食材，容易发动[勇敢]系用餐技能。从古代流传至今的亲民高级食材。
FISH_05_ID	粗野鰤鱼	鱼类食材，容易发动[勇敢]系用餐技能。外观粗野，却是富有勇气的鱼。
FISH_06_ID	大螺贝	鱼类食材，容易发动[忍耐]系用餐技能。螺壳越大，市场价值越高。
FISH_07_ID	扇贝片	鱼类食材，容易发动[忍耐]系用餐技能。保存用的干燥食品，也可用于煮汤。
FISH_08_ID	严选壶鲍	鱼类食材，容易发动[忍耐]系用餐技能。味道和大小都顶级的藤壶鲍鱼。
FISH_09_ID	藤蔓色壶鲍	鱼类食材，容易发动[忍耐]系用餐技能。香气与味道有独特变化的鲍鱼。
FISH_10_ID	秘藏壶鲍	鱼类食材，容易发动[忍耐]系用餐技能。被视为珍品中的珍品的藤壶鲍鱼。
FISH_11_ID	大角蝾螺	鱼类食材，容易发动[忍耐]系用餐技能。壳上有大角，其生态尚在调查中。
FISH_12_ID	军团沙丁鱼	鱼类食材，容易发动[热血]系用餐技能。据说会聚结成群保护自己的地盘。
FISH_13_ID	武士鲣鱼	鱼类食材，容易发动[热血]系用餐技能。特色是宛如头盔般的帅气花纹。
