NPC代码	NPC名称	模型地址
N001_NPC_NAME	總司令	npc001
N002_NPC_NAME	接待員	npc002
N003_NPC_NAME	調查班隊長	npc003
N004_NPC_NAME	物資班隊長	npc004
N005_NPC_NAME	研究班隊長	npc005
N006_NPC_NAME	技術班隊長	npc006
N007_NPC_NAME	補給物資負責人	npc007
N009_NPC_NAME	生態研究所所長	npc009
N010_NPC_NAME	植生研究所所長	npc010
N011_NPC_NAME	神秘鍊金研究員	npc011
N012_NPC_NAME	第二期團的頭領	npc012
N014_NPC_NAME	武器店	npc014
N015_NPC_NAME	料理長	npc015
N016_NPC_NAME	管家	npc016
N017_NPC_NAME	劍術大師	npc017
N018_NPC_NAME	原野大師	npc018
N019_NPC_NAME	大團長	npc019
N020_NPC_NAME	龍人族的獵人	npc020
N021_NPC_NAME	第三期團的期團長	npc021
N022_NPC_NAME	基地的補給物資負責人	npc022
N023_NPC_NAME	獸人族研究員	npc023
N024_NPC_NAME	森之古代龍人	npc024
N025_NPC_NAME	陽光的推薦組員	npc025
N026_NPC_NAME	好勝的推薦組員	npc026
N027_NPC_NAME	失蹤的學者	npc027
N028_NPC_NAME	明朗的學者	npc028
N029_NPC_NAME	陽光的學者	npc029
N030_NPC_NAME	活潑的學者	npc030
N032_NPC_NAME	船長	npc032
N033_NPC_NAME	嚮導艾路	npc033
N034_NPC_NAME	嚮導艾路	npc034
N035_NPC_NAME	管家	npc035
N036_NPC_NAME	古代龍人	npc036
N037_NPC_NAME	孤高的魚類調查員	npc037
N038_NPC_NAME	熱情的生物調查員	npc038
N039_NPC_NAME	老練的獸人族學者	npc039
N040_NPC_NAME	古代龍人	npc040
N102_NPC_NAME	有活力的第五期團員	npc102
N103_NPC_NAME	親切的第四期團員	npc103
N104_NPC_NAME	熱衷調查的第四期團員	npc104
N105_NPC_NAME	酷酷的第五期團員	npc105
N106_NPC_NAME	興奮的第四期團員	npc106
N107_NPC_NAME	好強的第五期團員	npc107
N108_NPC_NAME	處事穩當的第五期團員	npc108
N109_NPC_NAME	大姐頭風格的第四期團員	npc109
N111_NPC_NAME	冷靜的第四期團員	npc111
N112_NPC_NAME	知性的生物學者	npc112
N113_NPC_NAME	性急的生物學者	npc113
N114_NPC_NAME	溫和的植物學者	npc114
N116_NPC_NAME	大哥風格的第五期團員	npc116
N117_NPC_NAME	負責鍋子的艾路	npc117
N118_NPC_NAME	負責調理的艾路	npc118
N121_NPC_NAME	安靜的第四期團員	npc121
N123_NPC_NAME	熱血漢子的第四期團員	npc123
N124_NPC_NAME	我行我素的第五期團員	npc124
N125_NPC_NAME	熱氣球開發員	npc125
N130_NPC_NAME	豁達的學者	npc130
N131_NPC_NAME	內向的學者	npc131
N134_NPC_NAME	活動的接待員	npc134
N140_NPC_NAME	莫古利	npc140
N170_NPC_NAME	傑洛特	npc170
N259_NPC_NAME	研究基地的艾路	npc259
