任务ID	任务名称	任务目标	任务失败条件
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	凶豺龍與古代樹森林	討伐凶豺龍７頭	‧限制時間結束‧３次力竭倒下
00102	冠突龍騷動中	達成任務	‧限制時間結束‧３次力竭倒下
00103	狩獵大凶豺龍吧	狩獵大凶豺龍	‧限制時間結束‧３次力竭倒下
00151	突擊冠突龍！	討伐冠突龍１２頭	‧限制時間結束‧３次力竭倒下
00152	森林惡棍	討伐凶豺龍７頭	‧限制時間結束‧３次力竭倒下
00153	在古代樹森林中採集菇類	交貨特產茸菇２０個	‧限制時間結束‧３次力竭倒下
00201	致力於設置營地	狩獵搔鳥	‧限制時間結束‧３次力竭倒下
00205	緊急任務‧狩獵毒妖鳥	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00241	精通飛翔爪吧！	學習飛翔爪的使用方法	‧限制時間結束‧３次力竭倒下‧狩獵大凶豺龍
00251	來自深綠的獵食戰士	狩獵大凶豺龍	‧限制時間結束‧３次力竭倒下
00252	搔鳥是收藏家？	狩獵搔鳥	‧限制時間結束‧３次力竭倒下
00261	捕獲：搔鳥的生態調查	捕獲搔鳥	‧限制時間結束‧３次力竭倒下‧討伐搔鳥
00262	美味的魚有獠牙	討伐咬魚７隻	‧限制時間結束‧３次力竭倒下
00263	驅除荒野之蟲	討伐巨蜂１４隻	‧限制時間結束‧３次力竭倒下
00301	橫衝直撞的狂徒們！？	達成任務	‧限制時間結束‧３次力竭倒下
00302	險惡的沼澤	達成任務	‧限制時間結束‧３次力竭倒下
00305	雷電奔走的飛雷龍	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
00306	森林暴徒‧蠻顎龍	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00331	特殊鬥技場：毒妖鳥篇	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00332	特殊鬥技場：土砂龍篇	狩獵土砂龍	‧限制時間結束‧３次力竭倒下
00333	特殊鬥技場：飛雷龍篇	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
00351	調查毒妖鳥	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00352	飛雷龍飛舞之森	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
00361	滿身泥巴大突擊！	狩獵土砂龍	‧限制時間結束‧３次力竭倒下
00362	潛行泥邊的泥魚龍	狩獵泥魚龍	‧限制時間結束‧３次力竭倒下
00363	仙人掌的季節即將來臨	交貨小顆仙人掌２０個	‧限制時間結束‧３次力竭倒下
00364	我是荒地的搬運工	交貨草食龍的蛋2個	‧限制時間結束‧３次力竭倒下
00365	捕獲：土砂龍的生態調查	捕獲土砂龍	‧限制時間結束‧３次力竭倒下‧討伐土砂龍
00401	熔山龍捕獲作戰	達成任務	‧限制時間結束‧３次力竭倒下
00405	飛吧，浮空龍！	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
