吊坠ID	吊坠代码	吊坠名称	模型地址
0	CHARM_000_NAME	公會獎章‧銅之支援隊	charm002
1	CHARM_001_NAME	公會獎章‧銀之支援隊	charm002
2	CHARM_002_NAME	公會獎章‧金之支援隊	charm002
3	CHARM_003_NAME	銅章領巾‧赤	charm003
4	CHARM_004_NAME	銅章領巾‧黃	charm003
5	CHARM_005_NAME	銅章領巾‧青	charm003
6	CHARM_006_NAME	銅章領巾‧櫻	charm003
7	CHARM_007_NAME	銅章領巾‧綠	charm003
8	CHARM_008_NAME	銅章領巾‧灰	charm003
9	CHARM_009_NAME	銅章領巾‧紅茶	charm003
10	CHARM_010_NAME	銀章領巾‧白	charm003
11	CHARM_011_NAME	銀章領巾‧赤	charm003
12	CHARM_012_NAME	銀章領巾‧綠	charm003
13	CHARM_013_NAME	銀章領巾‧空	charm003
14	CHARM_014_NAME	銀章領巾‧紫	charm003
15	CHARM_015_NAME	銀章領巾‧櫻	charm003
16	CHARM_016_NAME	銀章領巾‧橙	charm003
17	CHARM_017_NAME	金章領巾‧茶	charm003
18	CHARM_018_NAME	金章領巾‧白	charm003
19	CHARM_019_NAME	金章領巾‧綠	charm003
20	CHARM_020_NAME	金章領巾‧黃綠	charm003
21	CHARM_021_NAME	金章領巾‧紫	charm003
22	CHARM_022_NAME	金章領巾‧橙	charm003
23	CHARM_023_NAME	金章領巾‧空	charm003
24	CHARM_024_NAME	引導的結晶‧深綠	charm004
25	CHARM_025_NAME	引導的結晶‧新綠	charm004
26	CHARM_026_NAME	引導的結晶‧太陽	charm004
27	CHARM_027_NAME	引導的結晶‧宵闇	charm004
28	CHARM_028_NAME	引導的結晶‧櫻花	charm004
29	CHARM_029_NAME	引導的結晶‧蒼穹	charm004
30	CHARM_030_NAME	引導的結晶‧瘴氣	charm004
31	CHARM_031_NAME	引導的結晶‧清流	charm004
32	CHARM_032_NAME	引導的結晶‧紅蓮	charm004
33	CHARM_033_NAME	引導的結晶‧灰雲	charm004
34	CHARM_034_NAME	引導的結晶‧冰河	charm004
35	CHARM_035_NAME	引導的結晶‧紫紺	charm004
36	CHARM_036_NAME	引導之星【森林】	charm001
37	CHARM_037_NAME	引導之星【荒地】	charm001
38	CHARM_038_NAME	引導之星【陸珊瑚】	charm001
39	CHARM_039_NAME	引導之星【瘴氣】	charm001
40	CHARM_040_NAME	引導之星【熔岩】	charm001
41	CHARM_041_NAME	引導之星【冰雪】	charm001
42	CHARM_042_NAME	歷戰獵人之證‧銅	charm005
43	CHARM_043_NAME	歷戰獵人之證‧銀	charm005
44	CHARM_044_NAME	歷戰獵人之證‧金	charm005
45	CHARM_045_NAME	霸者之證‧鑽石	charm005
46	CHARM_046_NAME	霸者之證‧紅寶石	charm005
47	CHARM_047_NAME	霸者之證‧祖母綠	charm005
48	CHARM_048_NAME	霸者之證‧琥珀	charm005
49	CHARM_049_NAME	霸者之證‧藍寶石	charm005
50	CHARM_050_NAME	霸者之證‧黃玉	charm005
51	CHARM_051_NAME	霸者之證‧紫水晶	charm005
52	CHARM_052_NAME	霸者之證‧赤金	charm005
53	CHARM_053_NAME	霸者之證‧蒼金	charm005
54	CHARM_054_NAME	霸者之證‧青銅	charm005
55	CHARM_055_NAME	霸者之證‧冰藍	charm005
56	CHARM_056_NAME	霸者之證‧紫羅蘭	charm005
57	CHARM_057_NAME	霸者之證‧黑曜石	charm005
58	CHARM_058_NAME	霸者之證‧火龍紅	charm005
59	CHARM_059_NAME	霸者之證‧火龍綠	charm005
60	CHARM_060_NAME	霸者之證‧火龍粉	charm005
61	CHARM_061_NAME	盛放的花束	charm006
62	CHARM_062_NAME	熱情的太陽	charm007
63	CHARM_063_NAME	夜蝙蝠‧吸血	charm008
64	CHARM_064_NAME	萬福之虎‧紅	charm009
65	CHARM_065_NAME	大感謝的銀飾‧空	charm010
66	CHARM_066_NAME	強者的爪飾【金獅子】	charm011
67	CHARM_067_NAME	豪傑的角飾【金獅子】	charm012
68	CHARM_068_NAME	強者的爪飾【獄狼龍】	charm013
69	CHARM_069_NAME	英雄的角飾【冥赤龍】	charm014
70	CHARM_070_NAME	豪傑的輝石【碎龍】	charm015
71	CHARM_071_NAME	英雄的輝石【煌黑龍】	charm016
72	CHARM_072_NAME	強者的爪飾【金火龍】	charm017
73	CHARM_073_NAME	強者的爪飾【銀火龍】	charm018
74	DUMMY000000	Unavailable	charm001
75	DUMMY000001	Unavailable	charm001
76	DUMMY000002	Unavailable	charm001
77	DUMMY000003	Unavailable	charm001
78	DUMMY000004	Unavailable	charm001
79	DUMMY000005	Unavailable	charm001
80	DUMMY000006	Unavailable	charm001
81	CHARM_081_NAME	歷戰王輝石【冰呪龍】	charm026
82	CHARM_082_NAME	歷戰王輝石【溟波龍】	charm027
83	DUMMY000007	Unavailable	charm001
84	DUMMY000008	Unavailable	charm001
85	CHARM_085_NAME	傳說之證【黑龍】	charm030
86	CHARM_086_NAME	蒼世風鈴	charm031
87	CHARM_087_NAME	HARDUMMY	charm032
88	CHARM_088_NAME	拉昆市警察	charm033
89	CHARM_089_NAME	保護傘	charm034
90	CHARM_090_NAME	守護毛吉【幸運】	charm035
91	CHARM_091_NAME	守護毛吉【健康】	charm036
92	CHARM_092_NAME	守護毛吉【安全】	charm037
93	CHARM_093_NAME	守護毛吉【戀愛】	charm038
94	CHARM_094_NAME	守護毛吉【除魔】	charm039
95	CHARM_095_NAME	守護毛吉【熱情】	charm040
96	CHARM_096_NAME	守護毛吉【平穩】	charm041
97	CHARM_097_NAME	艾路泰迪熊	charm042
98	CHARM_098_NAME	HARDUMMY	charm044
99	CHARM_099_NAME	HARDUMMY	charm045
100	CHARM_100_NAME	HARDUMMY	charm043
101	CHARM_101_NAME	盛放的花束‧粉	charm006
102	CHARM_102_NAME	盛放的花束‧橘	charm006
103	CHARM_103_NAME	盛放的花束‧紅	charm006
104	CHARM_104_NAME	盛放的花束‧藍	charm006
105	CHARM_105_NAME	熱情的太陽‧冰	charm007
106	CHARM_106_NAME	熱情的太陽‧葡萄	charm007
107	CHARM_107_NAME	熱情的太陽‧龍	charm007
108	CHARM_108_NAME	熱情的太陽‧荔枝	charm007
109	CHARM_109_NAME	夜蝙蝠‧燈籠	charm008
110	CHARM_110_NAME	夜蝙蝠‧風精	charm008
111	CHARM_111_NAME	夜蝙蝠‧冰霜	charm008
112	CHARM_112_NAME	夜蝙蝠‧小妖精	charm008
113	CHARM_113_NAME	萬福之虎‧桃	charm009
114	CHARM_114_NAME	萬福之虎‧若草	charm009
115	CHARM_115_NAME	萬福之虎‧藤	charm009
116	CHARM_116_NAME	萬福之虎‧空	charm009
117	CHARM_117_NAME	大感謝的銀飾‧櫻	charm010
118	CHARM_118_NAME	大感謝的金飾‧赤	charm010
119	CHARM_119_NAME	大感謝的金飾‧青	charm010
120	CHARM_120_NAME	大感謝的銅飾‧綠	charm010
121	CHARM_121_NAME	豪傑的爪飾【冰牙龍】	charm046
122	CHARM_122_NAME	盛放的花束‧綠	charm006
123	CHARM_123_NAME	盛放的花束‧紫	charm006
124	CHARM_124_NAME	熱情的太陽‧番石榴	charm007
125	CHARM_125_NAME	熱情的太陽‧檸檬	charm007
126	CHARM_126_NAME	夜蝙蝠‧雷電	charm008
127	CHARM_127_NAME	夜蝙蝠‧小精靈	charm008
128	CHARM_128_NAME	萬福之虎‧深綠	charm009
129	CHARM_129_NAME	萬福之虎‧橙	charm009
130	CHARM_130_NAME	大感謝的銅飾‧紫	charm010
131	CHARM_131_NAME	大感謝的黑曜飾	charm010
132	CHARM_132_NAME	豆腐生還者	charm047
133	CHARM_133_NAME	聖域的龍骸布‧赤	charm048
134	CHARM_134_NAME	深淵的龍骸布‧赤	charm049
135	CHARM_135_NAME	艾路泰迪熊‧白	charm042
136	CHARM_136_NAME	梅拉路泰迪熊	charm053
137	CHARM_137_NAME	艾路泰迪熊‧粉	charm042
138	CHARM_138_NAME	艾路泰迪熊‧葡萄	charm042
139	CHARM_139_NAME	艾路泰迪熊‧薄荷	charm042
140	CHARM_140_NAME	艾路泰迪熊‧橘子	charm042
141	CHARM_141_NAME	聖域的龍骸布‧綠	charm048
142	CHARM_142_NAME	聖域的龍骸布‧蒼	charm048
143	CHARM_143_NAME	聖域的龍骸布‧空	charm048
144	CHARM_144_NAME	聖域的龍骸布‧紫	charm048
145	CHARM_145_NAME	聖域的龍骸布‧橙	charm048
146	CHARM_146_NAME	聖域的龍骸布‧櫻	charm048
147	CHARM_147_NAME	深淵的龍骸布‧綠	charm049
148	CHARM_148_NAME	深淵的龍骸布‧蒼	charm049
149	CHARM_149_NAME	深淵的龍骸布‧空	charm049
150	CHARM_150_NAME	深淵的龍骸布‧紫	charm049
151	CHARM_151_NAME	深淵的龍骸布‧橙	charm049
152	CHARM_152_NAME	深淵的龍骸布‧櫻	charm049
153	CHARM_153_NAME	毒妖鳥吊飾	charm052
154	CHARM_154_NAME	水妖鳥吊飾	charm056
155	CHARM_155_NAME	遊歷浮空龍	charm050
156	CHARM_156_NAME	遊歷浮眠龍	charm054
157	CHARM_157_NAME	鞦韆金獅子	charm055
158	CHARM_158_NAME	激昂鞦韆金獅子	charm051
159	CHARM_159_NAME	飛天烏帽	charm057
160	CHARM_160_NAME	氣球【赤】	charm058
161	CHARM_161_NAME	氣球【紅白】	charm058
162	CHARM_162_NAME	氣球【繽紛】	charm058
163	CHARM_163_NAME	飛天烏帽【群體】	charm057
164	CHARM_164_NAME	一星護身符	charm069
165	CHARM_165_NAME	金色的裝飾具【絢輝龍】	charm059
166	CHARM_166_NAME	帝王金的裝飾具【絢輝龍】	charm060
167	CHARM_167_NAME	金輝心‧翠玉	charm061
168	CHARM_168_NAME	金輝心‧紅玉	charm061
169	CHARM_169_NAME	金輝心‧水晶	charm061
170	CHARM_170_NAME	白金輝心‧黃玉	charm062
171	CHARM_171_NAME	白金輝心‧藍玉	charm062
172	CHARM_172_NAME	白金輝心‧櫻晶	charm062
173	CHARM_173_NAME	大天使噗吱爾☆	charm065
174	CHARM_174_NAME	大魔王噗吱法★	charm066
175	CHARM_175_NAME	天空觀測龍‧金	charm067
176	CHARM_176_NAME	天空觀測龍‧銀	charm068
177	CHARM_177_NAME	料理長的小菜拼盤	charm070
178	CHARM_178_NAME	幻想蝴蝶‧青藍	charm071
179	CHARM_179_NAME	幻想蝴蝶‧翡翠	charm071
180	CHARM_180_NAME	幻想蝴蝶‧紅紫	charm071
181	CHARM_181_NAME	機械結構的金時鐘	charm075
