怪物ID	怪物代码	怪物名称
0	EM100	蠻顎龍
1	EM002	火龍
2	EMS001	草食龍
3	EMS049	凶豺龍
4	EM106	熔山龍
5	EMS004	菌豬
6	EMS029	咬魚
7	EM101	大凶豺龍
8	EMS051	冠突龍♂
9	EM001	雌火龍
10	EM001_01	櫻火龍
11	EM002_01	蒼火龍
12	EM007	角龍
13	EM007_01	黑角龍
14	EM011	麒麟
15	EM121_01	貝希摩斯
16	EM024	鋼龍
17	EM026	炎妃龍
18	EM027	炎王龍
19	EM036	熔岩龍
20	EM043	恐暴龍
21	EM044	土砂龍
22	EM045	爆鎚龍
23	EM127_00	鹿首精
24	EM102	毒妖鳥
25	EM103	滅盡龍
26	EM105	冥燈龍
27	EM107	搔鳥
28	EM107_01	眩鳥
29	EM108	泥魚龍
30	EM109	飛雷龍
31	EM110	浮空龍
32	EM111	風漂龍
33	EM112	大凶顎龍
34	EM113	慘爪龍
35	EM114	骨鎚龍
36	EM115	屍套龍
37	EM116	岩賊龍
38	EM117	絢輝龍
39	EM118	爆鱗龍
40	EMS002	背甲龍
41	EMS003	精靈鹿
42	EMS003_05	精靈鹿
43	EMS005	巨甲蟲
44	EMS006	巨蜂
45	EMS050	行翼龍
46	EMS051_05	冠突龍♀
47	EMS053	芳翼龍
48	EMS054	貓蜥龍
49	EMS055	酸翼龍
50	EMS056	凶顎龍
51	EM127_01	古代鹿首精
52	EMS058	突擊龍
53	EMS059	響翼龍
54	EMS060_00	散熱器官
55	EMS060_01	×副散熱器官
56	EMS061	奇面族
57	EMXXX	？？？
58	EM001_99	雌火龍？？？
59	EMS051_99	冠突龍
60	EMS061_02	黃金奇面族
61	EM032_00	轟龍
62	EM037_00	迅龍
63	EM042_00	冰牙龍
64	EM_TEST_00001	惶怒恐暴龍
65	EM063_00	碎龍
66	EM080_00	斬龍
67	EM080_01	硫斬龍
68	EM100_01	雷顎龍
69	EM102_01	水妖鳥
70	EM103_05	殲世滅盡龍
71	EM109_01	痺毒龍
72	EM110_01	浮眠龍
73	EM111_05	霜翼風漂龍
74	EM113_01	兇爪龍
75	EM115_05	霧瘴屍套龍
76	EM118_05	紅蓮爆鱗龍
77	EM122_00	冰魚龍
78	EM123_00	猛牛龍
79	EM124_00	冰呪龍
80	EM125_00	溟波龍
81	EM126_00	天地煌啼龍
82	EMS014_00	波波
83	EMS016_00	雪鹿
84	EMS063_00	冰豺狼
85	EMS064_00	冬翼龍
86	EMS061_01	獸纏族
87	DUMMY000014	Unavailable
88	EM001_02	金火龍
89	EM002_02	銀火龍
90	EM018_00	黑狼鳥
91	EM023	金獅子
92	EM023_05	激昂金獅子
93	EM_TEST_00002	黑轟龍
94	EM057_00	雷狼龍
95	EM057_01	獄狼龍
96	EM063_05	猛爆碎龍
97	EM104	冥赤龍
98	DUMMY000016	Unavailable
99	EM018_05	戰痕黑狼鳥
100	DUMMY000018	Unavailable
101	DUMMY000020	Unavailable
