成就ID	成就名称	成就要求
000	新大陸的霸者	獲得所有勳章
001	掀開獵人生活的序幕	可以挑戰★２的任務了。
002	調查的進展	可以挑戰★３的任務了。
003	據點的守護者	可以挑戰★４的任務了。
004	邁向更深處	可以挑戰★５的任務了。
005	安祥地沉眠	成功誘導熔山龍。
006	大地的恩惠與美麗的女王	可以挑戰★７的任務了。
007	激鬥的勝利者	可以挑戰★８的任務了。
008	指引明路的蒼藍星	解開古龍遷徙之謎了。
009	獵人生活停也停不下來！	完成「自由任務」５０次。
010	探究之心	初次完成「調查任務」。
011	調查團的中樞	完成「調查任務」５０次。
012	小試身手！	初次完成「鬥技大會任務」。
013	挑戰巔峰	完成「鬥技大會任務」５０次。
014	新大陸的開拓者	已設置５處營地。
015	利用環境是獵人的基本修養	躲在草叢裡逃離凶豺龍。
016	第一次釣魚	初次釣魚成功。
017	漂亮地烤好了！	初次燒烤全熟肉。
018	倒下的巨大身軀	初次騎乘成功。
019	遇到活化石	釣起被稱作活化石的魚。
020	輕飄飄的擁抱感	捕捉到擁抱感輕飄飄的生物。
021	硬梆梆的觸感	捕捉到觸感硬梆梆的生物。
022	虹色光芒	捕捉到閃耀虹色光芒的生物。
023	調查團的勤務	累計收到１０萬點調查點數。
024	中產階級獵人	已持有１００萬ZENY。
025	鐵壁獵人	獲得５種非常貴重的防具。
026	力量就是一切	獲得５種非常貴重的武器。
027	新生活	搬遷至小屋。
028	第一次的隨從們	初次擁有隨從們。
029	可靠的夥伴	把任何隨從道具的熟練度提升到１０
030	魔物博士	把許多進階大型魔物的研究等級提升到ＭＡＸ
031	歷戰的魔物	初次狩獵歷戰個體。
032	無所畏懼	狩獵了５０頭歷戰個體。
033	迷你皇冠	初次在狩獵記錄中紀錄初階與進階的魔物所獲得之最小冠。
034	迷你皇冠收藏家	在狩獵記錄中紀錄１０頭以上初階與進階的魔物所獲得之最小冠。
035	迷你皇冠大師	狩獵紀錄中許多魔物都取得了最小冠
036	巨大皇冠	初次在狩獵記錄中紀錄初階與進階的魔物所獲得之銀冠。
037	巨大皇冠收藏家	在狩獵記錄中紀錄１０頭以上初階與進階的魔物所獲得之金冠。
038	巨大皇冠大師	狩獵紀錄中許多魔物都取得了金冠
039	第一次的活捉	初次捕獲魔物。
040	活捉的專家	捕獲了５０隻魔物。
041	滅龍之人	討伐了５０隻古龍。
042	魔物殺手	狩獵了１００頭大型魔物。
043	魔物獵人	狩獵了５００頭大型魔物。
044	HELP！	初次擊出救難信號。
045	救援獵人	參加來自救難信號的任務，完成１０次。
046	和夥伴一起	以多人遊玩完成任務。
047	永遠和夥伴在一起	以多人遊玩完成任務１００次。
048	擴展的羈絆	收集公會名片達５０張以上。
049	資深獵人	獵人Rank達到１００。
000doc3	「Monster Hunter: World」的獎盃套組。	「Monster Hunter: World」的獎盃套組。
050	千載難逢的獵人	獲得了「Monster Hunter World: Iceborne」所有勳章。
051	展開全新的調查	可以挑戰MR★１的任務了
052	正式開始	可以挑戰MR★２的任務了
053	幻之古龍	可以挑戰MR★３的任務了
054	不屈之心	可以挑戰MR★４的任務了
055	偉大的存在	可以挑戰MR★５的任務了
056	與終結共臨之開始	解開偉大的存在之謎。
057	前往聚集探求與發現之地	踏入聚魔之地。
058	蛻變的生態	任何地帶首次達到Lv７。
059	尋求貴重素材	在稀有的礦脈與骨塚採集素材。
060	求知若渴的調查魂	解析特殊痕跡５０次。
