音乐代码	音乐等级	音乐技能
HUD_HUE_00	-	自我強化
HUD_HUE_00_S	0	移動速度UP
HUD_HUE_00_W	1	彈武無效＆攻擊力UP
HUD_HUE_01	-	攻擊力UP【小】
HUD_HUE_02	-	攻擊力UP【大】
HUD_HUE_02_W	1	攻擊力UP【特大】
HUD_HUE_03	-	體力UP【小】
HUD_HUE_04	-	體力UP【大】
HUD_HUE_04_W	1	延長體力UP
HUD_HUE_05	-	耐力消耗減少【短】
HUD_HUE_06	-	耐力消耗減少【長】
HUD_HUE_06_W	1	延長耐力消耗減少
HUD_HUE_07	-	風壓無效
HUD_HUE_08	-	風壓完全無效
HUD_HUE_08_W	1	風壓完全無效延長
HUD_HUE_09	-	防禦力UP【小】
HUD_HUE_10	-	防禦力UP【大】
HUD_HUE_10_W	1	防禦力UP【特大】
HUD_HUE_11	-	特殊裝備消耗減少【短】
HUD_HUE_12	-	特殊裝備消耗減少【長】
HUD_HUE_12_W	1	延長特殊裝備消耗減少
HUD_HUE_13	-	體力回復【小】
HUD_HUE_14	-	體力回復【大】
HUD_HUE_15	-	體力回復【小】＆解毒
HUD_HUE_16	-	體力回復【中】＆解毒
HUD_HUE_17	-	體力回復速度UP【小】
HUD_HUE_18	-	體力回復速度UP【大】
HUD_HUE_18_W	1	延長體力回復速度UP
HUD_HUE_19	-	精靈王的加護
HUD_HUE_19_W	1	延長精靈王的加護
HUD_HUE_20	-	導蟲追蹤力強化 
HUD_HUE_20_S	0	導引等級＋１
HUD_HUE_20_W	1	延長導引等級＋１
HUD_HUE_21	-	減輕泥
HUD_HUE_21_W	1	延長減輕泥
HUD_HUE_22	-	地形傷害無效
HUD_HUE_22_W	1	延長地形傷害無效
HUD_HUE_23	-	聽覺保護【小】
HUD_HUE_24	-	聽覺保護【大】
HUD_HUE_24_W	1	延長聽覺保護【大】
HUD_HUE_25	-	昏厥無效
HUD_HUE_25_W	1	延長昏厥無效
HUD_HUE_26	-	麻痺無效
HUD_HUE_26_W	1	延長麻痺無效
HUD_HUE_27	-	震動無效
HUD_HUE_27_W	1	延長震動無效
HUD_HUE_28	-	火屬性防禦強化【小】
HUD_HUE_29	-	火屬性防禦強化【大】
HUD_HUE_29_W	1	火屬性防禦強化【特大】
HUD_HUE_30	-	水屬性防禦強化【小】
HUD_HUE_31	-	水屬性防禦強化【大】
HUD_HUE_31_W	1	水屬性防禦強化【特大】
HUD_HUE_32	-	雷屬性防禦強化【小】
HUD_HUE_33	-	雷屬性防禦強化【大】
HUD_HUE_33_W	1	雷屬性防禦強化【特大】
HUD_HUE_34	-	冰屬性防禦強化【小】
HUD_HUE_35	-	冰屬性防禦強化【大】
HUD_HUE_35_W	1	冰屬性防禦強化【特大】
HUD_HUE_36	-	龍屬性防禦強化【小】
HUD_HUE_37	-	龍屬性防禦強化【大】
HUD_HUE_37_W	1	龍屬性防禦強化【特大】
HUD_HUE_38	-	屬性攻擊力UP
HUD_HUE_38_S	0	屬性攻擊力UP【小】
HUD_HUE_38_W	1	屬性攻擊力UP【大】
HUD_HUE_39	-	高週波
HUD_HUE_40	-	延長全旋律效果
HUD_HUE_41	-	後仰無效
HUD_HUE_42	-	攻擊力＆防禦力UP【小】
HUD_HUE_42_S	0	攻擊力UP【小】＆防禦力UP【小】
HUD_HUE_42_W	1	攻擊力UP【大】＆防禦力UP【大】
HUD_HUE_43	-	會心率UP＆體力回復【小】
HUD_HUE_43_S	0	會心率UP【小】＆體力回復【小】
HUD_HUE_43_W	1	會心率UP【大】＆體力回復【小】
HUD_HUE_44	-	狀態異常攻擊力UP
HUD_HUE_44_S	0	狀態異常攻擊力UP【小】
HUD_HUE_44_W	1	狀態異常攻擊力UP【大】
HUD_HUE_45	-	全狀態異常無效
HUD_HUE_45_W	1	延長全狀態異常無效
HUD_HUE_46	-	全屬性耐性值UP
HUD_HUE_46_S	0	全屬性耐性值UP【小】
HUD_HUE_46_W	1	全屬性耐性值UP【大】
HUD_HUE_47	-	全屬性異常狀態無效
HUD_HUE_47_W	1	延長全屬性異常狀態無效
HUD_HUE_48	-	聽覺保護【小】＆風壓無效
HUD_HUE_48_S	0	聽覺保護【小】＆風壓無效
HUD_HUE_48_W	1	聽覺保護【小】＆風壓無效延長
HUD_HUE_49	-	體力回復【中】
HUD_HUE_23_W	1	延長聽覺保護【小】
HUD_HUE_07_W	1	風壓無效延長
HUD_HUE_41_W	1	後仰無效延長
HUD_HUE_50	-	響週波【打】
HUD_HUE_51	-	響週波【龍】
HUD_HUE_52	-	耐力最大值UP＆回復
HUD_HUE_53	-	體力持續回復
HUD_HUE_54	-	自我強化【速】＆迴避性能UP
HUD_HUE_55	-	屬性類效果UP
HUD_HUE_56	-	迴避性能UP
HUD_HUE_21_G	-	減輕泥＆適應水場‧深雪
HUD_HUE_21_W_G	-	減輕泥＆適應水場‧深雪延長
