武器类型ID	武器类型	武器ID	武器名称	稀有度	模型类型	主模型地址	附件模型地址
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	1	Unavailable	0	组合模型	wp/two/two002	
0	大剑	2	Unavailable	0	组合模型	wp/two/two002	
0	大剑	3	Unavailable	0	组合模型	wp/two/two002	
0	大剑	4	Unavailable	0	组合模型	wp/two/two002	
0	大剑	5	Unavailable	0	组合模型	wp/two/two002	
0	大剑	6	Unavailable	0	组合模型	wp/two/two002	
0	大剑	10	巨劍Ⅰ	0	组合模型	wp/two/two002	
0	大剑	11	巨劍Ⅱ	0	组合模型	wp/two/two002	
0	大剑	12	巨劍Ⅲ	1	组合模型	wp/two/two002	
0	大剑	13	巨刃劍Ⅰ	2	组合模型	wp/two/two002	
0	大剑	14	巨刃劍Ⅱ	3	组合模型	wp/two/two002	
0	大剑	15	巨刃劍Ⅲ	4	组合模型	wp/two/two002	
0	大剑	16	鉻鋼剃刀Ⅰ	5	组合模型	wp/two/two002	
0	大剑	17	鉻鋼剃刀Ⅱ	5	组合模型	wp/two/two002	
0	大剑	18	滅盡龍的裁決	6	组合模型	wp/two/two003	wp/two/parts/op_two005
0	大剑	19	滅鬼兇器	7	独立模型	wp/two/two004	
0	大剑	20	雷刃劍Ⅰ	2	组合模型	wp/two/two002	
0	大剑	21	雷刃劍Ⅱ	3	组合模型	wp/two/two002	
0	大剑	22	雷光懲罰者Ⅰ	4	组合模型	wp/two/two003	
0	大剑	23	雷光懲罰者Ⅱ	5	组合模型	wp/two/two003	
0	大剑	24	雷光懲罰者Ⅲ	5	组合模型	wp/two/two003	
0	大剑	94	冰刃劍Ⅰ	3	组合模型	wp/two/two002	
0	大剑	95	冰刃劍Ⅱ	4	组合模型	wp/two/two002	
0	大剑	96	霜炎Ⅰ	5	组合模型	wp/two/two001	
0	大剑	97	霜炎Ⅱ	5	组合模型	wp/two/two001	
0	大剑	25	凶豺龍之刃Ⅰ	1	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	26	凶豺龍之刃Ⅱ	2	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	27	凶豺龍之刃Ⅲ	3	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	28	凶豺龍鉤爪Ⅰ	4	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	29	凶豺龍鉤爪Ⅱ	5	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	30	凶豺龍鉤爪Ⅲ	5	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	31	凶顎龍大劍Ⅰ	2	组合模型	wp/two/two002	wp/two/parts/op_two006
0	大剑	32	凶顎龍大劍Ⅱ	3	组合模型	wp/two/two002	wp/two/parts/op_two006
0	大剑	33	馬拉多之鐵Ⅰ	4	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	34	馬拉多之鐵Ⅱ	5	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	35	馬拉多之鐵Ⅲ	5	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	36	熔岩之炎Ⅰ	5	组合模型	wp/two/two001	wp/two/parts/op_two009
0	大剑	37	熔岩之炎Ⅱ	6	组合模型	wp/two/two001	wp/two/parts/op_two009
0	大剑	38	花朵之刀Ⅰ	1	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	39	花朵之刀Ⅱ	2	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	40	花朵之刀Ⅲ	3	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	41	曼陀羅之炎Ⅰ	4	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	42	曼陀羅之炎Ⅱ	5	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	43	曼陀羅之炎Ⅲ	5	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	44	火炎之刃Ⅰ	3	组合模型	wp/two/two002	wp/two/parts/op_two001
0	大剑	45	火炎之刃Ⅱ	4	组合模型	wp/two/two002	wp/two/parts/op_two001
0	大剑	46	赤紅之翼	5	独立模型	wp/two/two003	
0	大剑	47	藍翼大劍	6	独立模型	wp/two/two008	
0	大剑	48	火龍煌劍	7	独立模型	wp/two/two008	
0	大剑	49	骨劍Ⅰ	0	组合模型	wp/two/two005	
0	大剑	50	骨劍Ⅱ	0	组合模型	wp/two/two005	
0	大剑	51	骨劍Ⅲ	1	组合模型	wp/two/two005	
0	大剑	52	斬骨劍Ⅰ	2	组合模型	wp/two/two005	
0	大剑	53	斬骨劍Ⅱ	3	组合模型	wp/two/two005	
0	大剑	54	斬骨劍Ⅲ	4	组合模型	wp/two/two005	
0	大剑	55	大龍顎Ⅰ	5	组合模型	wp/two/two006	
0	大剑	56	大龍顎Ⅱ	5	组合模型	wp/two/two006	
0	大剑	57	屍套龍大劍	6	组合模型	wp/two/two006	wp/two/parts/op_two008
0	大剑	58	魔物的憤怒	7	独立模型	wp/two/two006	
0	大剑	59	蠻顎龍大劍	2	独立模型	wp/two/two005	
0	大剑	60	蠻顎龍大劍改	4	独立模型	wp/two/two005	
0	大剑	61	蠻顎大劍	6	独立模型	wp/two/two005	
0	大剑	62	水斬劍Ⅰ	1	组合模型	wp/two/two005	
0	大剑	63	水斬劍Ⅱ	2	组合模型	wp/two/two005	
0	大剑	64	水斬劍Ⅲ	3	组合模型	wp/two/two005	
