武器类型ID	武器类型	武器ID	武器名称	稀有度	模型类型	主模型地址	附件模型地址
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	11	巨劍Ⅱ	0	组合模型	wp/two/two002	
0	大剑	13	巨刃劍Ⅰ	0	组合模型	wp/two/two002	
0	大剑	14	巨刃劍Ⅱ	1	组合模型	wp/two/two002	
0	大剑	15	巨刃劍Ⅲ	2	组合模型	wp/two/two002	
0	大剑	17	鉻鋼剃刀Ⅱ	3	组合模型	wp/two/two002	
0	大剑	18	滅盡龍的裁決	4	组合模型	wp/two/two002	
0	大剑	19	滅鬼兇器	5	组合模型	wp/two/two002	
0	大剑	21	雷刃劍Ⅱ	5	组合模型	wp/two/two002	
0	大剑	22	雷光懲罰者Ⅰ	6	组合模型	wp/two/two003	wp/two/parts/op_two005
0	大剑	24	雷光懲罰者Ⅲ	7	独立模型	wp/two/two004	
0	大剑	26	凶豺龍之刃Ⅱ	2	组合模型	wp/two/two002	
0	大剑	28	凶豺龍鉤爪Ⅰ	3	组合模型	wp/two/two002	
0	大剑	29	凶豺龍鉤爪Ⅱ	4	组合模型	wp/two/two003	
0	大剑	31	凶顎龍大劍Ⅰ	5	组合模型	wp/two/two003	
0	大剑	32	凶顎龍大劍Ⅱ	5	组合模型	wp/two/two003	
0	大剑	33	馬拉多之鐵Ⅰ	3	组合模型	wp/two/two002	
0	大剑	35	馬拉多之鐵Ⅲ	4	组合模型	wp/two/two002	
0	大剑	36	熔岩之炎Ⅰ	5	组合模型	wp/two/two001	
0	大剑	38	花朵之刀Ⅰ	5	组合模型	wp/two/two001	
0	大剑	39	花朵之刀Ⅱ	1	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	41	曼陀羅之炎Ⅰ	2	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	42	曼陀羅之炎Ⅱ	3	组合模型	wp/two/two002	wp/two/parts/op_two003
0	大剑	43	曼陀羅之炎Ⅲ	4	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	45	火炎之刃Ⅱ	5	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	46	赤紅之翼	5	组合模型	wp/two/two003	wp/two/parts/op_two003
0	大剑	47	藍翼大劍	2	组合模型	wp/two/two002	wp/two/parts/op_two006
0	大剑	49	骨劍Ⅰ	3	组合模型	wp/two/two002	wp/two/parts/op_two006
0	大剑	50	骨劍Ⅱ	4	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	52	斬骨劍Ⅰ	5	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	53	斬骨劍Ⅱ	5	组合模型	wp/two/two001	wp/two/parts/op_two006
0	大剑	54	斬骨劍Ⅲ	5	组合模型	wp/two/two001	wp/two/parts/op_two009
0	大剑	56	大龍顎Ⅱ	6	组合模型	wp/two/two001	wp/two/parts/op_two009
0	大剑	57	屍套龍大劍	1	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	59	蠻顎龍大劍	2	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	60	蠻顎龍大劍改	3	组合模型	wp/two/two002	wp/two/parts/op_two002
0	大剑	61	蠻顎大劍	4	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	63	水斬劍Ⅱ	5	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	64	水斬劍Ⅲ	5	组合模型	wp/two/two001	wp/two/parts/op_two002
0	大剑	65	激流巨像Ⅰ	3	组合模型	wp/two/two002	wp/two/parts/op_two001
0	大剑	67	激流巨像Ⅲ	4	组合模型	wp/two/two002	wp/two/parts/op_two001
0	大剑	68	土砂龍巨劍Ⅰ	5	独立模型	wp/two/two003	
0	大剑	70	土砂龍巨劍Ⅲ	6	独立模型	wp/two/two008	
0	大剑	72	土砂龍粉碎者Ⅱ	7	独立模型	wp/two/two008	
0	大剑	73	土砂龍粉碎者Ⅲ	0	组合模型	wp/two/two005	
0	大剑	75	尖刺劍Ⅱ	0	组合模型	wp/two/two005	
0	大剑	76	塊劍拉多巴爾喀Ⅰ	1	组合模型	wp/two/two005	
0	大剑	77	塊劍拉多巴爾喀Ⅱ	2	组合模型	wp/two/two005	
0	大剑	79	龍骨大劍Ⅰ	3	组合模型	wp/two/two005	
0	大剑	80	龍骨大劍Ⅱ	4	组合模型	wp/two/two005	
0	大剑	81	龍骨大劍Ⅲ	5	组合模型	wp/two/two006	
0	大剑	83	召雷劍	5	组合模型	wp/two/two006	
0	大剑	84	召雷劍【麒麟】	6	组合模型	wp/two/two006	wp/two/parts/op_two008
0	大剑	86	黑鋼大劍Ⅰ	7	独立模型	wp/two/two006	
0	大剑	88	鋼冰大劍	2	独立模型	wp/two/two005	
0	大剑	90	冥燈龍大劍	4	独立模型	wp/two/two005	
0	大剑	91	龍顎劍	6	独立模型	wp/two/two005	
0	大剑	92	龍顎劍【大牙】	1	组合模型	wp/two/two005	
0	大剑	94	冰刃劍Ⅰ	2	组合模型	wp/two/two005	
0	大剑	95	冰刃劍Ⅱ	3	组合模型	wp/two/two005	
0	大剑	96	霜炎Ⅰ	4	组合模型	wp/two/two004	
0	大剑	98	熔山龍大劍Ⅰ	5	组合模型	wp/two/two004	
0	大剑	99	龍熱機關式【鋼翼】改	5	组合模型	wp/two/two004	
0	大剑	100	金色的大劍‧水	1	组合模型	wp/two/two005	wp/two/parts/op_two004
0	大剑	102	金色的大劍‧睡眠	2	组合模型	wp/two/two005	wp/two/parts/op_two004
0	大剑	103	金色的大劍‧賊	3	组合模型	wp/two/two005	wp/two/parts/op_two004
0	大剑	104	金色的大劍‧毒妖	4	组合模型	wp/two/two006	wp/two/parts/op_two004
0	大剑	106	金色的大劍‧痺賊	5	组合模型	wp/two/two006	wp/two/parts/op_two004
0	大剑	107	金色的大劍‧骨鎚	5	组合模型	wp/two/two006	wp/two/parts/op_two004
0	大剑	108	金色的大劍‧屍套	2	组合模型	wp/two/two005	wp/two/parts/op_two007
0	大剑	110	金色的大劍‧熔岩	3	组合模型	wp/two/two005	wp/two/parts/op_two007
