物品ID	物品名称	物品类型	稀有度	物品介绍
0	－－－－－－	素材	0	Unavailable
1	回復藥	物品	0	可回復少量體力的藥。
2	回復藥‧大	物品	1	可回復中量體力的藥。
3	秘藥	物品	2	提升體力上限到最大，並完全回復的藥。
4	古老的秘藥	物品	4	提升體力與耐力上限到最大，並完全回復的藥。
5	解毒藥	物品	0	可回復毒狀態的藥。
6	漢方藥	物品	1	可回復毒狀態，並同時微量回復體力的藥。
7	打消果實	物品	1	治癒各種屬性異常狀態的果實。
8	元氣飲料	物品	1	可回復耐力的飲料。睡意也會不翼而飛！
9	隨身食物	物品	0	可少量回復耐力的食物。
10	半熟肉	物品	0	可中量回復耐力的食物。
11	全熟肉	物品	1	可中量回復耐力，並使最大值不易減少。
12	烤焦肉	物品	0	可少量回復耐力的食物。可以快速吃下。
13	冷飲	物品	0	可緩和暑氣一段時間的飲料。
14	營養劑	物品	1	微量提升體力上限的藥。
15	營養劑‧大	物品	2	少量提升體力上限的藥。
16	活力劑	物品	2	可提高自然回復力的藥。
17	星辰肉乾	物品	1	在調查團據點星辰製作的肉乾。可提高自然回復力，治癒裂傷狀態。
18	強走藥	物品	1	飲用後不易感到疲勞的藥。會減低行動所需的耐力消耗量一段時間。
19	dummy01	素材	3	dummy
20	怪力種子	物品	1	吃下後，攻擊力會暫時上升的種子。
21	鬼人藥	物品	3	提升攻擊力的藥。可獲得如鬼一般的力量。
22	鬼人藥‧大	物品	4	據說得到的攻擊力更勝鬼人藥的夢幻藥品。
23	怪力藥丸	物品	3	可暫時獲得如鬼神般的力量的強力藥丸。
24	忍耐種子	物品	1	吃下後，防禦力會暫時上升的種子。
25	硬化藥	物品	3	提升防禦力的藥。皮膚會硬質化得如岩石一般。
26	硬化藥‧大	物品	4	據說得到的防禦力更勝硬化藥的夢幻藥品。
27	忍耐藥丸	物品	3	可暫時使皮膚硬質化得如鋼鐵一般的強力的藥丸。
28	生命粉塵	物品	3	將回復體力的粉塵撒向四周。
29	漢方粉塵	物品	3	將中和毒性及少量回復體力的粉塵撒向四周。
30	鬼人粉塵	物品	3	將暫時提高攻擊力的粉塵撒向四周。
31	硬化粉塵	物品	3	將暫時提高防禦力的粉塵撒向四周。
32	蜂蜜	物品	1	具有高營養價值的蜂蜜。與回復藥調合即可提高回復的效果。
33	藥草	物品	0	作為回復藥核心素材的草。
34	解毒草	物品	0	作為解毒藥核心素材的草。
35	火藥草	物品	1	祕藏發火作用的奇草。調合炸彈所需爆藥的必要素材。
36	流水草	物品	0	草葉裡蓄積大量水分的草。調合水冷彈的必要素材。
37	霜降草	物品	1	會釋放寒氣如冰的草。調合冰結彈的必要素材。
38	眠草	物品	0	祕藏睡眠作用的草。調合捕獲用麻醉球的必要素材。
39	常春藤葉	物品	0	柔軟度高且強韌的草。調合地洞所需網子的必要素材。
40	煙果實	物品	0	能產生大量煙氣的果實。只要與其他道具調合，就能將特性附加到煙上。
41	屠龍果實	物品	3	據說是龍厭惡忌諱的果實。調合滅龍彈的必要素材。
42	青菇	物品	1	祕藏增強作用的香菇。調合各種回復道具的必要素材。
43	風茄	物品	2	使用方式錯誤可能會致死的危險香菇。調合秘藥的必要素材。
44	爆炸菇	物品	1	祕藏高溫的稀有香菇。調合炸彈所需爆藥的必要素材。
45	鬼爆炸菇	物品	1	祕藏灼熱溫度，非常稀有的香菇。與大爆彈桶調合即可爆炸性地提高威力。
46	麻痺菇	物品	2	祕藏麻痺作用的香菇。調合捕獲用麻醉球的必要素材。
47	毒菇	物品	1	祕藏毒素的香菇。可把毒添加到飛刀上。
48	心跳加速菇	物品	2	發出奇妙味道的香菇。調合回歸球的必要素材。
49	苦蟲	物品	0	可促進自然治癒能力，祕藏苦味精華的蟲。調合許多藥物都會用到。
50	光蟲	物品	1	喪命時會放出強烈閃光的蟲。為投射器閃光彈的核心素材。
51	不死蟲	物品	3	據說有一千年壽命的蟲。只要和其他道具調合，就能將特性附加到粉塵上。
52	雷光蟲	物品	3	施加衝擊就會放電的昆蟲。調合麻痺陷阱及電擊彈的必要素材。
53	陸續上鉤黃金餌	物品	2	作為釣魚魚餌的昆蟲。魚的最愛，會陸續上鉤的餌。
54	精靈鹿角	物品	3	不適合作為武具的素材，但只要與各種素材調合，就可成為發揮驚人效果的藥物。
55	急奔萃取液	物品	3	可從部份魔物身上採集到，可增加持久力的神奇萃取液。
56	滋養萃取液	物品	3	可從部份大型魔物身上取得，可讓特定藥品的效果倍增的特殊萃取液。
57	鳴袋	物品	1	割開就會發出強烈聲音的魔物內臟器官。為投射器音爆彈的核心素材。
58	增強劑	物品	1	可以將素材及藥品的效力發揮到最大極限的藥劑。無法單獨使用。
59	捕獲用麻醉球	物品	2	捕獲中陷阱的魔物時專用的投擲式麻醉球。可透過敲打地面等方式使用。
60	投射器閃光彈	物品	1	以投射器發射，發出強烈的閃光，在眼前爆炸即可令魔物滿眼金星。
61	投射器音爆彈	物品	1	以投射器發射，會發出高頻率不舒服的擾人噪音，對聽覺敏銳的魔物造成行動限制。
62	煙霧球	物品	1	從命中地點處散發大範圍的煙霧，遮蔽魔物的視線。
63	毒煙霧球	物品	1	當場投擲出的煙霧球所噴出的煙，內含毒素。在害蟲對策上大受主婦們歡迎。
64	回歸球	物品	2	可呼叫翼龍，返回最靠近的營地。戰鬥狀態也能使用。
65	生肉	物品	0	從魔物身上剝取的肉。可用於調合、調理或設置陷阱，用途非常廣泛。
66	毒生肉	物品	1	吃下後會中毒的生肉。可作為陷阱使用。
67	麻痺生肉	物品	1	吃下後會麻痺的生肉。可作為陷阱使用。
68	睡眠生肉	物品	1	吃下後會想睡的生肉。可作為陷阱使用。
69	爆藥	物品	1	施加衝擊及高溫，就會引發爆炸的危險藥品。
70	小木桶	物品	0	裡面什麼都沒有的小木桶。
71	小爆彈桶	物品	1	限時型的小爆彈。
72	木桶飛彈	物品	1	架設好就會飛向空中的改良型炸彈。需要一點技術才能成功命中。
73	木桶飛彈Ｇ	物品	3	木桶飛彈的改良型。需要一點技術才能成功命中。
74	大桶	物品	1	裡面什麼都沒有的大桶。與爆藥調合就會變成炸彈。
75	大爆彈桶	物品	2	受到衝擊就會爆炸的炸彈。威力甚大。
76	大爆彈桶Ｇ	物品	3	大爆彈桶的改良強化版。對付魔物的可靠道具。Ｇ的名稱可不是蓋的。
77	蜘蛛網	物品	0	黏性強的蜘蛛網。調合地洞所需網子的必要素材。
78	網子	物品	1	能夠承受相當程度重量的強韌網子。調合地洞的必要素材。
79	陷阱工具	物品	2	製作地洞等等各種機關時的必要工具。
80	地洞	物品	2	使魔物掉落的陷阱。只要超過負荷重量就會發動。
81	麻痺陷阱	物品	2	能夠阻止魔物行動的陷阱。亦可用於捕獲。
82	轉動過的糞	物品	0	魔物的糞的濃縮塊。為投射器異臭彈的核心素材。
83	魔物的糞	物品	0	散發著強烈的臭味。為投射器異臭彈的核心素材。
84	投射器異臭彈	物品	1	命中後會發出使魔物厭惡逃跑的異臭的彈藥。需裝填到投射器後發射。
85	龍魚糰子	物品	1	龍魚系的魚喜愛食用，呈糰子狀的釣餌。
86	金魚糰子	物品	1	火藥金魚喜愛食用，呈糰子狀的釣餌。
87	黃金糰子	物品	1	黃金系的魚喜愛食用，呈糰子狀的釣餌。
88	迴力標	物品	3	投擲後會折返回來，形狀獨特的外國武器。
89	望遠鏡	物品	0	可以眺望到遠方。
90	力量之護符	物品	4	提升攻擊力的護符。光持有就可獲得如鬼人般的力量。
91	力量之爪	物品	4	提升攻擊力的護符。加入了龍的素材，更加提高護符的效果。
