猎虫ID	猎虫代码	猎虫名称	模型地址
0	ROD_INSECT_000_NAME	切斷蟲Ⅰ	mus001
1	ROD_INSECT_001_NAME	切斷蟲Ⅱ	mus001
2	ROD_INSECT_002_NAME	切斷蟲Ⅲ	mus001
3	ROD_INSECT_003_NAME	威力型切斷蟲Ⅰ	mus003
4	ROD_INSECT_004_NAME	威力型切斷蟲Ⅱ	mus003
5	ROD_INSECT_005_NAME	威力型切斷蟲Ⅲ	mus003
6	ROD_INSECT_006_NAME	威力平衡型切斷蟲Ⅰ	mus004
7	ROD_INSECT_007_NAME	威力平衡型切斷蟲Ⅱ	mus004
8	ROD_INSECT_008_NAME	威力平衡型切斷蟲Ⅲ	mus004
9	ROD_INSECT_009_NAME	威力特化型切斷蟲Ⅰ	mus005
10	ROD_INSECT_010_NAME	威力特化型切斷蟲Ⅱ	mus005
11	ROD_INSECT_011_NAME	威力特化型切斷蟲Ⅲ	mus005
12	ROD_INSECT_012_NAME	體力型切斷蟲Ⅰ	mus006
13	ROD_INSECT_013_NAME	體力型切斷蟲Ⅱ	mus006
14	ROD_INSECT_014_NAME	體力型切斷蟲Ⅲ	mus006
15	ROD_INSECT_015_NAME	體力平衡型切斷蟲Ⅰ	mus007
16	ROD_INSECT_016_NAME	體力平衡型切斷蟲Ⅱ	mus007
17	ROD_INSECT_017_NAME	體力平衡型切斷蟲Ⅲ	mus007
18	ROD_INSECT_018_NAME	體力特化型切斷蟲Ⅰ	mus008
19	ROD_INSECT_019_NAME	體力特化型切斷蟲Ⅱ	mus008
20	ROD_INSECT_020_NAME	體力特化型切斷蟲Ⅲ	mus008
21	ROD_INSECT_021_NAME	速度型切斷蟲Ⅰ	mus009
22	ROD_INSECT_022_NAME	速度型切斷蟲Ⅱ	mus009
23	ROD_INSECT_023_NAME	速度型切斷蟲Ⅲ	mus009
24	ROD_INSECT_024_NAME	速度平衡型切斷蟲Ⅰ	mus010
25	ROD_INSECT_025_NAME	速度平衡型切斷蟲Ⅱ	mus010
26	ROD_INSECT_026_NAME	速度平衡型切斷蟲Ⅲ	mus010
27	ROD_INSECT_027_NAME	速度特化型切斷蟲Ⅰ	mus011
28	ROD_INSECT_028_NAME	速度特化型切斷蟲Ⅱ	mus011
29	ROD_INSECT_029_NAME	速度特化型切斷蟲Ⅲ	mus011
30	ROD_INSECT_030_NAME	打擊蟲Ⅰ	mus012
31	ROD_INSECT_031_NAME	打擊蟲Ⅱ	mus012
32	ROD_INSECT_032_NAME	打擊蟲Ⅲ	mus012
33	ROD_INSECT_033_NAME	威力型打擊蟲Ⅰ	mus014
34	ROD_INSECT_034_NAME	威力型打擊蟲Ⅱ	mus014
35	ROD_INSECT_035_NAME	威力型打擊蟲Ⅲ	mus014
36	ROD_INSECT_036_NAME	威力平衡型打擊蟲Ⅰ	mus015
37	ROD_INSECT_037_NAME	威力平衡型打擊蟲Ⅱ	mus015
38	ROD_INSECT_038_NAME	威力平衡型打擊蟲Ⅲ	mus015
39	ROD_INSECT_039_NAME	威力特化型打擊蟲Ⅰ	mus016
40	ROD_INSECT_040_NAME	威力特化型打擊蟲Ⅱ	mus016
41	ROD_INSECT_041_NAME	威力特化型打擊蟲Ⅲ	mus016
42	ROD_INSECT_042_NAME	體力型打擊蟲Ⅰ	mus017
43	ROD_INSECT_043_NAME	體力型打擊蟲Ⅱ	mus017
44	ROD_INSECT_044_NAME	體力型打擊蟲Ⅲ	mus017
45	ROD_INSECT_045_NAME	體力平衡型打擊蟲Ⅰ	mus018
46	ROD_INSECT_046_NAME	體力平衡型打擊蟲Ⅱ	mus018
47	ROD_INSECT_047_NAME	體力平衡型打擊蟲Ⅲ	mus018
48	ROD_INSECT_048_NAME	體力特化型打擊蟲Ⅰ	mus019
49	ROD_INSECT_049_NAME	體力特化型打擊蟲Ⅱ	mus019
50	ROD_INSECT_050_NAME	體力特化型打擊蟲Ⅲ	mus019
51	ROD_INSECT_051_NAME	速度型打擊蟲Ⅰ	mus020
52	ROD_INSECT_052_NAME	速度型打擊蟲Ⅱ	mus020
53	ROD_INSECT_053_NAME	速度型打擊蟲Ⅲ	mus020
54	ROD_INSECT_054_NAME	速度平衡型打擊蟲Ⅰ	mus021
55	ROD_INSECT_055_NAME	速度平衡型打擊蟲Ⅱ	mus021
56	ROD_INSECT_056_NAME	速度平衡型打擊蟲Ⅲ	mus021
57	ROD_INSECT_057_NAME	速度特化型打擊蟲Ⅰ	mus022
58	ROD_INSECT_058_NAME	速度特化型打擊蟲Ⅱ	mus022
59	ROD_INSECT_059_NAME	速度特化型打擊蟲Ⅲ	mus022
60	ROD_INSECT_190_NAME	龍魂蟲	mus023
61	ROD_INSECT_191_NAME	龍魂蟲‧真	mus023
62	ROD_INSECT_060_NAME	威力型切斷蟲Ⅰ‧攻速	mus024
63	ROD_INSECT_061_NAME	威力型切斷蟲Ⅱ‧攻速	mus024
64	ROD_INSECT_062_NAME	威力型切斷蟲Ⅲ‧攻速	mus024
65	ROD_INSECT_063_NAME	威力型切斷蟲Ⅰ‧極攻	mus024
66	ROD_INSECT_064_NAME	威力型切斷蟲Ⅱ‧極攻	mus024
67	ROD_INSECT_065_NAME	威力型切斷蟲Ⅲ‧極攻	mus024
68	ROD_INSECT_066_NAME	體力型切斷蟲Ⅰ‧守速	mus025
69	ROD_INSECT_067_NAME	體力型切斷蟲Ⅱ‧守速	mus025
70	ROD_INSECT_068_NAME	體力型切斷蟲Ⅲ‧守速	mus025
71	ROD_INSECT_069_NAME	體力型切斷蟲Ⅰ‧守攻	mus025
