武器ID	武器名称	模型地址
1	橡子貓鏟	otomo/wp/ot_we001
28	骨製貓大錘	otomo/wp/ot_we028
29	鐵製貓長刀	otomo/wp/ot_we029
2	凶豺龍貓銃槌	otomo/wp/ot_we002
3	搔鳥貓烏德琴	otomo/wp/ot_we003
4	毒妖鳥貓弓	otomo/wp/ot_we004
5	土砂龍貓鏈錘	otomo/wp/ot_we005
6	泥魚龍貓劍	otomo/wp/ot_we006
7	飛雷龍貓叉	otomo/wp/ot_we007
8	蠻顎龍貓骨槌	otomo/wp/ot_we008
11	浮空龍貓肉球	otomo/wp/ot_we011
9	雌火龍貓細劍	otomo/wp/ot_we009
13	骨鎚龍貓球	otomo/wp/ot_we013
30	鈴蘭貓杖	otomo/wp/ot_we030
12	風漂龍貓劍	otomo/wp/ot_we012
14	慘爪龍貓鎖鐮	otomo/wp/ot_we014
16	火龍貓劍	otomo/wp/ot_we016
17	角龍貓大錘	otomo/wp/ot_we017
18	神貓劍雷鳴閃	otomo/wp/ot_we018
27	死神貓鐮刀	otomo/wp/ot_we027
32	橡子貓鏟α	otomo/wp/ot_we001
33	骨製貓大錘α	otomo/wp/ot_we028
34	鐵製貓長刀α	otomo/wp/ot_we029
35	凶豺龍貓銃槌α	otomo/wp/ot_we002
36	搔鳥貓烏德琴α	otomo/wp/ot_we003
37	毒妖鳥貓弓α	otomo/wp/ot_we004
38	土砂龍貓鏈錘α	otomo/wp/ot_we005
39	泥魚龍貓劍α	otomo/wp/ot_we006
40	飛雷龍貓叉α	otomo/wp/ot_we007
19	馬格達貓傀儡α	otomo/wp/ot_we019
41	蠻顎龍貓骨槌α	otomo/wp/ot_we008
42	浮空龍貓肉球α	otomo/wp/ot_we011
43	雌火龍貓細劍α	otomo/wp/ot_we009
44	骨鎚龍貓球α	otomo/wp/ot_we013
45	鈴蘭貓杖α	otomo/wp/ot_we030
46	風漂龍貓劍α	otomo/wp/ot_we012
47	慘爪龍貓鐮鎖α	otomo/wp/ot_we014
48	火龍貓劍α	otomo/wp/ot_we016
49	角龍貓大錘α	otomo/wp/ot_we017
50	神貓劍雷鳴閃α	otomo/wp/ot_we018
20	熔岩龍貓鏈錘α	otomo/wp/ot_we020
21	爆鎚龍貓鐵塊α	otomo/wp/ot_we021
26	爆鱗龍貓鏈錘α	otomo/wp/ot_we026
51	死神貓鐮刀α	otomo/wp/ot_we027
52	奇面貓石器α	otomo/wp/ot_we031
10	戰紋貓大錘α	otomo/wp/ot_we010
15	烏爾德貓劍α	otomo/wp/ot_we015
22	帝王貓鎧甲α	otomo/wp/ot_we022
23	貓魔杖＝寒風α	otomo/wp/ot_we023
24	異國貓花束α	otomo/wp/ot_we024
25	Unavailable	otomo/wp/ot_we001
53	奇面族的石器	otomo/wp/ot_we200
54	德特爾皮克	otomo/wp/ot_we100
100	怪物的咒杖α	otomo/wp/ot_we073
101	橡子貓鏟	otomo/wp/ot_we000
102	Unavailable	otomo/wp/ot_we001
55	絢輝龍貓扇α	otomo/wp/ot_we025
56	殘虐貓暴鎚α	otomo/wp/ot_we033
57	伊麗莎貓陽傘α	otomo/wp/ot_we034
