部位ID	部位名称	防具ID	防具名称	模型地址
0	头盔	1	皮製貓頭飾	otomo/equip/ot001/helm
0	头盔	28	骨製貓頭盔	otomo/equip/ot028/helm
0	头盔	29	合金貓頭盔	otomo/equip/ot029/helm
0	头盔	2	凶豺龍貓頭盔	otomo/equip/ot002/helm
0	头盔	3	搔鳥貓纏頭巾	otomo/equip/ot003/helm
0	头盔	4	毒妖鳥貓頭巾	otomo/equip/ot004/helm
0	头盔	5	土砂龍貓頭盔	otomo/equip/ot005/helm
0	头盔	6	泥魚龍貓頭盔	otomo/equip/ot006/helm
0	头盔	7	飛雷龍貓頭巾	otomo/equip/ot007/helm
0	头盔	8	蠻顎龍貓頭盔	otomo/equip/ot008/helm
0	头盔	11	浮空龍貓頭盔	otomo/equip/ot011/helm
0	头盔	9	雌火龍貓頭盔	otomo/equip/ot009/helm
0	头盔	13	骨鎚龍貓帽盔	otomo/equip/ot013/helm
0	头盔	30	瓢蟲貓護頭	otomo/equip/ot030/helm
0	头盔	12	風漂龍貓頭盔	otomo/equip/ot012/helm
0	头盔	14	慘爪龍貓頭盔	otomo/equip/ot014/helm
0	头盔	16	火龍貓頭盔	otomo/equip/ot016/helm
0	头盔	17	角龍貓頭盔	otomo/equip/ot017/helm
0	头盔	18	麒麟貓角	otomo/equip/ot018/helm
0	头盔	27	死神貓頭巾	otomo/equip/ot027/helm
0	头盔	32	皮製貓頭飾α	otomo/equip/ot001/helm
0	头盔	33	骨製貓頭盔α	otomo/equip/ot028/helm
0	头盔	34	合金貓頭盔α	otomo/equip/ot029/helm
0	头盔	35	凶豺龍貓頭盔α	otomo/equip/ot002/helm
0	头盔	36	搔鳥貓纏頭巾α	otomo/equip/ot003/helm
0	头盔	37	毒妖鳥貓頭巾α	otomo/equip/ot004/helm
0	头盔	38	土砂龍貓頭盔α	otomo/equip/ot005/helm
0	头盔	39	泥魚龍貓頭盔α	otomo/equip/ot006/helm
0	头盔	40	飛雷龍貓頭巾α	otomo/equip/ot007/helm
0	头盔	19	偉大貓皇冠α	otomo/equip/ot019/helm
0	头盔	41	蠻顎龍貓頭盔α	otomo/equip/ot008/helm
0	头盔	42	浮空龍貓頭盔α	otomo/equip/ot011/helm
0	头盔	43	雌火龍貓頭盔α	otomo/equip/ot009/helm
0	头盔	44	骨鎚龍貓帽盔α	otomo/equip/ot013/helm
0	头盔	45	瓢蟲貓護頭α	otomo/equip/ot030/helm
0	头盔	46	風漂龍貓頭盔α	otomo/equip/ot012/helm
0	头盔	47	慘爪龍貓頭盔α	otomo/equip/ot014/helm
0	头盔	48	火龍貓頭盔α	otomo/equip/ot016/helm
0	头盔	49	角龍貓頭盔α	otomo/equip/ot017/helm
0	头盔	50	麒麟貓角α	otomo/equip/ot018/helm
0	头盔	20	熔岩龍貓頭盔α	otomo/equip/ot020/helm
0	头盔	21	爆鎚龍貓頭盔α	otomo/equip/ot021/helm
0	头盔	26	爆鱗龍貓頭盔α	otomo/equip/ot026/helm
0	头盔	51	死神貓頭巾α	otomo/equip/ot027/helm
0	头盔	52	奇面貓面具α	otomo/equip/ot031/helm
0	头盔	10	戰紋貓頭盔α	otomo/equip/ot010/helm
0	头盔	15	烏爾德貓骷髏α	otomo/equip/ot015/helm
0	头盔	22	帝王貓皇冠α	otomo/equip/ot022/helm
0	头盔	23	鋼龍貓綢帽α	otomo/equip/ot023/helm
0	头盔	24	異國貓頭紗α	otomo/equip/ot024/helm
0	头盔	25	孽鬼頭飾α	otomo/equip/ot073/helm
0	头盔	100	皮製貓頭飾	otomo/equip/ot000/helm
0	头盔	101	燕尾蝶貓頭飾	otomo/equip/ot040/helm
0	头盔	102	阿羅哈貓草帽	otomo/equip/ot041/helm
0	头盔	103	幽靈貓頭飾	otomo/equip/ot042/helm
0	头盔	104	雪貓頭飾	otomo/equip/ot043/helm
0	头盔	105	巨星貓頭飾	otomo/equip/ot044/helm
0	头盔	55	絢輝龍貓毛皮α	otomo/equip/ot025/helm
0	头盔	56	殘虐貓頭盔α	otomo/equip/ot033/helm
0	头盔	57	伊麗莎貓王冠α	otomo/equip/ot034/helm
0	头盔	58	洛克人頭飾α	otomo/equip/ot035/helm
0	头盔	59	HARDUMMY	otomo/equip/ot036/helm
0	头盔	60	蒼星貓頭盔	otomo/equip/ot037/helm
0	头盔	61	莫古利頭飾α	otomo/equip/ot038/helm
0	头盔	62	武者貓頭盔α	otomo/equip/ot039/helm
0	头盔	63	燕尾蝶貓頭飾α	otomo/equip/ot040/helm
0	头盔	64	阿羅哈貓草帽α	otomo/equip/ot041/helm
0	头盔	65	幽靈貓頭飾α	otomo/equip/ot042/helm
0	头盔	66	雪貓頭飾α	otomo/equip/ot043/helm
0	头盔	67	巨星貓頭飾α	otomo/equip/ot044/helm
0	头盔	110	精英·貓貓粗呢頭巾α	otomo/equip/ot060/helm
0	头盔	111	精英·骨製貓頭盔α	otomo/equip/ot028/helm
0	头盔	112	精英·合金貓頭盔α	otomo/equip/ot029/helm
0	头盔	113	精英·凶豺龍貓頭盔α	otomo/equip/ot002/helm
0	头盔	114	精英·搔鳥貓纏頭巾α	otomo/equip/ot003/helm
0	头盔	115	精英·毒妖鳥貓頭巾α	otomo/equip/ot004/helm
0	头盔	116	精英·土砂龍貓頭盔α	otomo/equip/ot005/helm
