猫饭代码	猫饭名称	猫饭效果
CatSkill000_CAT_SKILL	貓的研磨術	容易縮短研磨所需時間。
CatSkill001_CAT_SKILL	貓的騎乘好手	更容易騎乘魔物。
CatSkill002_CAT_SKILL	貓的火場怪力	殘留微薄的體力時，攻擊力大幅上升。
CatSkill003_CAT_SKILL	貓的解體術【大】	剝取次數有時會增加。
CatSkill004_CAT_SKILL	貓的解體術【小】	剝取次數很少會增加。
CatSkill005_CAT_SKILL	貓的醫療術	體力回復量大幅提升。
CatSkill006_CAT_SKILL	貓的體術	進行迴避等等固定消耗耐力的行動時，所需的耐力消耗量減少。
CatSkill007_CAT_SKILL	貓的火藥術	大爆彈桶可強化為大爆彈桶Ｇ。
CatSkill008_CAT_SKILL	貓的特殊攻擊術	狀態異常攻擊的性能增強。
CatSkill009_CAT_SKILL	貓的防禦術【大】	減少玩家遭受高機率的傷害。
CatSkill010_CAT_SKILL	貓的防禦術【小】	低機率減少玩家遭受的傷害。
CatSkill011_CAT_SKILL	貓的收穫祭	縮短採集點重新出現的時間。
CatSkill012_CAT_SKILL	貓的射擊術	增加通常彈、通常箭造成的傷害。
CatSkill013_CAT_SKILL	招財貓的幸運	以任務報酬所取得的道具數量容易變多。
CatSkill014_CAT_SKILL	貓的彈武好手	攻擊遭彈開時，銳利度的消耗降低。
CatSkill015_CAT_SKILL	貓的逃走術	逃離大型魔物時的耐力消耗量減少。
CatSkill016_CAT_SKILL	貓的宅配術	搬運中使用衝刺時的耐力消耗量減少。
CatSkill017_CAT_SKILL	貓的搬運鐵人	搬運中即使遭受攻擊也不會後仰。
CatSkill018_CAT_SKILL	貓的弱小招來！	任務中出現的大型魔物容易變得比較弱。
CatSkill019_CAT_SKILL	貓的換算術	結算時，取得的調查點數增加。
CatSkill020_CAT_SKILL	貓的起身術【大】	大幅延長倒地後爬起的無敵時間。
CatSkill021_CAT_SKILL	貓的起身術【小】	延長從倒地後爬起時的無敵時間。
CatSkill022_CAT_SKILL	貓的粗暴射擊	彈藥造成的傷害提升，但射擊時彈道偏移增加。
CatSkill023_CAT_SKILL	貓的攀爬藤蔓達人	迴避被牆壁藤蔓纏住的行動所需的耐力消耗量減少。
G_CatSkill024_CAT_SKILL	貓的緊抓不放鐵人	攀附在壁面或藤蔓時，即使遭受攻擊，在一定程度以內可以忍受。
CatSkill025_CAT_SKILL	貓的解體鐵人	剝取中即使遭受攻擊，也不會後仰。
CatSkill026_CAT_SKILL	貓的著地術	從高處跳躍落地時，不需要雙手撐地緩衝。
CatSkill027_CAT_SKILL	貓的蠻幹術	攻擊被彈開時，再次攻擊的攻擊力會上升。
CatSkill028_CAT_SKILL	貓的贈品術	力竭倒下，料理效果也不會消失。
CatSkill029_CAT_SKILL	貓的KO術	更容易讓魔物陷入昏厥狀態。
CatSkill030_CAT_SKILL	招財貓的財運	任務完成時，報酬金額增加。
CatSkill031_CAT_SKILL	貓的砲擊術	弩砲的傷害、徹甲榴彈的爆炸，以及銃槍的砲擊威力上升。
CatSkill032_CAT_SKILL	貓的大毅力	當體力在一定程度以上時，即使承受了超過體力的傷害，也不因此而耗盡體力（１次）。
CatSkill033_CAT_SKILL	貓的異臭球達人	魔物於身中投射器異臭彈後更容易逃跑。
CatSkill034_CAT_SKILL	貓的理毛好手	防禦力DOWN的效果時間減半，屬性異常狀態更快恢復。
CatSkill035_CAT_SKILL	貓的長靴術	減輕或無效因地形造成的傷害及異常狀態。
CatSkill036_CAT_SKILL	貓的受身術	被擊飛時能夠立刻調整姿勢站穩。
DUMMY000000	Unavailable	Unavailable
CatSkill038_CAT_SKILL	貓的隨從指導術	使隨從的成長加快。
CatSkill039_CAT_SKILL	貓的短期催眠術	用完餐後，一段時間內攻擊力與防禦力提升。
CatSkill040_CAT_SKILL	貓的堅定不移術	不會坐倒在地上。
CatSkill041_CAT_SKILL	貓的釣魚好手	更容易釣到魚。
CatSkill042_CAT_SKILL	貓的休息術	執行動作「坐下」一段時間，可使攻擊力暫時上升。
CatSkill043_CAT_SKILL	貓的報酬金保險	任務成員中不論是誰，只有在第１次力竭倒下時，不納入報酬金結算。
CatSkill044_CAT_SKILL	貓的吸引仇恨好手	更容易吸引魔物注意，成為攻擊的目標。
CatSkill045_CAT_SKILL	貓的後面交給你們了！	力竭倒下時，回復區域內同伴們的體力。
CatSkill046_CAT_SKILL	貓的探索好天氣	探索時更容易取得調查報告。
CatSkill047_CAT_SKILL	貓的天氣預報	前往任務時天氣容易變差。
CatSkill048_CAT_SKILL	貓的防滑鞋	即使遇到特殊地形，移動速度也不受影響。
CatSkill049_CAT_SKILL	貓的裁縫術	稍微縮短特殊裝備的再使用時間。
CatSkill050_CAT_SKILL	貓的生命保險	任務成員中不論是誰， 只在第１次力竭倒下時不算數。
CatSkill051_CAT_SKILL	貓的園藝術	部分環境生物的重新出現時間稍微縮短。
CatSkill052_CAT_SKILL	貓的殘餘術	當捕捉到部分環境生物時，就會掉投射器彈藥。
CatSkill053_CAT_SKILL	貓的生物博士	提高珍稀環境生物的出現機率。
CatSkill054_CAT_SKILL	貓的生物學者	稍微提高珍稀環境生物的出現機率。
CatSkill055_CAT_SKILL	貓的大型吸引	稍微提高大型環境生物的出現機率。
CatSkill056_CAT_SKILL	貓的小型吸引	稍微提高小型環境生物的出現機率。
