奖金任务ID	奖金任务名称	奖金任务目标
0	環境調查：礦脈	在礦脈採掘６次。
1	環境調查：礦脈	在礦脈採掘１２次。
2	環境調查：骨塚	在骨塚採集６次。
3	環境調查：骨塚	在骨塚採集１２次。
4	環境調查：植物	採集可以作為道具的植物４次。
5	環境調查：植物	採集可以作為道具的植物７次。
6	環境調查：香菇	採集可以作為道具的香菇４次。
7	環境調查：香菇	採集可以作為道具的香菇７次。
8	環境調查：蟲的生態	採集可以作為道具的蟲３次。
9	環境調查：蟲的生態	採集可以作為道具的蟲５次。
10	環境調查：蜂蜜	採集蜂蜜３次。
11	環境調查：蜂蜜	採集蜂蜜５次。
12	生態調查：狩獵大型魔物	狩獵大型魔物２頭。
13	生態調查：狩獵大型魔物	狩獵大型魔物１頭。
14	生態調查：捕獲大型魔物	捕獲大型魔物１頭。
15	生態調查：討伐小型魔物	討伐小型魔物８頭。
16	生態調查：討伐小型魔物	討伐小型魔物１６頭。
17	調查活動：古代樹森林	完成古代樹森林任務２次。
18	調查活動：古代樹森林	完成古代樹森林任務３次。
19	調查活動：大蟻塚荒地	完成大蟻塚荒地任務２次。
20	調查活動：大蟻塚荒地	完成大蟻塚荒地任務３次。
21	環境調查：礦脈	在礦脈採掘９次。
22	環境調查：礦脈	在礦脈採掘１５次。
23	環境調查：骨塚	在骨塚採集９次。
24	環境調查：骨塚	在骨塚採集１５次。
25	環境調查：植物	採集可以作為道具的植物５次。
26	環境調查：植物	採集可以作為道具的植物８次。
27	環境調查：香菇	採集可以作為道具的香菇５次。
28	環境調查：香菇	採集可以作為道具的香菇８次。
29	環境調查：蟲的生態	採集可以作為道具的蟲４次。
30	環境調查：蟲的生態	採集可以作為道具的蟲７次。
31	環境調查：蜂蜜	採集蜂蜜４次。
32	環境調查：蜂蜜	採集蜂蜜７次。
33	生態調查：狩獵大型魔物	狩獵大型魔物３頭。
34	生態調查：狩獵大型魔物	狩獵大型魔物２頭。
35	生態調查：捕獲大型魔物	捕獲大型魔物２頭。
36	生態調查：捕獲大型魔物	捕獲大型魔物１頭。
37	生態調查：討伐小型魔物	討伐小型魔物１０頭。
38	生態調查：討伐小型魔物	討伐小型魔物２０頭。
39	生態調查：狩獵牙龍種	狩獵牙龍種的大型魔物２頭。
40	生態調查：捕獲牙龍種	捕獲牙龍種的大型魔物１頭。
41	生態調查：狩獵鳥龍種	狩獵鳥龍種的大型魔物２頭。
42	生態調查：捕獲鳥龍種	捕獲鳥龍種的大型魔物１頭。
43	生態調查：狩獵獸龍種	狩獵獸龍種的大型魔物２頭。
44	生態調查：捕獲獸龍種	捕獲獸龍種的大型魔物１頭。
45	生態調查：狩獵飛龍種	狩獵飛龍種的大型魔物２頭。
46	生態調查：捕獲飛龍種	捕獲飛龍種的大型魔物１頭。
47	調查活動：古代樹森林	完成古代樹森林任務２次。
48	調查活動：古代樹森林	完成古代樹森林任務３次。
49	調查活動：大蟻塚荒地	完成大蟻塚荒地任務２次。
50	調查活動：大蟻塚荒地	完成大蟻塚荒地任務３次。
51	調查活動：陸珊瑚台地	完成陸珊瑚台地任務２次。
52	調查活動：陸珊瑚台地	完成陸珊瑚台地任務３次。
53	調查活動：瘴氣之谷	完成瘴氣之谷任務２次。
54	調查活動：瘴氣之谷	完成瘴氣之谷任務３次。
55	調查活動：調查任務	完成調查任務２次。
56	調查活動：調查任務	完成調查任務３次。
57	生態調查：狩獵大型魔物	狩獵進階的大型魔物２頭。
58	生態調查：捕獲大型魔物	捕獲進階的大型魔物１頭。
59	生態調查：討伐小型魔物	討伐進階的小型魔物１０頭。
60	調查活動：古代樹森林	完成進階的古代樹森林任務２次。
61	調查活動：大蟻塚荒地	完成進階的大蟻塚荒地任務２次。
62	調查活動：陸珊瑚台地	完成進階的陸珊瑚台地任務２次。
63	調查活動：瘴氣之谷	完成進階的瘴氣之谷任務２次。
64	調查活動：調查任務	完成進階的調查任務２次。
65	環境調查：礦脈	在礦脈採掘１５次。
66	環境調查：骨塚	在骨塚採集１５次。
67	環境調查：植物	採集可以作為道具的植物８次。
68	環境調查：香菇	採集可以作為道具的香菇８次。
69	環境調查：蟲的生態	採集可以作為道具的蟲７次。
70	環境調查：蜂蜜	採集蜂蜜７次。
71	生態調查：狩獵大型魔物	狩獵進階的大型魔物３頭。
72	生態調查：捕獲大型魔物	捕獲進階的大型魔物２頭。
73	生態調查：討伐小型魔物	討伐進階的小型魔物２０頭。
74	生態調查：狩獵牙龍種	狩獵進階的牙龍種大型魔物２頭。
75	生態調查：捕獲牙龍種	捕獲進階的牙龍種大型魔物１頭。
76	生態調查：狩獵鳥龍種	狩獵進階的鳥龍種大型魔物２頭。
77	生態調查：捕獲鳥龍種	捕獲進階的鳥龍種大型魔物１頭。
78	生態調查：狩獵獸龍種	狩獵進階的獸龍種大型魔物２頭。
79	生態調查：捕獲獸龍種	捕獲進階的獸龍種大型魔物１頭。
80	生態調查：狩獵飛龍種	狩獵進階的飛龍種大型魔物２頭。
81	生態調查：捕獲飛龍種	捕獲進階的飛龍種大型魔物１頭。
82	生態調查：狩獵魚龍種	狩獵進階的魚龍種大型魔物２頭。
83	生態調查：捕獲魚龍種	捕獲進階的魚龍種大型魔物１頭。
84	調查活動：古代樹森林	完成進階的古代樹森林任務３次。
85	調查活動：大蟻塚荒地	完成進階的大蟻塚荒地任務３次。
86	調查活動：陸珊瑚台地	完成進階的陸珊瑚台地任務３次。
87	調查活動：瘴氣之谷	完成進階的瘴氣之谷任務３次。
88	調查活動：龍結晶之地	完成進階的龍結晶之地任務３次。
89	調查活動：調查任務	完成進階的調查任務３次。
90	生態調查：討伐古龍種	討伐進階的古龍種魔物２隻。
91	環境調查：礦脈	在礦脈採掘２１次。
92	環境調查：骨塚	在骨塚採集２１次。
93	環境調查：植物	採集可以作為道具的植物１２次。
94	環境調查：香菇	採集可以作為道具的香菇１２次。
95	環境調查：蟲的生態	採集可以作為道具的蟲１０次。
96	環境調查：蜂蜜	採集蜂蜜１０次。
97	生態調查：狩獵大型魔物	狩獵進階的大型魔物４頭。
98	生態調查：捕獲大型魔物	捕獲進階的大型魔物３頭。
99	生態調查：討伐小型魔物	討伐進階的小型魔物３０頭。
100	生態調查：狩獵牙龍種	狩獵進階的牙龍種大型魔物３頭。
101	生態調查：捕獲牙龍種	捕獲進階的牙龍種大型魔物２頭。
102	生態調查：狩獵鳥龍種	狩獵進階的鳥龍種大型魔物３頭。
103	生態調查：捕獲鳥龍種	捕獲進階的鳥龍種大型魔物２頭。
104	生態調查：狩獵獸龍種	狩獵進階的獸龍種大型魔物３頭。
105	生態調查：捕獲獸龍種	捕獲進階的獸龍種大型魔物２頭。
106	生態調查：狩獵飛龍種	狩獵進階的飛龍種大型魔物３頭。
107	生態調查：捕獲飛龍種	捕獲進階的飛龍種大型魔物２頭。
108	生態調查：狩獵魚龍種	狩獵進階的魚龍種大型魔物３頭。
109	生態調查：捕獲魚龍種	捕獲進階的魚龍種大型魔物２頭。
110	生態調查：討伐古龍種	討伐進階的古龍種魔物３隻。
111	調查活動：古代樹森林	完成進階的古代樹森林任務４次。
112	調查活動：大蟻塚荒地	完成進階的大蟻塚荒地任務４次。
113	調查活動：陸珊瑚台地	完成進階的陸珊瑚台地任務４次。
114	調查活動：瘴氣之谷	完成進階的瘴氣之谷任務４次。
115	調查活動：龍結晶之地	完成進階的龍結晶之地任務４次。
116	調查活動：調查任務	完成進階的調查任務４次。
117	文化交流：大蟻塚荒地	捕獲３隻荒地守護族。
118	文化交流：續‧大蟻塚荒地	向待在住處的荒地守護族回報。
119	文化交流：奇面族的語言調查	收集奇面族的痕跡１０個。
120	文化交流：續‧奇面族的語言調查	發現奇面族的住處。
121	協助調查：捕獲粉色異形魚	抓住粉色異形魚。
122	協助調查：捕獲刺身魚	抓住刺身魚。
123	協助調查：捕獲火藥金魚	抓住火藥金魚。
124	協助調查：捕獲黃金魚	抓住黃金魚。
125	協助調查：捕獲白金魚	抓住白金魚。
126	協助調查：捕獲叢林始祖鳥	抓住叢林始祖鳥。
127	協助調查：捕獲搬運蟻	抓住９隻搬運蟻。
128	協助調查：捕獲搖曳鰻	抓住３隻搖曳鰻。
129	協助調查：捕獲斯卡班傑拉	抓住５隻斯卡班傑拉。
130	協助調查：捕獲爆彈甲蟲	抓住爆彈甲蟲。
131	協助調查：捕獲新大陸之主	抓住１隻人稱新大陸之主的環境生物。
132	協助調查：捕獲夢幻之鳥	抓住１隻人稱夢幻之鳥的環境生物。
133	重建古代樹森林的營地	確保營地的安全。
134	協助調查：捕獲異世界的環境生物	捕捉異世界的環境生物。※魔物圖鑑中有提示。
135	協助調查：捕獲玻璃異形魚	捕捉玻璃異形魚。
136	協助調查：捕獲神秘的魚	在永霜凍土捕捉神秘的魚。
137	協助調查：捕獲胖衣企鵝	捕捉３隻胖衣企鵝。
138	協助調查：捕獲神秘生物	在永霜凍土捕捉神秘的環境生物。
139	協助調查：捕獲最大金冠的堅硬竹筴魚	捕捉最大金冠的堅硬竹筴魚。
140	協助調查：捕獲最大金冠的破裂龍魚	捕捉最大金冠的破裂龍魚。
141	協助調查：捕獲最大金冠的玻璃異形魚	捕捉最大金冠的玻璃異形魚。
142	協助調查：捕獲最大金冠的吉兆蜻蜓。	捕捉最大金冠的吉兆蜻蜓。
143	協助調查：捕獲最大金冠的伶俐珊瑚鳥	捕捉最大金冠的伶俐珊瑚鳥。
144	協助調查：捕獲最大金冠的胖衣企鵝	捕捉最大金冠的胖衣企鵝。
145	環境調查：礦脈	在礦脈採掘１２次。
146	環境調查：骨塚	在骨塚採集１２次。
