部位ID	部位名称	防具ID	防具名称	幻化ID	防御	稀有度	模型地址
0	头盔	2	皮製頭飾	1	2	0	pl001_0000
0	头盔	15	鎖甲頭飾	15	2	0	pl014_0000
0	头盔	1	獵人頭盔	2	6	0	pl002_0000
0	头盔	5	骨製頭盔	5	6	0	pl003_0000
0	头盔	6	合金頭盔	6	8	1	pl004_0000
0	头盔	9	巨蜂頭盔	9	8	0	pl007_0000
0	头盔	4	凶豺龍頭盔	4	8	0	pl008_0000
0	头盔	10	搔鳥頭盔	10	10	0	pl009_0000
0	头盔	11	毒妖鳥頭盔	11	12	1	pl010_0000
0	头盔	13	土砂龍頭盔	13	14	1	pl012_0000
0	头盔	12	泥魚龍頭盔	12	14	1	pl011_0000
0	头盔	14	飛雷龍頭盔	14	16	1	pl013_0000
0	头盔	25	礦石頭盔	24	18	2	pl025_0000
0	头盔	18	巨甲蟲頭盔	17	18	2	pl017_0000
0	头盔	168	貓蜥龍護目鏡	161	22	2	pl058_0000
0	头盔	3	蠻顎龍頭盔	3	20	2	pl020_0000
0	头盔	21	雌火龍頭盔	20	22	2	pl021_0000
0	头盔	23	眩鳥頭盔	22	18	2	pl023_0000
0	头盔	24	浮空龍頭盔	23	20	2	pl024_0000
0	头盔	22	凶顎龍頭盔	21	20	2	pl022_0000
0	头盔	28	骨鎚龍頭盔	27	24	2	pl028_0000
0	头盔	20	獨角仙護頭	19	22	2	pl019_0000 (男性限定)
0	头盔	169	燕尾蝶護頭	164	22	2	pl019_0000 (女性限定)
0	头盔	31	鑄鐵頭盔	30	28	3	pl031_0000
0	头盔	27	風漂龍頭盔	26	30	3	pl027_0000
0	头盔	29	慘爪龍頭盔	28	30	3	pl029_0000
0	头盔	33	火龍頭盔	32	30	3	pl033_0000
0	头盔	34	角龍頭盔	33	32	3	pl034_0000
0	头盔	35	麒麟角	34	34	3	pl035_0000
0	头盔	26	死神首腦	25	32	3	pl026_0000
0	头盔	36	旅團帽	35	28	3	pl036_0000
0	头盔	37	爆碎羽飾	36	32	3	pl037_0000
0	头盔	39	皮製頭飾α	37	32	4	pl001_0000
0	头盔	40	皮製頭飾β	38	32	4	pl001_0000
0	头盔	147	鎖甲頭飾α	39	32	4	pl014_0000
0	头盔	148	鎖甲頭飾β	40	32	4	pl014_0000
0	头盔	41	獵人頭盔α	41	36	4	pl002_0000
0	头盔	42	獵人頭盔β	42	36	4	pl002_0010
0	头盔	43	骨製頭盔α	43	36	4	pl003_0000
0	头盔	44	骨製頭盔β	44	36	4	pl003_0000
0	头盔	45	合金頭盔α	45	36	4	pl004_0000
0	头盔	46	合金頭盔β	46	36	4	pl004_0000
0	头盔	51	巨蜂頭盔α	51	38	4	pl007_0000
0	头盔	52	巨蜂頭盔β	52	38	4	pl007_0000
0	头盔	57	巨甲蟲頭盔α	57	38	4	pl017_0000
0	头盔	58	巨甲蟲頭盔β	58	38	4	pl017_0000
0	头盔	174	貓蜥龍護目鏡α	162	40	4	pl058_0000
0	头盔	175	貓蜥龍護目鏡β	163	40	4	pl058_0000
0	头盔	61	凶豺龍頭盔α	61	40	4	pl008_0000
0	头盔	62	凶豺龍頭盔β	62	40	4	pl008_0000
0	头盔	63	搔鳥頭盔α	63	40	4	pl009_0000
0	头盔	64	搔鳥頭盔β	64	40	4	pl009_0000
0	头盔	65	毒妖鳥頭盔α	65	42	4	pl010_0000
0	头盔	66	毒妖鳥頭盔β	66	42	4	pl010_0010
0	头盔	69	土砂龍頭盔α	69	42	4	pl012_0000
