食材代码	食材名称	食材介绍
MEAT_00_ID	龍腿	肉類食材，容易發動《勇敢》體系料理技能。因燉煮許久，入口即化到叫人吃驚。
MEAT_01_ID	龍胸腹肉	肉類食材，容易發動《勇敢》體系料理技能。建議切成薄片以炭火燒烤。
MEAT_02_ID	飛龍的蛋	肉類食材，容易發動《勇敢》體系料理技能。從飛龍巢穴找來的貴重食材。
MEAT_03_ID	龍尾肉	肉類食材，容易發動《勇敢》體系料理技能。一生想品嚐至少一次看看的飛龍肉。
MEAT_04_ID	龍頭	肉類食材，容易發動《勇敢》體系料理技能。慶祝時才有可能拿出來的高級食材。
MEAT_05_ID	龍腰肉	肉類食材，容易發動《勇敢》體系料理技能。最有價值的肉品部位。
MEAT_06_ID	堅肉	肉類食材，容易發動《忍耐》體系料理技能。硬實的口感可以鍛鍊下巴。
MEAT_07_ID	棘肉	肉類食材，容易發動《忍耐》體系料理技能。掏食黏在甲殼上的肉，注意別受傷了。
MEAT_08_ID	熟成堅肉	肉類食材，容易發動《忍耐》體系料理技能。算是高級食材，適合偶爾犒賞自己。
MEAT_09_ID	鋼肉	肉類食材，容易發動《忍耐》體系料理技能。硬到咬不下去的肉，賣點是營養價值高。
MEAT_10_ID	狂野雞肉	肉類食材，容易發動《忍耐》體系料理技能。建議連骨帶肉，豪邁啃咬。
MEAT_11_ID	壺醃生肉	肉類食材，容易發動《忍耐》體系料理技能。加入祕傳醬汁醃製熟成的肉。
MEAT_12_ID	草食龍肉	肉類食材，容易發動《熱血》體系料理技能。獵人經常食用的普通食材。
MEAT_13_ID	背甲龍背脊肉	肉類食材，容易發動《熱血》體系料理技能。肚子餓的獵人們最愛的大塊肉。
MEAT_14_ID	骰子肉	肉類食材，容易發動《熱血》體系料理技能。切成小份的優質肉品。
MEAT_15_ID	巨大沙朗	肉類食材，容易發動《熱血》體系料理技能。草食龍的高級部位，兼顧了質與量。
MEAT_16_ID	蛇龍背脊肉	肉類食材，容易發動《熱血》體系料理技能。大口撕咬吃個精光吧。
MEAT_17_ID	巨大肉	肉類食材，容易發動《熱血》體系料理技能。再巨大一塊也吃得完的美味紅肉。
MEAT_18_ID	白肝	肉類食材，容易發動《智囊》體系料理技能。濃稠的口感大受歡迎！
MEAT_19_ID	燒烤胸肋肉	肉類食材，容易發動《智囊》體系料理技能。幾乎全是肥肉，容易上癮。
MEAT_20_ID	透心胸腹肉	肉類食材，容易發動《智囊》體系料理技能。食用後總會覺得有點坐立難安的肉品。
MEAT_21_ID	火熱熱心臟	肉類食材，容易發動《智囊》體系料理技能。口感受歡迎的部位，趁熱享用！
MEAT_22_ID	豪快臀肉	肉類食材，容易發動《智囊》體系料理技能。豪邁地厚切貴重部位的特別食材。
MEAT_23_ID	肥大鵝肝	肉類食材，容易發動《智囊》體系料理技能。口感近似奶油，層次豐富的味道大受歡迎。
MEAT_24_ID	帶骨火雞肉	肉類食材，容易發動《煙火師》體系料理技能。不太有肉。
MEAT_25_ID	高級羊肉	肉類食材，容易發動《煙火師》體系料理技能。適合各種調理方式的食材。
MEAT_26_ID	草食龍的蛋	肉類食材，容易發動《煙火師》體系料理技能。似乎可做成很大份的荷包蛋。
MEAT_27_ID	火雞王肉	肉類食材，容易發動《煙火師》體系料理技能。豐滿的肉量不負王者的名號。
